property_id	family	class	initial_status
CANON-T1.P1	T1	semantic	UNTESTED
CANON-T1.P2	T1	semantic	UNTESTED
CANON-T1.P3	T1	semantic	UNTESTED
CANON-T1.P4	T1	semantic	UNTESTED
CANON-T2.P1	T2	semantic	UNTESTED
CANON-T2.P2	T2	semantic	UNTESTED
CANON-T2.P3	T2	semantic	UNTESTED
CANON-T2.P4	T2	semantic	UNTESTED
CANON-T3.P1	T3	semantic	UNTESTED
CANON-T3.P2	T3	semantic	UNTESTED
CANON-T3.P3	T3	semantic	UNTESTED
CANON-T4.P1	T4	semantic	UNTESTED
CANON-T4.P2	T4	semantic	UNTESTED
CANON-T4.P3	T4	semantic	UNTESTED
CANON-T4.P4	T4	semantic	UNTESTED
CANON-T4.P5	T4	semantic	UNTESTED
CANON-T4.P6	T4	semantic	UNTESTED
CANON-G1	CONTROL	source-binding	UNTESTED
CANON-G2	CONTROL	target-reachability	UNTESTED
CANON-G3	CONTROL	domain-reachability	UNTESTED
CANON-G4	CONTROL	anti-vacuity	UNTESTED
CANON-G5	CONTROL	actual-body-binding	UNTESTED
CANON-G6	CONTROL	safety-and-oracle-integrity	UNTESTED
