control_id,control_function,analytical_category,V1_allocation,V2_allocation,V3_allocation,V4_LLM_allocation,V4_Codex_utility_state_allocation,V5_allocation,bounded_interpretation,evidence_ids
RQ2-CTRL-01,Source identity and frozen-target binding,PROCEDURAL_GOVERNANCE,deterministic/incomplete evidence,deterministic,deterministic,deterministic,deterministic unchanged,deterministic experimental shell,Can remain outside semantic reasoning without selecting the verification claim.,RQ2-E01;RQ2-E02;RQ2-E06;RQ2-E11;EXISTING_V5
RQ2-CTRL-02,Permission/write boundary,PROCEDURAL_GOVERNANCE,not fully evidenced,deterministic,deterministic,deterministic,strengthened by Codex write allowlist/rollback,deterministic experimental shell,Controls filesystem authority rather than theorem/property meaning.,RQ2-E06;RQ2-E11;RQ2-E16;RQ2-E17;EXISTING_V5
RQ2-CTRL-03,Build/source context capture,PROCEDURAL_WITH_SEMANTIC_INTERFACE,deterministic role logic,deterministic; Run 002 needed human context repair,deterministic packaging plus LLM interpretation,deterministic packaging; raw evidence retained,same V4 mechanism plus Codex materialisation,mechanical support; Codex may inspect repository directly,"Useful mechanically, but over-compressed or incomplete supplied context can constrain later reasoning.",RQ2-E04;RQ2-E06;RQ2-E11;RQ2-E16
RQ2-CTRL-04,"Evidence capture, manifests and provenance",PROCEDURAL_GOVERNANCE,limited snapshot,deterministic,deterministic,deterministic,deterministic strengthened for Codex,deterministic shell/post-run preservation,Preservation is compatible with semantic autonomy because it records rather than selects conclusions.,RQ2-E02;RQ2-E06;RQ2-E11;RQ2-E17;EXISTING_V5
RQ2-CTRL-05,Typed output schemas,PROCEDURAL_INTERFACE,stage-defined,stage-defined,mandatory stage schemas,mandatory stage schemas,same V4 schemas plus Codex output schema,helpers may return structured outputs but do not own semantic progression,Schemas can support reproducibility; they become restrictive if they force semantic decomposition or erase needed context.,RQ2-E06;RQ2-E11;RQ2-E16
RQ2-CTRL-06,Context preparation/compression,SEMANTIC_INTERFACE,deterministic,deterministic,deterministic evidence packaging plus advisory references,raw evidence plus deterministic measured facts; semantic advisory off,same V4 stage preparation before Codex backend,registered prompt plus direct repository revisability,This is a key transfer dimension because omitted or preselected context may not be recoverable in stateless staged reasoning.,RQ2-E06;RQ2-E11;RQ2-E16;EXISTING_V5
RQ2-CTRL-07,Property discovery / theorem selection,SEMANTIC_AUTHORITY,deterministic Python agent,deterministic Python agent,LLM-authoritative candidate stage,LLM-authoritative semantic selection in the primary condition,Codex occupies same V4 semantic stage position,Codex principal reasoning authority,The V5 response removes mandatory external semantic ownership of property selection.,RQ2-E02;RQ2-E06;RQ2-E11;RQ2-E16;EXISTING_V5
RQ2-CTRL-08,Artefact strategy and substantive assumptions/assertions,SEMANTIC_AUTHORITY,deterministic Python agent,deterministic; human correction in Run 002,LLM candidate plus controlled renderer,LLM semantic candidate under deterministic validation,Codex candidate inside same V4 stage,Codex principal reasoning authority,Run 002 demonstrates why semantic origin must be tracked separately from later automation.,RQ2-E04;RQ2-E05;RQ2-E06;RQ2-E11;RQ2-E16;EXISTING_V5
RQ2-CTRL-09,Critic approval as progression gate,SEMANTIC_PROGRESSION,deterministic critic stage,deterministic critic stage,mandatory critic-mediated progression,mandatory critic-mediated progression,unchanged V4 progression,post-run/external checks do not own runtime semantic progression,The retained V3/V4 runs show that critic/progression states can stop the workflow independently of model capability.,RQ2-E07;RQ2-E08;RQ2-E13;RQ2-E16;EXISTING_V5
RQ2-CTRL-10,Formal-tool execution,PROCEDURAL_FORMAL_AUTHORITY,deterministic tool agent,deterministic CBMC,deterministic tool stage,deterministic CBMC/GOTO stage,unchanged,CBMC remains formal evidence authority; commands may be driven from Codex context,Formal-tool authority should remain distinct from semantic candidate authority.,RQ2-E04;RQ2-E06;RQ2-E12;RQ2-E16;EXISTING_V5
