producer_stage,output_key,declared_path,resolved_path,exists,declared_sha256,sha256,checksum_matches_manifest,checksum_declared,size_bytes
01_master_orchestrator,resolved_config,../../run_config.resolved.json,/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/run_config.resolved.json,True,fea8089d3f31d7dca67e89cf9705c3525307d1f297e97975eb3da4cc8e9ee8f5,fea8089d3f31d7dca67e89cf9705c3525307d1f297e97975eb3da4cc8e9ee8f5,True,True,11140
01_master_orchestrator,workflow_plan,../../workflow_plan.json,/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/workflow_plan.json,True,730cbc9b25809d7b96a7e4d458ed07d14b56857c7829747703097290d5005eb3,730cbc9b25809d7b96a7e4d458ed07d14b56857c7829747703097290d5005eb3,True,True,6390
01_master_orchestrator,run_manifest,../../run_manifest.json,/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/run_manifest.json,True,406636b6be642d239fe0e0952584d5556f420dcebad6ed8495341a06f7749c02,406636b6be642d239fe0e0952584d5556f420dcebad6ed8495341a06f7749c02,True,True,3428
01_master_orchestrator,repository_provenance,control/repository_provenance.json,/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/stages/01_master_orchestrator/control/repository_provenance.json,True,b04ef9920fda2a526d208ec33e1be2394fa668dae20220ad8462e98082b62fe6,b04ef9920fda2a526d208ec33e1be2394fa668dae20220ad8462e98082b62fe6,True,True,924
02_spec_extraction,spec_summary,llm_authoritative/01_spec_summary.json,/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/stages/02_spec_extraction/llm_authoritative/01_spec_summary.json,True,2bc21cf20e9c4b544639f6eeceaea81c9c99d6255424ed313d9ca6330e477097,2bc21cf20e9c4b544639f6eeceaea81c9c99d6255424ed313d9ca6330e477097,True,True,48487
02_spec_extraction,spec_summary_validation,validation/llm_call_validation.json,/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/stages/02_spec_extraction/validation/llm_call_validation.json,True,ab1417cb32775518cb44838880b4cee24220bd26cdf434f97a03aaf194ae319e,ab1417cb32775518cb44838880b4cee24220bd26cdf434f97a03aaf194ae319e,True,True,2215
02_spec_extraction,selected_spec_excerpt_advisory,deterministic_reference/selected_spec_excerpt.txt,/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/stages/02_spec_extraction/deterministic_reference/selected_spec_excerpt.txt,True,9c91d3f2b00c971715500bc20775f7306bc9685c726fad75c18877c3ddf28678,9c91d3f2b00c971715500bc20775f7306bc9685c726fad75c18877c3ddf28678,True,True,127003
03_code_understanding,code_summary,llm_authoritative/02_code_summary.json,/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/stages/03_code_understanding/llm_authoritative/02_code_summary.json,True,0eac3beb1f878efe11e85bc4bc3c5c23ab26ec3552fa8331b4d0eb394745eb23,0eac3beb1f878efe11e85bc4bc3c5c23ab26ec3552fa8331b4d0eb394745eb23,True,True,63562
03_code_understanding,code_summary_validation,validation/llm_call_validation.json,/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/stages/03_code_understanding/validation/llm_call_validation.json,True,5c444ecf5b292cb0ea7a866f864cc3ada21454c5cb81e08afb6a5b942cefbd72,5c444ecf5b292cb0ea7a866f864cc3ada21454c5cb81e08afb6a5b942cefbd72,True,True,2228
03_code_understanding,function_signature_analysis_advisory,deterministic_reference/02_function_signature_analysis.deterministic.json,/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/stages/03_code_understanding/deterministic_reference/02_function_signature_analysis.deterministic.json,True,b7e2564d7901a2dae22283b059fdd6c32346ecd85b7b345de0c416b55afa3236,b7e2564d7901a2dae22283b059fdd6c32346ecd85b7b345de0c416b55afa3236,True,True,37304
03_code_understanding,cbmc_harness_hints_advisory,deterministic_reference/02_cbmc_harness_hints.deterministic.json,/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/stages/03_code_understanding/deterministic_reference/02_cbmc_harness_hints.deterministic.json,True,1ff53e660c3381e33dbac6fd010888627aa2fcb0209ad69fab7f38113de7c501,1ff53e660c3381e33dbac6fd010888627aa2fcb0209ad69fab7f38113de7c501,True,True,2517
04_property_discovery,candidate_properties,llm_authoritative/03_candidate_properties.json,/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/stages/04_property_discovery/llm_authoritative/03_candidate_properties.json,True,6b88b4bf09962f8bb514e252a273b52ff5e9981212d98bdf3a4373bd5544778c,6b88b4bf09962f8bb514e252a273b52ff5e9981212d98bdf3a4373bd5544778c,True,True,44371
04_property_discovery,candidate_properties_validation,validation/llm_call_validation.json,/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/stages/04_property_discovery/validation/llm_call_validation.json,True,21e6974a4d89ebbbb99fd0e14b60d0f434b693427e1da1da3c9d1903b0585953,21e6974a4d89ebbbb99fd0e14b60d0f434b693427e1da1da3c9d1903b0585953,True,True,2228
