record_id,evidence_id,architecture_generation,target,observed_state_or_failure,immediate_failure_locus,classification,repair_or_transition,repair_authority_or_origin,post_repair_or_followup_state,lifecycle_result_status,what_the_record_supports,what_it_does_not_support,source_record_ids,evidence_reference_status
RQ2-F01,RQ2-E01,V1,workflow,Published V1 snapshot contains only ten agent source files; no complete run/configuration/output corpus is retained.,architecture completeness,INCOMPLETE_PROTOTYPE,V2 added missing workflow components and runnable evidence,development transition,V2 replayable workflow,NO,V1 is an architectural precursor with incomplete retained experimental execution evidence.,A completed V1 lifecycle or performance result.,SRC-V1-PUB;SRC-V1-ORCH,ARCHIVE_EVIDENCE_REFERENCE_CLASSIFIED
RQ2-F02,RQ2-E03,V2,mlk_poly_add,Initial generated harness/run ended unresolved/tool-failed; case summary identifies an invalid in-place postcondition design that did not snapshot old r.,candidate artefact / tool progression,SEMANTIC_ARTEFACT_FAILURE,human correction followed in Run 002,human,Run 002 produced corrected harness,NO,Initial automated output was inspectable and exposed a concrete failure mode.,Independent successful verification or a production defect.,SRC-V2-R1-STATUS;SRC-V2-R1-SUM;SRC-V2-R1-HARNESS;SRC-V2-COMP,ARCHIVE_EVIDENCE_REFERENCE_CLASSIFIED
RQ2-F03,RQ2-E04,V2,mlk_poly_add,Human-corrected harness reached CBMC success after build/header and unwind corrections.,human intervention / build context,HUMAN_CORRECTED_SUCCESS,manual harness and environment corrections,human,bounded selected property successful,YES FOR THE HUMAN-CORRECTED LOCAL PROPERTY,The bounded local property can be checked with the corrected harness and context.,Independent AI discovery of the successful strategy.,SRC-V2-R2-SUM;SRC-V2-R2-HARNESS;SRC-V2-R2-CBMC,ARCHIVE_EVIDENCE_REFERENCE_CLASSIFIED
RQ2-F04,RQ2-E05,V2,mlk_poly_add,Later workflow-generated harness reached selected-property CBMC success after the correction pattern had been encoded in Agent 5.,workflow learning from prior human correction,TRANSFERRED_HUMAN_CORRECTION_PATTERN,Agent 5 template/pattern updated after Run 002,human-originated pattern incorporated into workflow,Run 003 successful for selected local property,YES FOR THE BOUNDED RUN-003 PROPERTY,The workflow could reproduce a previously introduced correction pattern.,Independent AI discovery of that strategy or absence of human influence.,SRC-V2-R3-STATUS;SRC-V2-R3-SUM;SRC-V2-R3-HARNESS;SRC-V2-R3-CBMC;SRC-V2-COMP,ARCHIVE_EVIDENCE_REFERENCE_CLASSIFIED
RQ2-F05,RQ2-E07,V3,mlk_poly_add,Critic identified mismatch: build plan selected entry function harness while rendered C defined harness_mlk_poly_add_int16_safe_sum.,formal entry-point / build-plan interface,INTERFACE_MISMATCH,critic requested repair,LLM critic within orchestrated gate,iteration limit reached,NO,A genuine API-backed candidate reached review and a concrete interface mismatch was exposed.,General LLM inability or a verified selected property.,SRC-V3-R1-STATUS;SRC-V3-R1-CRITIC,ARCHIVE_EVIDENCE_REFERENCE_CLASSIFIED
RQ2-F06,RQ2-E08,V3,mlk_poly_add,Schema-valid real API property-discovery output was produced; run later ended because critic requested repair at the iteration limit.,critic/progression boundary,REPAIR_REQUIRED_WITHOUT_CLEAN_COMPLETION,would require another registered iteration,orchestrated progression,no clean selected-property result,NO,Real API semantic candidate generation occurred inside the evidence-preserving pipeline.,End-to-end semantic success or causal failure of the model.,SRC-V3-R2-STATUS;SRC-V3-R2-LLM,ARCHIVE_EVIDENCE_REFERENCE_CLASSIFIED
RQ2-F07,RQ2-E09,V3,mlk_poly_add,Run terminated as orchestrator_failed at property_discovery.,orchestration / required stage failure,ORCHESTRATOR_FAILURE,none in retained run,orchestrator,run closed failed,NO,Pipeline/integration failure is a competing explanation for non-completion.,A property-level failure or model incapability.,SRC-V3-R3-STATUS,ARCHIVE_EVIDENCE_REFERENCE_CLASSIFIED
RQ2-F08,RQ2-E10,V3,mlk_poly_add,Run terminated as orchestrator_failed at spec_extraction.,orchestration / required stage failure,ORCHESTRATOR_FAILURE,none in retained run,orchestrator,run closed failed,NO,A workflow failure occurred before the formal verification lifecycle progressed.,A formal verification result.,SRC-V3-R4-STATUS,ARCHIVE_EVIDENCE_REFERENCE_CLASSIFIED
RQ2-F09,RQ2-E12,V4,mlk_poly_add,Tool stage executed but GOTO contract build/instrumentation failed; no emitted selected-property evidence.,contract build/instrumentation,FORMAL_TOOL_PIPELINE_FAILURE,later hotfix/engineering work preserved separately,workflow engineering,no clean result in run 001,NO,V4 reached the formal-tool pipeline and failed at a concrete instrumentation step.,"A production defect, model incapability or selected-property verification.",SRC-V4-R1-SUM;SRC-V4-R1-CBMC,ARCHIVE_EVIDENCE_REFERENCE_CLASSIFIED
RQ2-F10,RQ2-E13,V4,mlk_poly_add,Critic requested repair; initial V4 policy/iteration boundary prevented clean continuation in the retained run.,critic/progression boundary,REPAIR_REQUIRED_WITHOUT_CLEAN_COMPLETION,separate later run,orchestrated progression,run closed unresolved,NO,The staged control architecture could stop on critic-mediated progression.,That the candidate could never be repaired or that one controller feature caused the result.,SRC-V4-R2-SUM,ARCHIVE_EVIDENCE_REFERENCE_CLASSIFIED
