origin,path,line,text
repository,REFERENCE.md,10,"- CBMC and debug annotations, and minor code restructurings or signature changes to facilitate the CBMC proofs. For example, `poly_add(x,a)` only comes in a destructive variant to avoid specifying aliasing constraints; `poly_rej_uniform` has an additional `offset` parameter indicating the position in the sampling buffer, to avoid passing shifted pointers)."
repository,SOUNDNESS.md,314,"  `requires(array_abs_bound(p, 0, MLKEM_N, 8192))`"
repository,SOUNDNESS.md,315,"  and `ensures(array_abs_bound(p, 0, MLKEM_N, 23595))`, omitting the description of the"
repository,SOUNDNESS.md,319,  assumes `requires(twiddles12345 == mlk_aarch64_ntt_zetas_layer12345)` and `requires(twiddles56 ==
repository,mlkem/mlkem_native.c,327,#undef mlk_poly_add
repository,mlkem/mlkem_native.c,399,#undef __contract__
repository,mlkem/mlkem_native.c,400,#undef __loop__
repository,mlkem/src/indcpa.c,161,__contract__(
repository,mlkem/src/indcpa.c,164,"  requires(memory_no_alias(v, sizeof(mlk_polyvec)))"
repository,mlkem/src/indcpa.c,165,"  requires(forall(x, 0, MLKEM_K,"
repository,mlkem/src/indcpa.c,167,"  assigns(memory_slice(v, sizeof(mlk_polyvec)))"
repository,mlkem/src/indcpa.c,168,"  ensures(forall(x, 0, MLKEM_K,"
repository,mlkem/src/indcpa.c,174,  __loop__(
repository,mlkem/src/indcpa.c,175,"     assigns(i, memory_slice(v, sizeof(mlk_polyvec)))"
repository,mlkem/src/indcpa.c,176,     invariant(i <= MLKEM_K)
repository,mlkem/src/indcpa.c,177,"     invariant(forall(x, 0, MLKEM_K,"
repository,mlkem/src/indcpa.c,179,     decreases(MLKEM_K - i))
repository,mlkem/src/indcpa.c,190,__contract__(
repository,mlkem/src/indcpa.c,193,"  requires(memory_no_alias(a, sizeof(mlk_polymat)))"
repository,mlkem/src/indcpa.c,194,"  requires(forall(x, 0, MLKEM_K, forall(y, 0, MLKEM_K,"
repository,mlkem/src/indcpa.c,196,"  assigns(memory_slice(a, sizeof(mlk_polymat)))"
repository,mlkem/src/indcpa.c,197,"  ensures(forall(x, 0, MLKEM_K, forall(y, 0, MLKEM_K,"
repository,mlkem/src/indcpa.c,202,  __loop__(
repository,mlkem/src/indcpa.c,203,"     assigns(i, memory_slice(a, sizeof(mlk_polymat)))"
repository,mlkem/src/indcpa.c,204,     invariant(i <= MLKEM_K)
repository,mlkem/src/indcpa.c,205,"     invariant(forall(x, 0, MLKEM_K, forall(y, 0, MLKEM_K,"
repository,mlkem/src/indcpa.c,207,     decreases(MLKEM_K - i))
repository,mlkem/src/indcpa.c,316,__contract__(
repository,mlkem/src/indcpa.c,317,"  requires(memory_no_alias(out, sizeof(mlk_polyvec)))"
repository,mlkem/src/indcpa.c,318,"  requires(memory_no_alias(a, sizeof(mlk_polymat)))"
repository,mlkem/src/indcpa.c,319,"  requires(memory_no_alias(v, sizeof(mlk_polyvec)))"
repository,mlkem/src/indcpa.c,320,"  requires(memory_no_alias(vc, sizeof(mlk_polyvec_mulcache)))"
repository,mlkem/src/indcpa.c,321,"  requires(forall(k0, 0, MLKEM_K,"
repository,mlkem/src/indcpa.c,324,"  assigns(memory_slice(out, sizeof(mlk_polyvec))))"
repository,mlkem/src/indcpa.c,328,  __loop__(
repository,mlkem/src/indcpa.c,329,"    assigns(i, memory_slice(out, sizeof(mlk_polyvec)))"
repository,mlkem/src/indcpa.c,330,    invariant(i <= MLKEM_K)
repository,mlkem/src/indcpa.c,331,    decreases(MLKEM_K - i))
repository,mlkem/src/indcpa.c,350,__contract__(
repository,mlkem/src/indcpa.c,351,"  requires(memory_no_alias(pv, sizeof(mlk_polyvec)))"
repository,mlkem/src/indcpa.c,352,"  requires(memory_no_alias(e, sizeof(mlk_polyvec)))"
repository,mlkem/src/indcpa.c,353,"  requires(memory_no_alias(seed, MLKEM_SYMBYTES))"
repository,mlkem/src/indcpa.c,354,"  assigns(memory_slice(pv, sizeof(mlk_polyvec)))"
repository,mlkem/src/indcpa.c,355,"  assigns(memory_slice(e, sizeof(mlk_polyvec)))"
