property_id,property_type,description,priority,selected_for_harness,evidence_in_harness,cbmc_status,critic_concerns,evaluation_note
P4,array_bounds,All detected array accesses in `mlk_poly_add` should stay within valid bounds.,high,True,True,not_failed_or_not_individually_reported,[],Selected and appears represented in the generated harness.
P1,input_pointer_validity,Input pointer `b` must be valid and readable when `mlk_poly_add` is called.,high,True,True,not_failed_or_not_individually_reported,[],Selected and appears represented in the generated harness.
P5,loop_bound,Loop `i < MLKEM_N` in `mlk_poly_add` should be unwound sufficiently and should not drive array indices outside valid bounds.,high,True,True,not_failed_or_not_individually_reported,[],Selected and appears represented in the generated harness.
P3,memory_safety,All pointer field/dereference accesses inside `mlk_poly_add` should be memory-safe under documented harness assumptions.,high,True,True,not_failed_or_not_individually_reported,[],Selected and appears represented in the generated harness.
P2,output_pointer_validity,Output/in-out pointer `r` must be valid and writable when `mlk_poly_add` writes through it.,high,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P21,parameter_consistency,Parsed specification parameters/constants should match implementation macros/constants before using them in CBMC assumptions. Tracked parameters: human_review_required=True.,high,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P58,spec_code_alignment,Agent 2 v2 spec-to-code hint should be checked: mlk_poly_add.,high,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P59,spec_code_alignment,"Agent 2 v2 spec-to-code hint should be checked: {""candidate_meanings"": [""Error/noise vector or polynomial in ML-KEM/K-PKE descriptions.""], ""group"": ""candidate_field_mappings"", ""possible_code_fields"": [""coeffs"", ""vec"", ""polyvec"", ""bytes""], ""spec_symbol"": ""e""}.",high,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P60,spec_code_alignment,Agent 2 v2 spec-to-code hint should be checked: true.,high,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P61,spec_code_alignment,Agent 2 v2 spec-to-code hint should be checked: These hints are not proof obligations by themselves..,high,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P62,spec_code_alignment,Agent 2 v2 spec-to-code hint should be checked: They are bridge material for the Property Discovery and Artifact Generation agents..,high,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P9,aliasing,Pointer aliasing behavior for `mlk_poly_add` should be documented before adding non-aliasing assumptions.,medium,False,True,not_failed_or_not_individually_reported,"[""The function has pointer inputs/outputs, but the harness/review material does not discuss aliasing.""]",Critic raised concerns related to this property.
P23,equation_conformance,"Parsed FIPS equation/constraint `comments submitted on the draft ML-KEM, domain separation was added to K-PKE.KeyGen to` may define a candidate check for `mlk_poly_add` if involved symbols map to code variables.",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P24,equation_conformance,"Parsed FIPS equation/constraint `Additionally, FIPS 203 ipd had inadvertently swapped the indices of matrix 𝐀̂ in K-PKE.KeyGen and` may define a candidate check for `mlk_poly_add` if involved symbols map to code variables.",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P16,functional_correctness,"For `mlk_poly_add`, candidate spec-derived property: {""confidence"": 0.66, ""evidence"": [{""confidence"": 0.66, ""end_line"": 102, ""extraction_method"": ""prepost_keyword_regex"", ""section_title"": ""Input checking. The algorithms ML-KEM.Encaps and ML-KEM.Decaps require input checking."", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 102, ""text"": ""Implementers shall ensure that ML-KEM.Encaps and ML-KEM.Decaps are only executed on""}], ""guarantee"": ""Implementers shall ensure that ML-KEM.Encaps and ML-KEM.Decaps are only executed on"", ""human_review_required"": true, ""source"": ""postcondition_keyword_extraction""}",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P17,functional_correctness,"For `mlk_poly_add`, candidate spec-derived property: {""confidence"": 0.66, ""evidence"": [{""confidence"": 0.66, ""end_line"": 106, ""extraction_method"": ""prepost_keyword_regex"", ""section_title"": ""inputs that have been checked, as described in Section 7."", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 106, ""text"": ""shall ensure that intermediate data is destroyed as soon as it is no longer needed. In particular,""}], ""guarantee"": ""shall ensure that intermediate data is destroyed as soon as it is no longer needed. In particular,"", ""human_review_required"": true, ""source"": ""postcondition_keyword_extraction""}",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P18,functional_correctness,"For `mlk_poly_add`, candidate spec-derived property: {""confidence"": 0.66, ""evidence"": [{""confidence"": 0.66, ""end_line"": 107, ""extraction_method"": ""prepost_keyword_regex"", ""section_title"": ""inputs that have been checked, as described in Section 7."", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 107, ""text"": ""for ML-KEM.KeyGen, ML-KEM.Encaps, and ML-KEM.Decaps, only the designated output can be""}], ""guarantee"": ""for ML-KEM.KeyGen, ML-KEM.Encaps, and ML-KEM.Decaps, only the designated output can be"", ""human_review_required"": true, ""source"": ""postcondition_keyword_extraction""}",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P19,functional_correctness,"For `mlk_poly_add`, candidate spec-derived property: {""confidence"": 0.66, ""evidence"": [{""confidence"": 0.66, ""end_line"": 120, ""extraction_method"": ""prepost_keyword_regex"", ""section_title"": ""Appendix C - Differences From the CRYSTALS-Kyber Submission"", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 120, ""text"": ""scheme (specified in this document) that result in differing input-output behavior of the main""}], ""guarantee"": ""scheme (specified in this document) that result in differing input-output behavior of the main"", ""human_review_required"": true, ""source"": ""postcondition_keyword_extraction""}",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P20,functional_correctness,"For `mlk_poly_add`, candidate spec-derived property: {""confidence"": 0.66, ""evidence"": [{""confidence"": 0.66, ""end_line"": 122, ""extraction_method"": ""prepost_keyword_regex"", ""section_title"": ""Appendix C - Differences From the CRYSTALS-Kyber Submission"", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 122, ""text"": ""the input-output behavior of these three algorithms (see “Implementations” and Section 3.3""}], ""guarantee"": ""the input-output behavior of these three algorithms (see “Implementations” and Section 3.3"", ""human_review_required"": true, ""source"": ""postcondition_keyword_extraction""}",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P63,functional_correctness,"For `mlk_poly_add`, each output update should match selected addition/sum behavior under documented preconditions.",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P7,functional_update_shape,The writes performed by `mlk_poly_add` should match the intended function-level update shape under documented assumptions.,medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P8,helper_contract,"Helper calls/macros used by `mlk_poly_add` must be included, stubbed, or given documented contracts before CBMC results are trusted.",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P6,integer_overflow,Arithmetic/bit operations in `mlk_poly_add` should not trigger undefined or unintended overflow under documented assumptions.,medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P10,modular_arithmetic,"For `mlk_poly_add`, candidate spec-derived property: {""confidence"": 0.55, ""evidence"": [{""confidence"": 0.62, ""end_line"": 23, ""extraction_method"": ""math_constraint_regex"", ""section_title"": ""MODULE-LATTICE-BASED KEY-ENCAPSULATION MECHANISM"", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 23, ""text"": ""of corruption or interference, the process in Figure 1 will result in 𝐾 ′ = 𝐾 with overwhelming""}], ""formal_tool_hint"": ""CBMC"", ""human_review_required"": true, ""priority"": ""medium"", ""property"": ""Candidate equation/constraint from specification: of corruption or interference, the process in Figure 1 will result in 𝐾 ′ = 𝐾 with overwhelming"", ""type"": ""assignment_or_equation""}",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P11,modular_arithmetic,"For `mlk_poly_add`, candidate spec-derived property: {""confidence"": 0.55, ""evidence"": [{""confidence"": 0.62, ""end_line"": 41, ""extraction_method"": ""math_constraint_regex"", ""section_title"": ""MODULE-LATTICE-BASED KEY-ENCAPSULATION MECHANISM"", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 41, ""text"": ""two constants: 𝑛 = 256 and 𝑞 = 3329.""}], ""formal_tool_hint"": ""CBMC"", ""human_review_required"": true, ""priority"": ""medium"", ""property"": ""Candidate equation/constraint from specification: two constants: 𝑛 = 256 and 𝑞 = 3329."", ""type"": ""assignment_or_equation""}",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
