producer_stage,output_key,declared_path,resolved_path,exists,declared_sha256,sha256,checksum_matches_manifest,checksum_declared,size_bytes
01_master_orchestrator,resolved_config,../../run_config.resolved.json,/home/girish/thesis-agent-workflow-26-property-test/diagnostics/p19_orchestration_probe_20260711T080622Z/P19/runs/campaign_p19_mock/run_config.resolved.json,True,2931dedf8d5b90dee301f3929be6550534ddedbc11e260e2d41ffe45facd7289,2931dedf8d5b90dee301f3929be6550534ddedbc11e260e2d41ffe45facd7289,True,True,9361
01_master_orchestrator,workflow_plan,../../workflow_plan.json,/home/girish/thesis-agent-workflow-26-property-test/diagnostics/p19_orchestration_probe_20260711T080622Z/P19/runs/campaign_p19_mock/workflow_plan.json,True,a052df6550fcc7f00acf6758456606e92c915a18697abbc3360b0e120568c457,a052df6550fcc7f00acf6758456606e92c915a18697abbc3360b0e120568c457,True,True,6099
01_master_orchestrator,run_manifest,../../run_manifest.json,/home/girish/thesis-agent-workflow-26-property-test/diagnostics/p19_orchestration_probe_20260711T080622Z/P19/runs/campaign_p19_mock/run_manifest.json,True,aed8275b0a1f1f2505e6adce18737d310e3c515fee8ced86ef87047debc29f8c,aed8275b0a1f1f2505e6adce18737d310e3c515fee8ced86ef87047debc29f8c,True,True,3443
01_master_orchestrator,repository_provenance,control/repository_provenance.json,/home/girish/thesis-agent-workflow-26-property-test/diagnostics/p19_orchestration_probe_20260711T080622Z/P19/runs/campaign_p19_mock/stages/01_master_orchestrator/control/repository_provenance.json,True,4c0176f623ee52ab9dfb49ccce7ee56af46e9d46e0d753bff17dbeda02fe0974,4c0176f623ee52ab9dfb49ccce7ee56af46e9d46e0d753bff17dbeda02fe0974,True,True,928
02_spec_extraction,spec_summary,llm_authoritative/01_spec_summary.json,/home/girish/thesis-agent-workflow-26-property-test/diagnostics/p19_orchestration_probe_20260711T080622Z/P19/runs/campaign_p19_mock/stages/02_spec_extraction/llm_authoritative/01_spec_summary.json,True,0bf5cdde1dd718acefc563cab278d5d839655033d3417ac58d1414d11c0826c1,0bf5cdde1dd718acefc563cab278d5d839655033d3417ac58d1414d11c0826c1,True,True,1506
02_spec_extraction,spec_summary_validation,validation/llm_call_validation.json,/home/girish/thesis-agent-workflow-26-property-test/diagnostics/p19_orchestration_probe_20260711T080622Z/P19/runs/campaign_p19_mock/stages/02_spec_extraction/validation/llm_call_validation.json,True,1f8926b15aaa10851fb87fb0c461b63df2c7d62b622c2a38abdcb95f540c0d4d,1f8926b15aaa10851fb87fb0c461b63df2c7d62b622c2a38abdcb95f540c0d4d,True,True,566
02_spec_extraction,selected_spec_excerpt_advisory,deterministic_reference/selected_spec_excerpt.txt,/home/girish/thesis-agent-workflow-26-property-test/diagnostics/p19_orchestration_probe_20260711T080622Z/P19/runs/campaign_p19_mock/stages/02_spec_extraction/deterministic_reference/selected_spec_excerpt.txt,True,e2b3a81b6218086812e7060ef8c522d86a00ea7f371eef76ce733fc3263db0b3,e2b3a81b6218086812e7060ef8c522d86a00ea7f371eef76ce733fc3263db0b3,True,True,390
03_code_understanding,code_summary,llm_authoritative/02_code_summary.json,/home/girish/thesis-agent-workflow-26-property-test/diagnostics/p19_orchestration_probe_20260711T080622Z/P19/runs/campaign_p19_mock/stages/03_code_understanding/llm_authoritative/02_code_summary.json,True,2ce91dd2ad8012b8bf7699077f0da18a3532596913da6ab0b5a182a8fb2ed76b,2ce91dd2ad8012b8bf7699077f0da18a3532596913da6ab0b5a182a8fb2ed76b,True,True,1567
03_code_understanding,code_summary_validation,validation/llm_call_validation.json,/home/girish/thesis-agent-workflow-26-property-test/diagnostics/p19_orchestration_probe_20260711T080622Z/P19/runs/campaign_p19_mock/stages/03_code_understanding/validation/llm_call_validation.json,True,b3647076ea23eee72a053ee97a9434a385075e4d409d18bfc5389857b5e88840,b3647076ea23eee72a053ee97a9434a385075e4d409d18bfc5389857b5e88840,True,True,569
03_code_understanding,function_signature_analysis_advisory,deterministic_reference/02_function_signature_analysis.deterministic.json,/home/girish/thesis-agent-workflow-26-property-test/diagnostics/p19_orchestration_probe_20260711T080622Z/P19/runs/campaign_p19_mock/stages/03_code_understanding/deterministic_reference/02_function_signature_analysis.deterministic.json,True,9304396e57c0c8ed75ebc58a4ad814afdf97c7aff14495292c4d75e93f33d47f,9304396e57c0c8ed75ebc58a4ad814afdf97c7aff14495292c4d75e93f33d47f,True,True,1835
03_code_understanding,cbmc_harness_hints_advisory,deterministic_reference/02_cbmc_harness_hints.deterministic.json,/home/girish/thesis-agent-workflow-26-property-test/diagnostics/p19_orchestration_probe_20260711T080622Z/P19/runs/campaign_p19_mock/stages/03_code_understanding/deterministic_reference/02_cbmc_harness_hints.deterministic.json,True,1ea521b87de69eb6ce372b1ebc3b8a9dd70c1b1ef03e27ec18a3e4082b303680,1ea521b87de69eb6ce372b1ebc3b8a9dd70c1b1ef03e27ec18a3e4082b303680,True,True,1881
