Reading GOTO program from '/home/girish/THESIS-2026/mlk_poly_sub_cleanroom/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/05_POSITIVE_EXECUTION/B6_5_POSITIVE_EXECUTION_MLKEM768_RUN4_TOMSG_PRAGMA_RECOVERY_V3/recovery_build/tomsg_precondition_corrected.goto'
Function Pointer Removal
Virtual function removal
Cleaning inline assembler statements
main -> sub_t6_check_machine_model
main -> sub_t6_assume_callsite_inputs
main -> mlk_sub00r_b6_poly_sub
main -> mlk_sub00r_b6_poly_reduce
main -> mlk_sub00r_b6_poly_tomsg
__CPROVER__start -> __CPROVER_initialize
__CPROVER__start -> main
mlk_value_barrier_i32 -> mlk_ct_get_optblocker_i32
mlk_ct_sel_int16 -> mlk_cast_int16_to_uint16
mlk_ct_sel_int16 -> mlk_cast_int16_to_uint16
mlk_ct_sel_int16 -> mlk_ct_cmask_nonzero_u16
mlk_ct_sel_int16 -> mlk_cast_uint16_to_int16
mlk_cast_int16_to_uint16 -> mlk_cast_int32_to_uint16
mlk_cast_int16_to_uint16 -> mlk_cast_int32_to_uint16
mlk_ct_cmask_nonzero_u16 -> mlk_value_barrier_i32
mlk_ct_cmask_nonzero_u16 -> mlk_cast_int32_to_uint16
mlk_ct_get_optblocker_i32 -> mlk_ct_get_optblocker_u64
mlk_poly_reduce_c -> mlk_barrett_reduce
mlk_poly_reduce_c -> mlk_scalar_signed_to_unsigned_q
mlk_scalar_signed_to_unsigned_q -> mlk_ct_cmask_neg_i16
mlk_scalar_signed_to_unsigned_q -> mlk_ct_sel_int16
mlk_sub00r_b6_poly_tomsg -> mlk_scalar_compress_d1
mlk_ct_cmask_neg_i16 -> mlk_value_barrier_i32
mlk_ct_cmask_neg_i16 -> mlk_cast_int32_to_uint16
mlk_sub00r_b6_poly_reduce -> mlk_poly_reduce_c
