stage_key,agent,stage_type,stage_dir_exists,manifest_path,manifest_exists,manifest_sha256,manifest_error,manifest_stage,manifest_success,notes
01_master_orchestrator,Master Orchestrator,deterministic_control,True,/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/stages/01_master_orchestrator/stage_manifest.json,True,7bd81d6c544ab0e9089b12a68422e358d15437bcd292ce3caa603134ceed8c4e,,,,"{'purpose': 'Current deterministic control-plane records.', 'refresh_reason': 'before_experiment_logger', 'mutable_control_files_refreshed_deliberately': True, 'root_level_stage_outputs_allowed': False}"
02_spec_extraction,Specification Extraction,llm_backed,True,/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/stages/02_spec_extraction/stage_manifest.json,True,25df54b80f09cade8e0ef0ded1f2a1899b931721b2498dafff16db39116232f7,,,,"{'agent_version': 'agent2_spec_extraction_refactored.v1', 'deterministic_reference_policy': 'advisory_only_not_authoritative', 'root_level_outputs_written': False, 'duplicate_outputs_written': False}"
03_code_understanding,Code Understanding,llm_backed,True,/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/stages/03_code_understanding/stage_manifest.json,True,819aabd0745c880f42c62599ee20e646b15e4da5ee0803f54315f817a56b0d28,,,,"{'agent_version': 'agent3_code_understanding_refactored.v1', 'deterministic_reference_policy': 'advisory_only_not_authoritative', 'agent2_spec_summary_available': True, 'root_level_outputs_written': False, 'duplicate_outputs_written': False}"
04_property_discovery,Property Discovery,llm_backed,True,/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/stages/04_property_discovery/stage_manifest.json,True,0cffb8117a596dadc3872c2e2d1cc1ae1e5bf5ad85b66d9affd7797da53592eb,,,,"{'agent_version': 'agent4_property_discovery_refactored.v1', 'deterministic_reference_policy': 'advisory_only_not_authoritative', 'agent2_spec_summary_available': True, 'agent3_code_summary_available': True, 'root_level_outputs_written': False, 'duplicate_outputs_written': False}"
05_artifact_generation,Formal Artefact Generation,llm_backed_plus_rendering,True,/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/stages/05_artifact_generation/stage_manifest.json,True,39c5f94736b0a5f68dbb31c67c947529fc39221052dca0f582ddcc3525d3c031,,,,"{'agent_version': 'agent5_artifact_generation_refactored.v1', 'deterministic_reference_policy': 'advisory_or_prohibited_copy_reference_only', 'root_level_outputs_written': False, 'duplicate_outputs_written': False, 'cbmc_executed': False, 'formal_truth_claimed': False}"
06_review_critic,Review/Critic,llm_backed_plus_gate,True,/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/stages/06_review_critic/stage_manifest.json,True,463575edc94059b8c0172e27aa69729ad91149c8960164701ca04bfc9c0a8b2d,,,,"{'agent_version': 'agent6_review_critic_refactored.v2.iteration_contract', 'iteration': 0, 'selected_harness_path': '/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/stages/05_artifact_generation/rendered_outputs/04_generated_harness.c', 'selected_harness_source': 'orchestrator_current_artifact', 'deterministic_reference_policy': 'diagnostic_advisory_gate_support', 'root_level_outputs_written': False, 'duplicate_outputs_written': False, 'cbmc_executed': False, 'formal_truth_claimed': False, 'final_gate': 'human_review_required', 'tool_execution_allowed': False}"
07_tool_execution,Formal Tool Execution,deterministic_tool,True,/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/stages/07_tool_execution/stage_manifest.json,False,,missing,,,
08_counterexample_analysis,Counterexample Analysis,llm_backed,True,/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/stages/08_counterexample_analysis/stage_manifest.json,False,,missing,,,
09_repair_refinement,Repair/Refinement,llm_backed_plus_candidate_rendering,True,/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/stages/09_repair_refinement/stage_manifest.json,False,,missing,,,
10_experiment_logger,Experiment Logger,deterministic_logging,True,/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/stages/10_experiment_logger/stage_manifest.json,False,,missing,,,
11_evaluation_reporter,Evaluation Reporter,mixed_or_llm_backed,True,/home/girish/thesis-agent-workflow-26-property-test/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/stages/11_evaluation_reporter/stage_manifest.json,False,,missing,,,
