assumption_id	assumption	scope
A01	Frozen Git commit af4c5abdd5958bdc65a03cd5ee86708264f93304	T1/T2/T5
A02	compress.c SHA-256 9201bea6ddd1d7622cc6496d2f745fee52397d203392f75a3d6e52a400de5bad	T1/T2/T5
A03	compress.h SHA-256 0f357a30e7ea37351854dc550e502e5a7eaf80184896bf92b40073175706e0dd	T1/T2/T5
A04	ML-KEM-768 configuration	T1/T2/T5
A05	Portable-C path with assembly disabled	T1/T2/T5
A06	Canonical coefficients satisfy 0 <= u < 3329	T1/T2/T5
A07	Valid objects and required non-aliasing	T1/T2
A08	CBMC 6.9.0 bit-precise C machine model	T1/T2/T5
A09	Recorded verification support adapters faithfully model the build environment	T1/T2/T5
A10	Complete finite-loop bounds and unwinding assertions where production loops occur	T1/T2
A11	Independent threshold oracle matches the canonical Compress1 arithmetic	T1/T2/T5
A12	T5 fixes multiplier 1290168 and shift 31 while varying only uint32 offset	T5
A13	T5 universal parameter theorem concerns an evidence-local model bound to production at c = 2^30	T5
A14	CBMC, goto-cc, goto-instrument, SAT solver, shell, and hashing tools are within the trusted computing base	T1/T2/T5
