original_path	status	classification	retained_path	canonical_source_path	size	sha256	reason
.ZERO_FINAL_RUN2_AUDIT_TMP_17878/ZERO-V1_RUN_HASH_CHECK.txt	RETAINED	campaign-closure-integrity-audit	experiments/zeroize/campaign-closure/package-integrity-audit/ZERO-V1_RUN_HASH_CHECK.txt	.ZERO_FINAL_RUN2_AUDIT_TMP_17878/ZERO-V1_RUN_HASH_CHECK.txt	13353	f380a16a13030c515730e83cdb82b3f77a47a0aaed87ef05b5c6d259597071ce	Unique mutation-run hash revalidation record retained from the final audit workspace.
ZERO-00B2_BODY_PREFLIGHT_af4c5abd/ZERO-00B2_SHA256SUMS.txt	RETAINED	campaign-setup-body-binding-preflight	experiments/zeroize/00-campaign-setup/body-binding-preflight/raw-evidence/ZERO-00B2_SHA256SUMS.txt	ZERO-00B2_BODY_PREFLIGHT_af4c5abd/ZERO-00B2_SHA256SUMS.txt	1426	79cb8dd91bbc141058dba54bb7a39c8882ee8efdbdc01c87b510a9cd5bf341da	Original body-binding preflight evidence retained in its run context.
ZERO-00B2_BODY_PREFLIGHT_af4c5abd/exact_compilation_flags.txt	RETAINED	campaign-setup-body-binding-preflight	experiments/zeroize/00-campaign-setup/body-binding-preflight/raw-evidence/exact_compilation_flags.txt	ZERO-00B2_BODY_PREFLIGHT_af4c5abd/exact_compilation_flags.txt	571	cee7a70001a0d068fc77cb6d1c5667977076a597e86a4393ecaf297fcdbfcfb7	Original body-binding preflight evidence retained in its run context.
ZERO-00B2_BODY_PREFLIGHT_af4c5abd/fail_add_library_stderr.txt	RETAINED	campaign-setup-body-binding-preflight	experiments/zeroize/00-campaign-setup/body-binding-preflight/raw-evidence/fail_add_library_stderr.txt	ZERO-00B2_BODY_PREFLIGHT_af4c5abd/fail_add_library_stderr.txt	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Original body-binding preflight evidence retained in its run context.
ZERO-00B2_BODY_PREFLIGHT_af4c5abd/fail_add_library_stdout.txt	RETAINED	campaign-setup-body-binding-preflight	experiments/zeroize/00-campaign-setup/body-binding-preflight/raw-evidence/fail_add_library_stdout.txt	ZERO-00B2_BODY_PREFLIGHT_af4c5abd/fail_add_library_stdout.txt	318	d84ce7fe3d383e9de45da7ae8769b1501729b2040420499548851b21c40b8ca4	Original body-binding preflight evidence retained in its run context.
ZERO-00B2_BODY_PREFLIGHT_af4c5abd/fail_compile_stderr.txt	RETAINED	campaign-setup-body-binding-preflight	experiments/zeroize/00-campaign-setup/body-binding-preflight/raw-evidence/fail_compile_stderr.txt	ZERO-00B2_BODY_PREFLIGHT_af4c5abd/fail_compile_stderr.txt	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Original body-binding preflight evidence retained in its run context.
ZERO-00B2_BODY_PREFLIGHT_af4c5abd/fail_compile_stdout.txt	RETAINED	campaign-setup-body-binding-preflight	experiments/zeroize/00-campaign-setup/body-binding-preflight/raw-evidence/fail_compile_stdout.txt	ZERO-00B2_BODY_PREFLIGHT_af4c5abd/fail_compile_stdout.txt	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Original body-binding preflight evidence retained in its run context.
ZERO-00B2_BODY_PREFLIGHT_af4c5abd/fail_control_cbmc_output.txt	RETAINED	campaign-setup-body-binding-preflight	experiments/zeroize/00-campaign-setup/body-binding-preflight/raw-evidence/fail_control_cbmc_output.txt	ZERO-00B2_BODY_PREFLIGHT_af4c5abd/fail_control_cbmc_output.txt	16784	4bb745335169dbace449ba7c7cb64021d5637737eb54a359f58d6c424f124ddb	Original body-binding preflight evidence retained in its run context.
ZERO-00B2_BODY_PREFLIGHT_af4c5abd/pass_add_library_stderr.txt	RETAINED	campaign-setup-body-binding-preflight	experiments/zeroize/00-campaign-setup/body-binding-preflight/raw-evidence/pass_add_library_stderr.txt	ZERO-00B2_BODY_PREFLIGHT_af4c5abd/pass_add_library_stderr.txt	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Original body-binding preflight evidence retained in its run context.
ZERO-00B2_BODY_PREFLIGHT_af4c5abd/pass_add_library_stdout.txt	RETAINED	campaign-setup-body-binding-preflight	experiments/zeroize/00-campaign-setup/body-binding-preflight/raw-evidence/pass_add_library_stdout.txt	ZERO-00B2_BODY_PREFLIGHT_af4c5abd/pass_add_library_stdout.txt	318	cc452876cadcd3e827c2deaeb6d53079345463dcbdf710e9ca07f12fdd62ffb0	Original body-binding preflight evidence retained in its run context.
