claim_id,source_file,claim_type,text,has_evidence,human_review_required
input_assumptions_1,01_spec_summary.json,input_assumptions,"{""assumption"": ""set are given in Table 2 of Section 8. In addition to these five variable parameters, there are also"", ""confidence"": 0.66, ""evidence"": [{""confidence"": 0.66, ""end_line"": 40, ""extraction_method"": ""prepost_keyword_regex"", ""section_title"": ""MODULE-LATTICE-BASED KEY-ENCAPSULATION MECHANISM"", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 40, ""text"": ""set are given in Table 2 of Section 8. In addition to these five variable parameters,",True,True
input_assumptions_2,01_spec_summary.json,input_assumptions,"{""assumption"": ""(as specified in ML-KEM.Encaps) shall be performed by the cryptographic module."", ""confidence"": 0.66, ""evidence"": [{""confidence"": 0.66, ""end_line"": 76, ""extraction_method"": ""prepost_keyword_regex"", ""section_title"": ""MODULE-LATTICE-BASED KEY-ENCAPSULATION MECHANISM"", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 76, ""text"": ""(as specified in ML-KEM.Encaps) shall be performed by the cryptographic module.""}], ""human_review_required",True,True
input_assumptions_3,01_spec_summary.json,input_assumptions,"{""assumption"": ""implementation may replace the given set of steps with any mathematically equivalent set of"", ""confidence"": 0.66, ""evidence"": [{""confidence"": 0.66, ""end_line"": 78, ""extraction_method"": ""prepost_keyword_regex"", ""section_title"": ""MODULE-LATTICE-BASED KEY-ENCAPSULATION MECHANISM"", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 78, ""text"": ""implementation may replace the given set of steps with any mathematically equivalent set of""}]",True,True
input_assumptions_4,01_spec_summary.json,input_assumptions,"{""assumption"": ""produces the correct output for every input (where “input” includes the specified input as well"", ""confidence"": 0.66, ""evidence"": [{""confidence"": 0.66, ""end_line"": 80, ""extraction_method"": ""prepost_keyword_regex"", ""section_title"": ""MODULE-LATTICE-BASED KEY-ENCAPSULATION MECHANISM"", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 80, ""text"": ""produces the correct output for every input (where “input” includes the specified input as",True,True
input_assumptions_5,01_spec_summary.json,input_assumptions,"{""assumption"": ""If further key derivation is needed, the final symmetric keys shall be derived from this 256-bit"", ""confidence"": 0.66, ""evidence"": [{""confidence"": 0.66, ""end_line"": 86, ""extraction_method"": ""prepost_keyword_regex"", ""section_title"": ""MODULE-LATTICE-BASED KEY-ENCAPSULATION MECHANISM"", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 86, ""text"": ""If further key derivation is needed, the final symmetric keys shall be derived from this ",True,True
input_assumptions_6,01_spec_summary.json,input_assumptions,"{""assumption"": ""regarding combined KEMs is given in SP 800-227 [1]."", ""confidence"": 0.66, ""evidence"": [{""confidence"": 0.66, ""end_line"": 92, ""extraction_method"": ""prepost_keyword_regex"", ""section_title"": ""MODULE-LATTICE-BASED KEY-ENCAPSULATION MECHANISM"", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 92, ""text"": ""regarding combined KEMs is given in SP 800-227 [1].""}], ""human_review_required"": true, ""source"": ""precondition_keyword_extraction""}",True,True
input_assumptions_7,01_spec_summary.json,input_assumptions,"{""assumption"": ""Randomness generation. Two algorithms in this standard require the generation of randomness"", ""confidence"": 0.66, ""evidence"": [{""confidence"": 0.66, ""end_line"": 93, ""extraction_method"": ""prepost_keyword_regex"", ""section_title"": ""MODULE-LATTICE-BASED KEY-ENCAPSULATION MECHANISM"", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 93, ""text"": ""Randomness generation. Two algorithms in this standard require the generation of randomness""}]",True,True
input_assumptions_8,01_spec_summary.json,input_assumptions,"{""assumption"": ""must be generated for every such invocation. These random bytes shall be generated using an"", ""confidence"": 0.66, ""evidence"": [{""confidence"": 0.66, ""end_line"": 97, ""extraction_method"": ""prepost_keyword_regex"", ""section_title"": ""MODULE-LATTICE-BASED KEY-ENCAPSULATION MECHANISM"", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 97, ""text"": ""must be generated for every such invocation. These random bytes shall be generated using an""}]",True,True
input_assumptions_9,01_spec_summary.json,input_assumptions,"{""assumption"": ""Input checking. The algorithms ML-KEM.Encaps and ML-KEM.Decaps require input checking."", ""confidence"": 0.66, ""evidence"": [{""confidence"": 0.66, ""end_line"": 101, ""extraction_method"": ""prepost_keyword_regex"", ""section_title"": ""Input checking. The algorithms ML-KEM.Encaps and ML-KEM.Decaps require input checking."", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 101, ""text"": ""Input checking. The algorithms ML-KEM.Encaps and ML-KEM.Dec",True,True
input_assumptions_10,01_spec_summary.json,input_assumptions,"{""assumption"": ""retained in memory after the algorithm terminates. All other data shall be destroyed prior to"", ""confidence"": 0.66, ""evidence"": [{""confidence"": 0.66, ""end_line"": 108, ""extraction_method"": ""prepost_keyword_regex"", ""section_title"": ""inputs that have been checked, as described in Section 7."", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 108, ""text"": ""retained in memory after the algorithm terminates. All other data shall be destro",True,True
