ID	Property	Classification	Domain	Result
T1.P2	Centered output range	Existing-contract baseline	All int16 inputs	PASS
T1.P3	Congruence modulo 3329	Documented semantics newly asserted	All int16 inputs	PASS
T1.P4	Independent centered-oracle equivalence	Research-added implementation refinement	All int16 inputs	PASS
T1.P5	Unique closest int16 representative	Research-added derived property	All int16 input pairs a,y	PASS
T2.P6	Centered fixed point	Research-added derived regression law	All int16 inputs with implication antecedent	PASS
T2.P7	Idempotence	Research-added derived regression law	All int16 inputs	PASS
T2.P8	Residue-class invariance	Research-added derived regression law	All int16 pairs a,b with implication antecedent	PASS
C1	Nine critical boundary controls	Non-vacuity/control	9 concrete cases	PASS
C2	Eight normalizer-law controls	Non-vacuity/control	8 concrete cases	PASS
M1	Magic 20159 to 20158	Implementation mutation	All int16 inputs	KILLED
M2	Rounding offset removed	Implementation mutation	All int16 inputs	KILLED
M3	False oracle threshold 1663	Oracle mutation	All int16 inputs	KILLED
