original_path	size	sha256	classification	retained_path	rationale
CANON00B_af4c5abd/00_source_binding/commit_metadata.txt	289	757e2ef1b81833e0c316d3900c553d091beff23b701d1ed27eb2b995316eaf1a	retained-contextual-evidence	experiments/scalar-signed-to-unsigned-q/00-campaign-setup/preregistration-and-source-binding/00_source_binding/commit_metadata.txt	Retained because the file is part of a distinct campaign stage or run context.
CANON00B_af4c5abd/00_source_binding/negative_mask_excerpt.txt	1057	f20bfb7648df637a84f0f94ac78578614ca3bf5c094b6d7189c48785cc1b2e20	retained-contextual-evidence	experiments/scalar-signed-to-unsigned-q/00-campaign-setup/preregistration-and-source-binding/00_source_binding/negative_mask_excerpt.txt	Retained because the file is part of a distinct campaign stage or run context.
CANON00B_af4c5abd/00_source_binding/poly_target_and_callsite_excerpt.txt	2320	ddf048d7a107f97b2e74d0511a6d27780cba79ed2524041b883342a697247135	retained-contextual-evidence	experiments/scalar-signed-to-unsigned-q/00-campaign-setup/preregistration-and-source-binding/00_source_binding/poly_target_and_callsite_excerpt.txt	Retained because the file is part of a distinct campaign stage or run context.
CANON00B_af4c5abd/00_source_binding/relevant_source_sha256.txt	1202	192f68a97421fe427629ef10a91b2b431b794d97f8aa94e648cbb70ae30d0c77	retained-contextual-evidence	experiments/scalar-signed-to-unsigned-q/00-campaign-setup/preregistration-and-source-binding/00_source_binding/relevant_source_sha256.txt	Retained because the file is part of a distinct campaign stage or run context.
CANON00B_af4c5abd/00_source_binding/selector_excerpt.txt	1064	5658c70035083e190441878a8fe322732e3157a6f6ac8961a1c5c0c86ed00a68	retained-contextual-evidence	experiments/scalar-signed-to-unsigned-q/00-campaign-setup/preregistration-and-source-binding/00_source_binding/selector_excerpt.txt	Retained because the file is part of a distinct campaign stage or run context.
CANON00B_af4c5abd/00_source_binding/source_binding.txt	408	85bb6ea49c7232572eeb505b09a73338d2513467f0725cf2d31c57586235ee3e	retained-contextual-evidence	experiments/scalar-signed-to-unsigned-q/00-campaign-setup/preregistration-and-source-binding/00_source_binding/source_binding.txt	Retained because the file is part of a distinct campaign stage or run context.
CANON00B_af4c5abd/01_verification_intent/verification_intent.json	3232	1bd6f2cd995a15edbd4722a23ec6854f168ce0a54a5570bc887ae2a9dc74880e	retained-contextual-evidence	experiments/scalar-signed-to-unsigned-q/00-campaign-setup/preregistration-and-source-binding/01_verification_intent/verification_intent.json	Retained because the file is part of a distinct campaign stage or run context.
CANON00B_af4c5abd/02_theorem_registry/property_registry.tsv	873	4cab12dff6c4537bea0dd5706da223a1fc21a873478e21fb3310bae73825d862	retained-contextual-evidence	experiments/scalar-signed-to-unsigned-q/00-campaign-setup/preregistration-and-source-binding/02_theorem_registry/property_registry.tsv	Retained because the file is part of a distinct campaign stage or run context.
CANON00B_af4c5abd/02_theorem_registry/theorem_registry.md	3397	435afec5bace6b0c55ffb96c522d6be793d04d909961e7339c36429ded91aa52	retained-contextual-evidence	experiments/scalar-signed-to-unsigned-q/00-campaign-setup/preregistration-and-source-binding/02_theorem_registry/theorem_registry.md	Retained because the file is part of a distinct campaign stage or run context.
CANON00B_af4c5abd/03_assumptions_and_controls/assumptions.md	1753	0b5f25d6e63e31f0932c8a3290427e861cfc033a9cf7b31a9ce87e787a9114ba	retained-contextual-evidence	experiments/scalar-signed-to-unsigned-q/00-campaign-setup/preregistration-and-source-binding/03_assumptions_and_controls/assumptions.md	Retained because the file is part of a distinct campaign stage or run context.
CANON00B_af4c5abd/03_assumptions_and_controls/control_registry.md	1225	7752314ad3a6fed80bd3d62e7c4ceaf1172a3bc32e70742fd94521b589d16757	retained-contextual-evidence	experiments/scalar-signed-to-unsigned-q/00-campaign-setup/preregistration-and-source-binding/03_assumptions_and_controls/control_registry.md	Retained because the file is part of a distinct campaign stage or run context.
CANON00B_af4c5abd/04_native_overlap/native_barrett_Makefile.txt	2002	60b43149f1fa523659a5d5fc55b1ecdf6d2f44f0c2988f8903b699bbf3e23672	retained-contextual-evidence	experiments/scalar-signed-to-unsigned-q/00-campaign-setup/preregistration-and-source-binding/04_native_overlap/native_barrett_Makefile.txt	Retained because the file is part of a distinct campaign stage or run context.
CANON00B_af4c5abd/04_native_overlap/native_barrett_harness.c	331	2257c68f1412b9b4a4a66b7bd5c178d87dd0d571ad1a487df4392ce1c84b20dc	retained-contextual-evidence	experiments/scalar-signed-to-unsigned-q/00-campaign-setup/preregistration-and-source-binding/04_native_overlap/native_barrett_harness.c	Retained because the file is part of a distinct campaign stage or run context.
CANON00B_af4c5abd/04_native_overlap/native_overlap_boundary.md	1417	be61b5fda67e8316e1fe327536b3bfceeea60ce2c06deb54a7b39c06516ff3da	retained-contextual-evidence	experiments/scalar-signed-to-unsigned-q/00-campaign-setup/preregistration-and-source-binding/04_native_overlap/native_overlap_boundary.md	Retained because the file is part of a distinct campaign stage or run context.
CANON00B_af4c5abd/04_native_overlap/native_poly_reduce_c_Makefile.txt	1291	0683127fba5d2cefcdb804742160e9b0c8ddd23383c997beb0762576156c3f6f	retained-contextual-evidence	experiments/scalar-signed-to-unsigned-q/00-campaign-setup/preregistration-and-source-binding/04_native_overlap/native_poly_reduce_c_Makefile.txt	Retained because the file is part of a distinct campaign stage or run context.
CANON00B_af4c5abd/04_native_overlap/native_poly_reduce_c_harness.c	366	1a9c8d770e6b46ba8a58d769bd77d599673bc022971154190b0c5d6d93ee96ba	retained-contextual-evidence	experiments/scalar-signed-to-unsigned-q/00-campaign-setup/preregistration-and-source-binding/04_native_overlap/native_poly_reduce_c_harness.c	Retained because the file is part of a distinct campaign stage or run context.
CANON00B_af4c5abd/04_native_overlap/native_scalar_Makefile.txt	2077	bea04cbfd2eeff047d23f6bfcc9cdd64d0f3557402f7f11d204f99a1022588f5	retained-contextual-evidence	experiments/scalar-signed-to-unsigned-q/00-campaign-setup/preregistration-and-source-binding/04_native_overlap/native_scalar_Makefile.txt	Retained because the file is part of a distinct campaign stage or run context.
CANON00B_af4c5abd/04_native_overlap/native_scalar_harness.c	405	db059c559d2ad2c63b9ed8a5a64ba85701c5a6e5e2c2b0c4f71174df2fd2babd	retained-contextual-evidence	experiments/scalar-signed-to-unsigned-q/00-campaign-setup/preregistration-and-source-binding/04_native_overlap/native_scalar_harness.c	Retained because the file is part of a distinct campaign stage or run context.
CANON00B_af4c5abd/05_manifest/CANON00B_FREEZE_RECORD.txt	331	609ac7edbd049aa7404715855ed181b46893932a3371cd7c49605323f3319a0b	retained-contextual-evidence	experiments/scalar-signed-to-unsigned-q/00-campaign-setup/preregistration-and-source-binding/05_manifest/CANON00B_FREEZE_RECORD.txt	Retained because the file is part of a distinct campaign stage or run context.
CANON00B_af4c5abd/05_manifest/CANON00B_SHA256SUMS.txt	2094	76b72bed8cb4c0f8e2acda8d24e71e15461991280cd90370738f3a8746e1e523	retained-contextual-evidence	experiments/scalar-signed-to-unsigned-q/00-campaign-setup/preregistration-and-source-binding/05_manifest/CANON00B_SHA256SUMS.txt	Retained because the file is part of a distinct campaign stage or run context.
CANON00B_af4c5abd/05_manifest/CANON00B_SHA256SUMS.txt.sha256	187	591f27f1695eedef7bac9db100883ec08621827b4a6e6576fdf2547d0fabbe42	retained-contextual-evidence	experiments/scalar-signed-to-unsigned-q/00-campaign-setup/preregistration-and-source-binding/05_manifest/CANON00B_SHA256SUMS.txt.sha256	Retained because the file is part of a distinct campaign stage or run context.
CANON00C_R4_T1_af4c5abd/00_binding/binding_record.txt	386	045d416f56d597f9d464ec977176d313c92e77396bc032b40ea44768b0144d72	retained-contextual-evidence	experiments/scalar-signed-to-unsigned-q/00-campaign-setup/early-t1-development/CANON00C-R4/00_binding/binding_record.txt	Retained because the file is part of a distinct campaign stage or run context.
CANON00C_R4_T1_af4c5abd/01_native_direct_control/default_sat.stderr.txt	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	retained-contextual-evidence	experiments/scalar-signed-to-unsigned-q/00-campaign-setup/early-t1-development/CANON00C-R4/01_native_direct_control/default_sat.stderr.txt	Retained because the file is part of a distinct campaign stage or run context.
