incoming_top_folder_or_file,file_count,unique_sha256_count,total_bytes,classified_root
MLK_POLY_TOMSG_T1_T2_T5_COMBINED_CLOSURE_20260723T174232Z_af4c5abdd595.tar.gz.contents.txt,1,1,4061,experiments/poly-tomsg/90-archive-companions/combined-campaign-closure
MLK_POLY_TOMSG_T1_T2_T5_COMBINED_CLOSURE_20260723T174232Z_af4c5abdd595.tar.gz.sha256,1,1,144,experiments/poly-tomsg/90-archive-companions/combined-campaign-closure
MLK_POLY_TOMSG_T1_T2_T5_COMBINED_CLOSURE_20260723T174232Z_af4c5abdd595.terminal.txt,1,1,12340,experiments/poly-tomsg/90-archive-companions/combined-campaign-closure
MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_20260723T134156Z_af4c5abdd595.tar.gz.contents.txt,1,1,49818,experiments/poly-tomsg/90-archive-companions/T2-original-acceptance
MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_20260723T134156Z_af4c5abdd595.tar.gz.sha256,1,1,141,experiments/poly-tomsg/90-archive-companions/T2-original-acceptance
MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_20260723T134156Z_af4c5abdd595.terminal.txt,1,1,14156,experiments/poly-tomsg/90-archive-companions/T2-original-acceptance
MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_REPAIRED_20260723T173657Z_af4c5abdd595.tar.gz.contents.txt,1,1,1686,experiments/poly-tomsg/90-archive-companions/T2-repaired-acceptance
MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_REPAIRED_20260723T173657Z_af4c5abdd595.tar.gz.sha256,1,1,150,experiments/poly-tomsg/90-archive-companions/T2-repaired-acceptance
MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_REPAIRED_20260723T173657Z_af4c5abdd595.terminal.txt,1,1,4417,experiments/poly-tomsg/90-archive-companions/T2-repaired-acceptance
MLK_POLY_TOMSG_T5_EXACT_OFFSET_INTERVAL_ACCEPTED_20260723T165407Z_af4c5abdd595.tar.gz.contents.txt,1,1,23654,experiments/poly-tomsg/90-archive-companions/T5-exact-offset-acceptance
MLK_POLY_TOMSG_T5_EXACT_OFFSET_INTERVAL_ACCEPTED_20260723T165407Z_af4c5abdd595.tar.gz.sha256,1,1,152,experiments/poly-tomsg/90-archive-companions/T5-exact-offset-acceptance
MLK_POLY_TOMSG_T5_EXACT_OFFSET_INTERVAL_ACCEPTED_20260723T165407Z_af4c5abdd595.terminal.txt,1,1,9747,experiments/poly-tomsg/90-archive-companions/T5-exact-offset-acceptance
MSG00A_af4c5abdd595,2,2,130623,experiments/poly-tomsg/00-campaign-context/00-starting-state
MSG00B_af4c5abdd595,2121,991,20632801,experiments/poly-tomsg/00-campaign-context/01-frozen-source-and-overlap-audit
MSG00CDE_af4c5abdd595,13,13,115330,experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze
MSG00F_af4c5abdd595,11,11,610819,experiments/poly-tomsg/00-campaign-context/03-build-and-body-binding-preflight
MSG00_af4c5ab,67,58,889949,experiments/poly-tomsg/00-campaign-context/04-native-baseline-runs
MSG01A_T1_CANDIDATE_V1_af4c5abdd595,5,5,9141,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/00-candidate-development/01-candidate-v1
MSG01B_T1_CANDIDATE_V2_af4c5abdd595,12,12,239714,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/00-candidate-development/02-candidate-v2
MSG01C_T1_CANDIDATE_V3_SCU_af4c5abdd595,11,10,122892,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/00-candidate-development/03-candidate-v3-single-compilation-unit
MSG01D_RETRY1_TRANSFORM_V3_af4c5abdd595,13,12,583809,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/00-candidate-development/04-v3-transform-retry
MSG01E_T1_CANDIDATE_V4_CONTRACT_ERASED_af4c5abdd595,21,20,196921,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/00-candidate-development/05-candidate-v4-contract-erased
MSG01F_T1_V4_DIRECT_PRAGMA_RECOVERY_af4c5abdd595,21,20,178651,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/00-candidate-development/06-v4-direct-pragma-recovery
MSG01G_R1_T1_FROZEN_EXECUTION_INPUT_V1_af4c5abdd595,29,29,260500,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/01-frozen-execution-input/01-revised-freeze
MSG01G_T1_FROZEN_EXECUTION_INPUT_V1_af4c5abdd595,23,23,321229,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/01-frozen-execution-input/00-original-freeze
MSG01H_T1_AUTHORITATIVE_POSITIVE_RUN1_af4c5abdd595,22,22,775606,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/02-authoritative-positive-run
MSG01I_R1_T1_REACHABILITY_CONTROL_FREEZE_V1_af4c5abdd595,42,38,343444,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/03-reachability-controls/01-revised-family-freeze
MSG01I_T1_REACHABILITY_CONTROL_FREEZE_V1_af4c5abdd595,32,30,324405,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/03-reachability-controls/00-original-family-freeze
MSG01J_D1_UNWIND_PROPERTY_INSPECTION_af4c5abdd595,4,4,2187,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/03-reachability-controls/02-unwind-property-inspection
MSG01J_R1_T1_REACHABILITY_NONVACUITY_RUN1_af4c5abdd595,25,25,786049,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/04-reachability-nonvacuity/01-revised-run
MSG01J_R2_T1_REACHABILITY_NONVACUITY_RUN1_af4c5abdd595,38,33,6248302,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/04-reachability-nonvacuity/02-insufficient-unwind-study
MSG01J_R3_T1_REACHABILITY_NONVACUITY_FINAL_af4c5abdd595,50,45,8492062,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/04-reachability-nonvacuity/03-final-run
MSG01J_T1_REACHABILITY_NONVACUITY_RUN1_af4c5abdd595,11,11,16463,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/04-reachability-nonvacuity/00-original-run
MSG01K_R1_T1_MUTATION_FAMILY_FREEZE_V1_af4c5abdd595,206,134,3852773,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/05-mutation-sensitivity/01-revised-family-freeze
MSG01K_T1_MUTATION_FAMILY_FREEZE_V1_af4c5abdd595,14,14,76867,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/05-mutation-sensitivity/00-original-family-freeze
MSG01L_R1_T1_MUTATION_EXECUTION_RUN1_af4c5abdd595,69,55,46534131,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/05-mutation-sensitivity/03-revised-execution
MSG01L_T1_MUTATION_EXECUTION_RUN1_af4c5abdd595,3,3,8868,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/05-mutation-sensitivity/02-original-execution
MSG01M_R1_T1_FINAL_EVIDENCE_CONSOLIDATION_af4c5abdd595,1,1,1321,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/06-final-evidence-consolidation/01-revision-1
MSG01M_R2_T1_FINAL_EVIDENCE_CONSOLIDATION_af4c5abdd595,59,59,226563,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/06-final-evidence-consolidation/02-revision-2-final
MSG01M_R2_T1_FINAL_EVIDENCE_CONSOLIDATION_af4c5abdd595.archive_listing.txt,1,1,7172,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/06-final-evidence-consolidation/03-archive-companions
MSG01M_R2_T1_FINAL_EVIDENCE_CONSOLIDATION_af4c5abdd595.tar.gz.sha256,1,1,178,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/06-final-evidence-consolidation/03-archive-companions
MSG01M_T1_FINAL_EVIDENCE_CONSOLIDATION_af4c5abdd595,1,1,30082,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/06-final-evidence-consolidation/00-original-marker
MSG02A_T2_BUILD_INHERITANCE_AUDIT_af4c5abdd595,4,4,200941,experiments/poly-tomsg/MSG-T2-relational-properties/00-build-inheritance-audit
MSG02B_R1_T2_RELATIONAL_XOR_RUN1_20260723T113821Z_af4c5abdd595,37,32,1131211,experiments/poly-tomsg/MSG-T2-relational-properties/01-R1-xor-relational-run
MSG02C_R1_REACHABILITY_MUTATION_RUN1_20260723T115043Z_af4c5abdd595,62,52,17885269,experiments/poly-tomsg/MSG-T2-relational-properties/02-R1-reachability-and-mutation
