candidate	decision	reason
exact_arithmetic_ByteEncode12	RETAIN_AS_T1	Required target-specific semantic baseline absent from upstream functional contract
bit_permutation_Hamming_XOR	REJECT_AS_PRIMARY	Overlaps completed tomsg exact-bit and relational-XOR architecture
carry_transition_partition	RETAIN_AS_T2	No equivalent target-specific theorem located
generic_codeword_fixed_point	STRENGTHEN_AS_T3	Avoid frommsg round-trip and compression fixed-point duplication
prefix_earliest_difference	REJECT_AS_PRIMARY	Overlaps locality confinement frame and non-interference campaigns
recoverability_injectivity	RETAIN_AS_T4	Strong lossless property not established by audited campaigns
upstream_poly_tobytes	DISTINCT	Contract and safety harnesses lack explicit byte-level semantic assertions
polycomp_d4	PARTIAL_ARCHITECTURAL_OVERLAP	Refinement image retraction fixed-point and locality already used
poly_tomsg	PRIMARY_OVERLAP_CONTROL	Exact bit XOR locality confinement frame and determinism already used
poly_frommsg	PRIMARY_OVERLAP_CONTROL	Round-trip bit-round-trip codebook fixed-point and decoding already used
poly_sub	GENERIC_CONTROL_OVERLAP	Frame locality non-interference and determinism already used
poly_add	NOT_LOCATED_IN_00C_ROOTS	Do not claim universal all-campaign audit
