retained_path	retained_sha256	original_occurrences	omitted_duplicate_occurrences	original_paths
experiments/barrett-reduce/00-campaign-setup/records-and-early-development/BR_AF4_00ABC_RETRY3/BR_AF4_00ABC_retry3_sha256.txt	7920151d06ece3252e1494640bd54d77e257029c15cc196b50b2ace44fce69de	4	3	BR_AF4_00ABC_RETRY3/BR_AF4_00ABC_retry3_sha256.txt | BR_AF4_BARRETT_THEOREM_FAMILY_FINAL_V1/T1_final/BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00ABC_retry3_sha256.txt | BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00ABC_retry3_sha256.txt | BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00ABC_retry3_sha256.txt
experiments/barrett-reduce/00-campaign-setup/records-and-early-development/BR_AF4_00ABC_RETRY3/BR_AF4_00ABC_retry3_sha256.txt.sha256	927b9defe0f954a2ba03d3473b5d6f3711accd146432a15a37ccdb2c10e90091	4	3	BR_AF4_00ABC_RETRY3/BR_AF4_00ABC_retry3_sha256.txt.sha256 | BR_AF4_BARRETT_THEOREM_FAMILY_FINAL_V1/T1_final/BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00ABC_retry3_sha256.txt.sha256 | BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00ABC_retry3_sha256.txt.sha256 | BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00ABC_retry3_sha256.txt.sha256
experiments/barrett-reduce/00-campaign-setup/records-and-early-development/BR_AF4_00ABC_RETRY3/BR_AF4_00ABC_retry3_summary.txt	c536299c9bb2cda7da1c3f097ab094b94502467fbb920e8cd687eef9b459490e	4	3	BR_AF4_00ABC_RETRY3/BR_AF4_00ABC_retry3_summary.txt | BR_AF4_BARRETT_THEOREM_FAMILY_FINAL_V1/T1_final/BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00ABC_retry3_summary.txt | BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00ABC_retry3_summary.txt | BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00ABC_retry3_summary.txt
experiments/barrett-reduce/00-campaign-setup/records-and-early-development/BR_AF4_00ABC_RETRY3/BR_AF4_00A_common_header_diagnostic.txt	b6f33d26159071f1522c62ba549620639b7ed3fc57cf7f20d46223b676244838	4	3	BR_AF4_00ABC_RETRY3/BR_AF4_00A_common_header_diagnostic.txt | BR_AF4_BARRETT_THEOREM_FAMILY_FINAL_V1/T1_final/BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00A_common_header_diagnostic.txt | BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00A_common_header_diagnostic.txt | BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00A_common_header_diagnostic.txt
experiments/barrett-reduce/00-campaign-setup/records-and-early-development/BR_AF4_00ABC_RETRY3/BR_AF4_00A_retry3_precheck.txt	00952b8887bbce69866cc918cd64c30b49790b3d75aabfbd5cbdd92904f010ba	4	3	BR_AF4_00ABC_RETRY3/BR_AF4_00A_retry3_precheck.txt | BR_AF4_BARRETT_THEOREM_FAMILY_FINAL_V1/T1_final/BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00A_retry3_precheck.txt | BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00A_retry3_precheck.txt | BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00A_retry3_precheck.txt
experiments/barrett-reduce/00-campaign-setup/records-and-early-development/BR_AF4_00ABC_RETRY3/BR_AF4_00A_source_build_hashes.txt	4022b34e87c6f51a749689f9a4e5bd4315148456cf8183cc3397e14b89c04ecf	4	3	BR_AF4_00ABC_RETRY3/BR_AF4_00A_source_build_hashes.txt | BR_AF4_BARRETT_THEOREM_FAMILY_FINAL_V1/T1_final/BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00A_source_build_hashes.txt | BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00A_source_build_hashes.txt | BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00A_source_build_hashes.txt
experiments/barrett-reduce/00-campaign-setup/records-and-early-development/BR_AF4_00ABC_RETRY3/BR_AF4_00B_native_cbmc_baseline.txt	6c580fcd2f187a96687354df5ad429ba4c35fd537876d3a82cb89374f92d3d07	4	3	BR_AF4_00ABC_RETRY3/BR_AF4_00B_native_cbmc_baseline.txt | BR_AF4_BARRETT_THEOREM_FAMILY_FINAL_V1/T1_final/BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00B_native_cbmc_baseline.txt | BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00B_native_cbmc_baseline.txt | BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00B_native_cbmc_baseline.txt
experiments/barrett-reduce/00-campaign-setup/records-and-early-development/BR_AF4_00ABC_RETRY3/BR_AF4_00B_native_make_dry_run.txt	c69d93b2808abcd281338baf3239c6946674f6353b7d314a63367dbb5bc0d6a3	4	3	BR_AF4_00ABC_RETRY3/BR_AF4_00B_native_make_dry_run.txt | BR_AF4_BARRETT_THEOREM_FAMILY_FINAL_V1/T1_final/BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00B_native_make_dry_run.txt | BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00B_native_make_dry_run.txt | BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00B_native_make_dry_run.txt
experiments/barrett-reduce/00-campaign-setup/records-and-early-development/BR_AF4_00ABC_RETRY3/BR_AF4_00B_native_result_summary.txt	bfd616ed308e9d3b4a290f00b0b054f51dfd940fa28e555b6b30767f76679bff	4	3	BR_AF4_00ABC_RETRY3/BR_AF4_00B_native_result_summary.txt | BR_AF4_BARRETT_THEOREM_FAMILY_FINAL_V1/T1_final/BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00B_native_result_summary.txt | BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00B_native_result_summary.txt | BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00B_native_result_summary.txt
experiments/barrett-reduce/00-campaign-setup/records-and-early-development/BR_AF4_00ABC_RETRY3/BR_AF4_00B_post_run_state.txt	4341e784c15ad0dfe5aac70092bef18fc5b74f149b3a8da2275b1cb55bd30669	4	3	BR_AF4_00ABC_RETRY3/BR_AF4_00B_post_run_state.txt | BR_AF4_BARRETT_THEOREM_FAMILY_FINAL_V1/T1_final/BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00B_post_run_state.txt | BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00B_post_run_state.txt | BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00B_post_run_state.txt
experiments/barrett-reduce/00-campaign-setup/records-and-early-development/BR_AF4_00ABC_RETRY3/BR_AF4_00C_cbmc_overlap_audit.txt	73e24f88f1d5ed8ea7e026b6c5e43efe8092663af9f73d2e984ca455d960f60a	4	3	BR_AF4_00ABC_RETRY3/BR_AF4_00C_cbmc_overlap_audit.txt | BR_AF4_BARRETT_THEOREM_FAMILY_FINAL_V1/T1_final/BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00C_cbmc_overlap_audit.txt | BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00C_cbmc_overlap_audit.txt | BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00C_cbmc_overlap_audit.txt
experiments/barrett-reduce/00-campaign-setup/records-and-early-development/BR_AF4_00ABC_RETRY3/BR_AF4_00C_direct_barrett_audit.txt	737c8fd732a145479ffebd100c56f27bea6f78a6f34dca2fb2a5afe4cc5369a3	4	3	BR_AF4_00ABC_RETRY3/BR_AF4_00C_direct_barrett_audit.txt | BR_AF4_BARRETT_THEOREM_FAMILY_FINAL_V1/T1_final/BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00C_direct_barrett_audit.txt | BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00C_direct_barrett_audit.txt | BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00C_direct_barrett_audit.txt
experiments/barrett-reduce/00-campaign-setup/records-and-early-development/BR_AF4_00ABC_RETRY3/BR_AF4_00C_property_overlap_audit.txt	849d28876ccd03963e65dc3584a995e862f8b40c06893b6101f9950da9a02472	4	3	BR_AF4_00ABC_RETRY3/BR_AF4_00C_property_overlap_audit.txt | BR_AF4_BARRETT_THEOREM_FAMILY_FINAL_V1/T1_final/BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00C_property_overlap_audit.txt | BR_AF4_T1_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00C_property_overlap_audit.txt | BR_AF4_T1_FREEZE_CANDIDATE_V1/provenance/BR_AF4_00ABC_RETRY3/BR_AF4_00C_property_overlap_audit.txt
experiments/barrett-reduce/T01-exact-centered-refinement/final-review/FINAL_PACKET_FILE_INVENTORY.txt	6f995a5380d0deb0482cbce9bcb7e12866188a0fdfe288c5f39f87accbde1cdc	2	1	BR_AF4_BARRETT_THEOREM_FAMILY_FINAL_V1/T1_final/BR_AF4_T1_FINAL_FREEZE_V1/FINAL_PACKET_FILE_INVENTORY.txt | BR_AF4_T1_FINAL_FREEZE_V1/FINAL_PACKET_FILE_INVENTORY.txt
experiments/barrett-reduce/T01-exact-centered-refinement/final-review/FINAL_PACKET_SHA256_MANIFEST.txt	3cb8567ffff4f5e94ba1543d89c3aba76fe7fa6d68065b70d5cea18c82d2b46b	2	1	BR_AF4_BARRETT_THEOREM_FAMILY_FINAL_V1/T1_final/BR_AF4_T1_FINAL_FREEZE_V1/FINAL_PACKET_SHA256_MANIFEST.txt | BR_AF4_T1_FINAL_FREEZE_V1/FINAL_PACKET_SHA256_MANIFEST.txt
experiments/barrett-reduce/T01-exact-centered-refinement/final-review/FINAL_PACKET_SHA256_MANIFEST.txt.sha256	2d4e37c5618dca0312c0a4379520ad105fe50b98e4d6138ad474cddcaa742ac5	2	1	BR_AF4_BARRETT_THEOREM_FAMILY_FINAL_V1/T1_final/BR_AF4_T1_FINAL_FREEZE_V1/FINAL_PACKET_SHA256_MANIFEST.txt.sha256 | BR_AF4_T1_FINAL_FREEZE_V1/FINAL_PACKET_SHA256_MANIFEST.txt.sha256
experiments/barrett-reduce/T01-exact-centered-refinement/final-review/T1_FINAL_FORENSIC_REVIEW_VERDICT.txt	d533762d3f6555ce1ca2c0b756ca84e226ee62430d0854a23316f4e92c1b5a93	5	4	BR_AF4_BARRETT_THEOREM_FAMILY_FINAL_V1/T1_final/BR_AF4_T1_FINAL_FREEZE_V1/T1_FINAL_FORENSIC_REVIEW_VERDICT.txt | BR_AF4_T1_FINAL_FREEZE_V1/T1_FINAL_FORENSIC_REVIEW_VERDICT.txt | BR_AF4_T1_T5_COMPLETE_THEOREM_FAMILY_EVIDENCE_CANDIDATE_V1/verdicts/T1_FINAL_VERDICT.txt | BR_AF4_T3_FINAL_FREEZE_V1/candidate_evidence/BR_AF4_T3_FREEZE_CANDIDATE_V1/parent_verdicts/T1_FINAL_FORENSIC_REVIEW_VERDICT.txt | BR_AF4_T3_FREEZE_CANDIDATE_V1/parent_verdicts/T1_FINAL_FORENSIC_REVIEW_VERDICT.txt
