path,sha256,size_bytes,line_count,in_original_poly_add_proof_directory,contains_direct_target_reference
REFERENCE.md,cdf533585d2adb81ec30cb1ae312a11a6319d10fbd449a1c961108af7a98f19e,2848,23,no,yes
SOUNDNESS.md,f7088ae5b250c15f9c324a02329b66f2a9d64d6e69063eeb490a880fe92677a6,35889,543,no,no
mlkem/mlkem_native.c,c09e20cd67f4d95ffab70da39d054c569b82572cc0e7d7784437d83420ed77a6,21969,701,no,yes
mlkem/src/indcpa.c,ffc9cd09fb9a5926c8540b52181b064e7ae46b3d117e10ca51ac0d0ca940f6bd,23665,653,no,yes
mlkem/src/poly.c,f427dda46e29d53d3e33d683c9a8483bade3568eff43fb97b868a21bfd07c722,18569,576,no,yes
mlkem/src/poly.h,f24f980110953c1d361e04137e13e2f85f76db776903f85c98f24900e85f7aef,10117,290,no,yes
mlkem/src/poly_k.c,7dea24a0591b0fb033f7a8be214d687fbde11541c274a114ac3067af12b87c32,17662,501,no,yes
mlkem/src/poly_k.h,09bdfd4a19a9cb495832a78d0f099a6c949c40014472b33fb54d66bb56e660e0,22592,593,no,no
proofs/cbmc/README.md,2bfcf066dd68d747f3b283504be3e6aa9abb28d6d68a3cffcf4980706bdd349f,3253,78,no,yes
proofs/cbmc/indcpa_enc/Makefile,b167b9a5bcbe3274df4e9da8c20f7dc773f39a6a05ae6dd908a873b576af8392,2811,72,no,yes
proofs/cbmc/poly_add/Makefile,0df1004d25414b9163721a6741810f9e4f73a4bbaa033ea9c8c0519c0f364686,1978,55,yes,yes
proofs/cbmc/poly_add/poly_add_harness.c,ff4c40902b23a6a30c717f9381be5d5ba65cb027ed07489311ce4720c6bb9188,253,11,yes,yes
proofs/cbmc/polyvec_add/Makefile,41f6583e92dc7ad78a76c397ecc014dddbaeaa465ae08fcdf009aaafc32bd21a,1992,54,no,yes
proofs/cbmc/proof_guide.md,79ce7c38279195008678419a6dc80dad8ae10f448cfd18eb181001f217d32835,23977,638,no,yes
test/bench/bench_components_mlkem.c,8555edd9fa4f8c273c4d5267d24a6c773efe0937e138d2dbe7768123a39d3746,13349,372,no,yes
