stage	role	directory
MSG02B	R1 positive relational XOR proof	MSG02B_R1_T2_RELATIONAL_XOR_RUN1_20260723T113821Z_af4c5abdd595
MSG02C	R1 reachability and drop-B mutation	MSG02C_R1_REACHABILITY_MUTATION_RUN1_20260723T115043Z_af4c5abdd595
MSG02D	R2A coefficient-locality positive proof	MSG02D_R2A_COEFFICIENT_LOCALITY_RUN1_20260723T124247Z_af4c5abdd595
MSG02E	R2B cross-bit-preservation positive proof	MSG02E_R2B_CROSS_BIT_PRESERVATION_RUN1_20260723T124630Z_af4c5abdd595
MSG02F	R2A and R2B reachability companions	MSG02F_R2A_R2B_REACHABILITY_RUN1_20260723T125105Z_af4c5abdd595
MSG02G-A	R2A selected-equality mutation	MSG02G_R2A_EQUALITY_ANTECEDENT_MUTATION_RUN1_20260723T125615Z_af4c5abdd595
MSG02G-B	R2B second-coefficient mutation	MSG02G_B_R2B_SECOND_COEFFICIENT_MUTATION_RUN1_20260723T131317Z_af4c5abdd595
MSG02H	R3A same-decision-invariance positive proof	MSG02H_R3A_SAME_DECISION_INVARIANCE_RUN1_20260723T131813Z_af4c5abdd595
MSG02I	R3B determinism and input-frame positive proof	MSG02I_R3B_DETERMINISM_RUN1_20260723T132251Z_af4c5abdd595
MSG02J	R3A and R3B reachability companions	MSG02J_R3A_R3B_REACHABILITY_RUN1_20260723T132734Z_af4c5abdd595
MSG02K	R3A opposite-decision mutation	MSG02K_R3A_OPPOSITE_DECISION_MUTATION_RUN1_20260723T133042Z_af4c5abdd595
MSG02L	R3B unequal-input mutation	MSG02L_R3B_UNEQUAL_INPUT_MUTATION_RUN1_20260723T133447Z_af4c5abdd595
MSG02M	final acceptance, manifests, source snapshot, package	MSG02M_T2_FINAL_ACCEPTANCE_AND_EVIDENCE_FREEZE_20260723T134156Z_af4c5abdd595
