incoming_top_folder,file_count,unique_sha256_count,total_bytes,classified_root,scientific_role
PFB_00C_THEOREM_FREEZE_af4c5abd,9,9,6999772,experiments/poly-frombytes/00-campaign-context/01-theorem-registry-scope-and-source-binding/PFB_00C_THEOREM_FREEZE_af4c5abd,"Frozen theorem registry, scope, nonclaims, overlap decision, environment and source binding."
PFB_00C_THEOREM_FREEZE_af4c5abd.BROKEN_20260729T030534Z,2,2,6989307,experiments/poly-frombytes/00-campaign-context/00-broken-theorem-freeze-attempt/PFB_00C_THEOREM_FREEZE_af4c5abd.BROKEN_20260729T030534Z,Broken theorem-freeze attempt retained as development and correction evidence.
PFB_01C_T1_CONTROL_SUITE_20260729T042046Z,13,12,68563,experiments/poly-frombytes/PFB-T1-exact-raw-decoding/04-nonvacuity-frame-canary-and-overwrite-controls/PFB_01C_T1_CONTROL_SUITE_20260729T042046Z,T1 assurance-control suite.
PFB_01M_T1_BOUNDARY_MUTATION_RUN_20260729T043912Z,37,28,7017465,experiments/poly-frombytes/PFB-T1-exact-raw-decoding/05-boundary-reachability-and-mutation-sensitivity/PFB_01M_T1_BOUNDARY_MUTATION_RUN_20260729T043912Z,T1 boundary and targeted mutation evidence.
PFB_01R_T1_EXACT_RAW_DECODING_RUN1_20260729T033348Z,8,8,53261,experiments/poly-frombytes/PFB-T1-exact-raw-decoding/01-exact-raw-decoding-run/PFB_01R_T1_EXACT_RAW_DECODING_RUN1_20260729T033348Z,Exact raw-decoding execution evidence.
PFB_01S_T1_SAT_SEMANTIC_RUN1_20260729T034940Z,9,7,16854,experiments/poly-frombytes/PFB-T1-exact-raw-decoding/02-sat-semantic-attempt-1/PFB_01S_T1_SAT_SEMANTIC_RUN1_20260729T034940Z,First SAT semantic execution attempt.
PFB_01S_T1_SAT_SEMANTIC_RUN2_20260729T040920Z,16,12,83466,experiments/poly-frombytes/PFB-T1-exact-raw-decoding/03-sat-semantic-authoritative-run/PFB_01S_T1_SAT_SEMANTIC_RUN2_20260729T040920Z,Authoritative repaired SAT semantic execution.
PFB_01_T1_BASELINE_RUN1,3,3,23517,experiments/poly-frombytes/PFB-T1-exact-raw-decoding/00-initial-baseline/PFB_01_T1_BASELINE_RUN1,Initial T1 baseline evidence.
PFB_02A_T2_SEMANTIC_BASELINE_20260729T044653Z,43,28,262617,experiments/poly-frombytes/PFB-T2-bit-routing-and-block-locality/00-semantic-baseline/PFB_02A_T2_SEMANTIC_BASELINE_20260729T044653Z,T2 exact bit-routing and block-locality baseline.
PFB_02M_T2_FINAL_MUTATION_RUN_20260729T050106Z,59,30,69376401,experiments/poly-frombytes/PFB-T2-bit-routing-and-block-locality/01-final-mutation-and-control-run/PFB_02M_T2_FINAL_MUTATION_RUN_20260729T050106Z,T2 targeted mutation and nonvacuity controls.
PFB_03F_T3_FINAL_RUN_20260729T051133Z,47,30,25305402,experiments/poly-frombytes/PFB-T3-differential-conservation/00-authoritative-proof-controls-and-mutations/PFB_03F_T3_FINAL_RUN_20260729T051133Z,"T3 arbitrary differential-conservation proof, controls and mutants."
PFB_04F_T4_FINAL_RUN_20260729T052349Z,38,26,513282,experiments/poly-frombytes/PFB-T4-raw-domain-inversion/01-two-sided-inversion-baseline/PFB_04F_T4_FINAL_RUN_20260729T052349Z,T4 two-sided raw-domain inversion baseline.
PFB_04F_T4_FINAL_RUN_20260729T053316Z,53,32,12957723,experiments/poly-frombytes/PFB-T4-raw-domain-inversion/02-authoritative-mutation-and-control-run/PFB_04F_T4_FINAL_RUN_20260729T053316Z,T4 authoritative run with mutation sensitivity and controls.
