sha256,size_bytes,original_path_count,representative_original_path,representative_repository_destination
001af6a58e96327ecf42bacec9f0f2868637443831de53bff36253fbd5f18e0a,10915,27,mlk_montgomery_cleanroom/MONT_WORKTREE_af4c5abd/examples/basic/mlkem_native/src/native/x86_64/src/nttfrombytes_avx2_asm.S,provenance/montgomery-reduce/source-snapshots/base-worktree-af4c5abd/examples/basic/mlkem_native/src/native/x86_64/src/nttfrombytes_avx2_asm.S
002bf5db7dcd7e5e8580294543a0a11b297b7f38c2ffc06a1e3e36ab3a4c4534,409,1,mlk_montgomery_cleanroom/MONT_T3_WORKTREE_af4c5abd/proofs/cbmc/mont_t3_p2_p3_relational/logs/linking-library-models-log.txt,provenance/montgomery-reduce/worktree-deltas/MONT03-fqmul-algebra-delta/proofs/cbmc/mont_t3_p2_p3_relational/logs/linking-library-models-log.txt
008dba8883406b8b81ace94714bfddd333a58f3f8100bb960d89a3f413690d60,65,1,mlk_montgomery_cleanroom/MONT03B_HARNESS_FREEZE_20260726T222052Z/P6_GOTO.sha256,experiments/montgomery-reduce/MONT03-normalized-fqmul-algebra/raw-runs/07-frozen-harness-family/MONT03B_HARNESS_FREEZE_20260726T222052Z/P6_GOTO.sha256
0099f3d190734d74e37c222724bf3fb1b3311b5b835186f3791a81dbaf8ce5eb,1725,1,mlk_montgomery_cleanroom/MONT02A_FULL_T2_FUNCTIONAL_20260726T184223Z/P3_NN/build.log,experiments/montgomery-reduce/MONT02-relational-low-word-laws/raw-runs/05-p3-sign-partition-attempt/MONT02A_FULL_T2_FUNCTIONAL_20260726T184223Z/P3_NN/build.log
011218e611fa16515ee6d2f0a9c1ca6d58863866a69d5f69f55483a41df29ea7,150966,1,mlk_montgomery_cleanroom/MONT_WORKTREE_af4c5abd/proofs/cbmc/mont_t2a_p3_single_call_decomposition/gotos/mont_t2a_p3_single_call_decomposition_harness0700.goto,provenance/montgomery-reduce/source-snapshots/base-worktree-af4c5abd/proofs/cbmc/mont_t2a_p3_single_call_decomposition/gotos/mont_t2a_p3_single_call_decomposition_harness0700.goto
014624e6835b52bc9472e1f9d34d3afe6262b248899e475bf9b70311589707d2,345,3,mlk_montgomery_cleanroom/MONT_WORKTREE_af4c5abd/proofs/cbmc/poly_reduce_native_x86_64/poly_reduce_native_x86_64_harness.c,provenance/montgomery-reduce/source-snapshots/base-worktree-af4c5abd/proofs/cbmc/poly_reduce_native_x86_64/poly_reduce_native_x86_64_harness.c
017144873187595c117b21e3f28289e3cd3bcd942641b218b03065d7719fd082,5792,3,mlk_montgomery_cleanroom/MONT_WORKTREE_af4c5abd/proofs/hol_light/x86_64/proofs/keccak_utils.ml,provenance/montgomery-reduce/source-snapshots/base-worktree-af4c5abd/proofs/hol_light/x86_64/proofs/keccak_utils.ml
017e89795fb0f8200ba8fa8f4b5afd60624f0fb52e6fbf88dfcbb6d28fb29a38,549,3,mlk_montgomery_cleanroom/MONT_WORKTREE_af4c5abd/nix/openocd/default.nix,provenance/montgomery-reduce/source-snapshots/base-worktree-af4c5abd/nix/openocd/default.nix
0191dfd0300df87dd2023828880163eb5598e5a47b1dfcd1f3d2c9ddb0881eff,158470,1,mlk_montgomery_cleanroom/MONT_WORKTREE_af4c5abd/proofs/cbmc/mont_t2_relational_fibre/gotos/mont_t2_relational_fibre_harness0700.goto,provenance/montgomery-reduce/source-snapshots/base-worktree-af4c5abd/proofs/cbmc/mont_t2_relational_fibre/gotos/mont_t2_relational_fibre_harness0700.goto
01ab95a8f3d705922b200d17ba472a8b6381e935a43d4a028b5be36dc1b5a581,260,3,mlk_montgomery_cleanroom/MONT_WORKTREE_af4c5abd/proofs/cbmc/polyvec_tobytes/polyvec_tobytes_harness.c,provenance/montgomery-reduce/source-snapshots/base-worktree-af4c5abd/proofs/cbmc/polyvec_tobytes/polyvec_tobytes_harness.c
01af3a79b639f0c1edfd4311bfe986d78112ede758a277b88d6707a8ac0203e1,11482,27,mlk_montgomery_cleanroom/MONT_WORKTREE_af4c5abd/examples/basic/mlkem_native/src/native/x86_64/src/nttunpack_avx2_asm.S,provenance/montgomery-reduce/source-snapshots/base-worktree-af4c5abd/examples/basic/mlkem_native/src/native/x86_64/src/nttunpack_avx2_asm.S
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,1,115,mlk_montgomery_cleanroom/MONT01A_D2_20260726T141230Z/MONT_T1_AUTHORITATIVE_SNAPSHOT/logs/coverage-err-log.txt,experiments/montgomery-reduce/MONT01-exact-refinement/raw-runs/02-authoritative-proof-and-false-control/MONT01A_D2_20260726T141230Z/MONT_T1_AUTHORITATIVE_SNAPSHOT/logs/coverage-err-log.txt
021317637d005be7ee1beb07c346543940e770a63b7eb1bd3d6f80dcd2d66859,609,3,mlk_montgomery_cleanroom/MONT_WORKTREE_af4c5abd/examples/bring_your_own_fips202_static/custom_fips202/README.md,provenance/montgomery-reduce/source-snapshots/base-worktree-af4c5abd/examples/bring_your_own_fips202_static/custom_fips202/README.md
0213ef396d5dd20364061291a6f10ca770bc5680d90cfd1f1e4f5432ea177a9c,1336,3,mlk_montgomery_cleanroom/MONT_WORKTREE_af4c5abd/proofs/cbmc/poly_compress_d5/Makefile,provenance/montgomery-reduce/source-snapshots/base-worktree-af4c5abd/proofs/cbmc/poly_compress_d5/Makefile
