id,kind,description,suggested_cbmc_check,suggested_harness_setup,evidence,priority,human_review_required,base,index,access_context_guess
M1,pointer_validity,Parameter `b` must point to a valid object for the target call.,--pointer-check,Create a concrete object for `b` and pass its address/pointer safely.,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/poly.c"", ""start_line"": 228, ""end_line"": 228, ""text"": ""MLK_INTERNAL_API""}",high,True,,,
M2,pointer_validity,Parameter `r` must point to a valid object for the target call.,--pointer-check,Create a concrete object for `r` and pass its address/pointer safely.,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/poly.c"", ""start_line"": 228, ""end_line"": 228, ""text"": ""MLK_INTERNAL_API""}",high,True,,,
M3,array_bounds,Array access `r->coeffs[k0]` must remain inside the allocated object bounds.,--bounds-check,,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/poly.c"", ""start_line"": 233, ""end_line"": 233, ""text"": ""invariant(forall(k0, i, MLKEM_N, r->coeffs[k0] == loop_entry(*r).coeffs[k0]))""}",high,True,r->coeffs,k0,write_candidate
M4,array_bounds,Array access `coeffs[k0]` must remain inside the allocated object bounds.,--bounds-check,,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/poly.c"", ""start_line"": 233, ""end_line"": 233, ""text"": ""invariant(forall(k0, i, MLKEM_N, r->coeffs[k0] == loop_entry(*r).coeffs[k0]))""}",high,True,coeffs,k0,write_candidate
M5,array_bounds,Array access `r->coeffs[k1]` must remain inside the allocated object bounds.,--bounds-check,,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/poly.c"", ""start_line"": 234, ""end_line"": 234, ""text"": ""invariant(forall(k1, 0, i, r->coeffs[k1] == loop_entry(*r).coeffs[k1] + b->coeffs[k1]))""}",high,True,r->coeffs,k1,write_candidate
M6,array_bounds,Array access `coeffs[k1]` must remain inside the allocated object bounds.,--bounds-check,,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/poly.c"", ""start_line"": 234, ""end_line"": 234, ""text"": ""invariant(forall(k1, 0, i, r->coeffs[k1] == loop_entry(*r).coeffs[k1] + b->coeffs[k1]))""}",high,True,coeffs,k1,write_candidate
M7,array_bounds,Array access `b->coeffs[k1]` must remain inside the allocated object bounds.,--bounds-check,,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/poly.c"", ""start_line"": 234, ""end_line"": 234, ""text"": ""invariant(forall(k1, 0, i, r->coeffs[k1] == loop_entry(*r).coeffs[k1] + b->coeffs[k1]))""}",high,True,b->coeffs,k1,read_candidate
M8,array_bounds,Array access `r->coeffs[i]` must remain inside the allocated object bounds.,--bounds-check,,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/poly.c"", ""start_line"": 238, ""end_line"": 238, ""text"": ""r->coeffs[i] = (int16_t)(r->coeffs[i] + b->coeffs[i]);""}",high,True,r->coeffs,i,write_candidate
M9,array_bounds,Array access `b->coeffs[i]` must remain inside the allocated object bounds.,--bounds-check,,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/poly.c"", ""start_line"": 238, ""end_line"": 238, ""text"": ""r->coeffs[i] = (int16_t)(r->coeffs[i] + b->coeffs[i]);""}",high,True,b->coeffs,i,read_candidate
M10,pointer_dereference_or_field_access,Pointer access `r->coeffs` must be valid under harness assumptions.,--pointer-check,,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/poly.c"", ""start_line"": 233, ""end_line"": 233, ""text"": ""invariant(forall(k0, i, MLKEM_N, r->coeffs[k0] == loop_entry(*r).coeffs[k0]))""}",high,True,,,
M11,pointer_dereference_or_field_access,Pointer access `r->coeffs` must be valid under harness assumptions.,--pointer-check,,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/poly.c"", ""start_line"": 234, ""end_line"": 234, ""text"": ""invariant(forall(k1, 0, i, r->coeffs[k1] == loop_entry(*r).coeffs[k1] + b->coeffs[k1]))""}",high,True,,,
M12,pointer_dereference_or_field_access,Pointer access `b->coeffs` must be valid under harness assumptions.,--pointer-check,,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/poly.c"", ""start_line"": 234, ""end_line"": 234, ""text"": ""invariant(forall(k1, 0, i, r->coeffs[k1] == loop_entry(*r).coeffs[k1] + b->coeffs[k1]))""}",high,True,,,
M13,pointer_dereference_or_field_access,Pointer access `r->coeffs` must be valid under harness assumptions.,--pointer-check,,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/poly.c"", ""start_line"": 238, ""end_line"": 238, ""text"": ""r->coeffs[i] = (int16_t)(r->coeffs[i] + b->coeffs[i]);""}",high,True,,,
M14,pointer_dereference_or_field_access,Pointer access `b->coeffs` must be valid under harness assumptions.,--pointer-check,,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/poly.c"", ""start_line"": 238, ""end_line"": 238, ""text"": ""r->coeffs[i] = (int16_t)(r->coeffs[i] + b->coeffs[i]);""}",high,True,,,
M15,pointer_dereference_or_field_access,Pointer access `*r` must be valid under harness assumptions.,--pointer-check,,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/poly.c"", ""start_line"": 233, ""end_line"": 233, ""text"": ""invariant(forall(k0, i, MLKEM_N, r->coeffs[k0] == loop_entry(*r).coeffs[k0]))""}",high,True,,,
M16,pointer_dereference_or_field_access,Pointer access `*r` must be valid under harness assumptions.,--pointer-check,,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/poly.c"", ""start_line"": 234, ""end_line"": 234, ""text"": ""invariant(forall(k1, 0, i, r->coeffs[k1] == loop_entry(*r).coeffs[k1] + b->coeffs[k1]))""}",high,True,,,
