property_id	status	description
main.array_bounds.1	SUCCESS	array 'A0'.coeffs upper bound in A0.coeffs[(signed long int)i]
main.array_bounds.10	SUCCESS	array 'saved_B0'.coeffs upper bound in saved_B0.coeffs[(signed long int)i]
main.array_bounds.11	SUCCESS	array 'saved_A0'.coeffs upper bound in saved_A0.coeffs[(signed long int)i]
main.array_bounds.12	SUCCESS	array 'saved_B0'.coeffs upper bound in saved_B0.coeffs[(signed long int)i]
main.array_bounds.13	SUCCESS	array 'L'.coeffs upper bound in L.coeffs[(signed long int)i]
main.array_bounds.14	SUCCESS	array 'LB'.coeffs upper bound in LB.coeffs[(signed long int)i]
main.array_bounds.15	SUCCESS	array 'LB_before_reduce'.coeffs upper bound in LB_before_reduce.coeffs[(signed long int)i]
main.array_bounds.16	SUCCESS	array 'A0'.coeffs upper bound in A0.coeffs[(signed long int)i]
main.array_bounds.17	SUCCESS	array 'B0'.coeffs upper bound in B0.coeffs[(signed long int)i]
main.array_bounds.2	SUCCESS	array 'B0'.coeffs upper bound in B0.coeffs[(signed long int)i]
main.array_bounds.3	SUCCESS	array 'saved_A0'.coeffs upper bound in saved_A0.coeffs[(signed long int)i]
main.array_bounds.4	SUCCESS	array 'saved_B0'.coeffs upper bound in saved_B0.coeffs[(signed long int)i]
main.array_bounds.5	SUCCESS	array 'LB'.coeffs upper bound in LB.coeffs[(signed long int)i]
main.array_bounds.6	SUCCESS	array 'LB_before_sub'.coeffs upper bound in LB_before_sub.coeffs[(signed long int)i]
main.array_bounds.7	SUCCESS	array 'A0'.coeffs upper bound in A0.coeffs[(signed long int)i]
main.array_bounds.8	SUCCESS	array 'saved_A0'.coeffs upper bound in saved_A0.coeffs[(signed long int)i]
main.array_bounds.9	SUCCESS	array 'B0'.coeffs upper bound in B0.coeffs[(signed long int)i]
main.assertion.1	SUCCESS	SUB_T1_PARAMETER: MLKEM_N must equal FIPS_N
main.assertion.10	SUCCESS	SUB_T1_FRAME: final LB must equal saved B0
main.assertion.11	SUCCESS	SUB_T1_FRAME: final A0 must equal saved A0
main.assertion.12	SUCCESS	SUB_T1_FRAME: final B0 must equal saved B0
main.assertion.2	SUCCESS	SUB_T1_PARAMETER: MLKEM_Q must equal FIPS_Q
main.assertion.3	SUCCESS	SUB_T1_FRAME: subtraction must not modify LB
main.assertion.4	SUCCESS	SUB_T1_FRAME: subtraction must not modify A0
main.assertion.5	SUCCESS	SUB_T1_FRAME: subtraction must not modify B0
main.assertion.6	SUCCESS	SUB_T1_SEMANTIC: output must be non-negative
main.assertion.7	SUCCESS	SUB_T1_SEMANTIC: output must be below FIPS_Q
main.assertion.8	SUCCESS	SUB_T1_SEMANTIC: output must equal independent canonical oracle
main.assertion.9	SUCCESS	SUB_T1_FRAME: reduction must not modify LB
main.overflow.1	SUCCESS	arithmetic overflow on unsigned + in i + 1u
main.overflow.2	SUCCESS	arithmetic overflow on signed - in (int32_t)saved_A0.coeffs[(signed long int)i] - (int32_t)saved_B0.coeffs[(signed long int)i]
main.overflow.3	SUCCESS	arithmetic overflow on unsigned + in i + 1u
main.overflow.4	SUCCESS	arithmetic overflow on unsigned + in i + 1u
main.overflow.5	SUCCESS	arithmetic overflow on signed - in (int32_t)saved_A0.coeffs[(signed long int)i] - (int32_t)saved_B0.coeffs[(signed long int)i]
main.overflow.6	SUCCESS	arithmetic overflow on signed + in d + (int32_t)(10 * 3329)
main.overflow.7	SUCCESS	arithmetic overflow on signed to unsigned type conversion in (uint32_t)(d + (int32_t)(10 * 3329))
main.overflow.8	SUCCESS	arithmetic overflow on signed to unsigned type conversion in (uint32_t)L.coeffs[(signed long int)i]
main.overflow.9	SUCCESS	arithmetic overflow on unsigned + in i + 1u
mlk_barrett_reduce.overflow.1	SUCCESS	arithmetic overflow on signed * in magic * (signed int)a
mlk_barrett_reduce.overflow.2	SUCCESS	arithmetic overflow on signed + in magic * (signed int)a + ((int32_t)1 << 25)
mlk_barrett_reduce.overflow.3	SUCCESS	arithmetic overflow on signed * in t * 3329
mlk_barrett_reduce.overflow.4	SUCCESS	arithmetic overflow on signed - in (signed int)a - t * 3329
mlk_barrett_reduce.overflow.5	SUCCESS	arithmetic overflow on signed type conversion in (int16_t)((signed int)a - t * 3329)
mlk_cast_int32_to_uint16.overflow.1	SUCCESS	arithmetic overflow on signed to unsigned type conversion in (uint16_t)(x & (int32_t)65535)
mlk_ct_cmask_nonzero_u16.overflow.1	SUCCESS	arithmetic overflow on signed unary minus in -((int32_t)x)
