rel_path,category,suffix,size_bytes,sha256,modified_utc
01_algorithm_blocks.json,agent2_v2_spec_extraction_rich_output,.json,62,a58384c190cc3858dbafc9f96d9f34b47e8e2138264fe5164fd7946f856ff433,2026-07-09T04:01:33+00:00
01_equations_constraints.json,agent2_v2_spec_extraction_rich_output,.json,68993,839135743e1bbe503c2f1c5d73faae6284b5b2ca3e653919291f4ff765ead573,2026-07-09T04:01:33+00:00
01_parameter_table.json,agent2_v2_spec_extraction_rich_output,.json,6392,3c35e14283164c3757c94e744d7bbbe1b1ce51d458e4a106b97e7f69464bdf9f,2026-07-09T04:01:33+00:00
01_preconditions_postconditions.json,agent2_v2_spec_extraction_rich_output,.json,23023,87f583c7c18182b05766d6dbb6c6f7e25c21eca5dcd78f44b70aadbaf5ebd830,2026-07-09T04:01:33+00:00
01_spec_sections_index.json,agent2_v2_spec_extraction_rich_output,.json,139437,92ba38a88c4ecb3ad49bbb8b38985a06246a9e0009503cdde5150f5ac15e31a5,2026-07-09T04:01:33+00:00
01_spec_summary.json,structured_output,.json,24521,27d6252612c8677bf58f00f46c33998fafe2c151e1dc353ac18642bfbdec78bb,2026-07-09T04:01:33+00:00
01_spec_summary.md,markdown_summary,.md,4979,ce29515353cf407ef5423f114c7ec0e253bd048886366b3595e363bf4ce12fce,2026-07-09T04:01:33+00:00
01_spec_to_code_hints.json,agent2_v2_spec_extraction_rich_output,.json,746,ea74cfdd283a9ce480de11789b3fb549aaf38e3cff4e7e0835d3b25533309a56,2026-07-09T04:01:33+00:00
01_symbol_table.json,agent2_v2_spec_extraction_rich_output,.json,5109,13716d86aef6fdffa660718c28adb26578bdc884fd0a3cf732e8f06b1254323c,2026-07-09T04:01:33+00:00
02_agent2v2_integration_report.json,structured_output,.json,962,fde73fcd58fa7055a40f7a43694d59b5d42e4e5fc15529bbb64389e35c24d331,2026-07-09T04:01:33+00:00
02_cbmc_harness_hints.json,structured_output,.json,1967,6a9046b8d883add445561a4b101056788841ab1068cd40220586f6bd7e0bf619,2026-07-09T04:01:33+00:00
02_code_structure_index.json,structured_output,.json,13025,fb4dd2338127e5d06c5546ad00567b723483f29456bbafaf18cbb7cab59321de,2026-07-09T04:01:33+00:00
02_code_summary.json,structured_output,.json,47562,12c78228559362eb2ad12830492e27a013bc37f026d1065e779cd7f07f39a925,2026-07-09T04:01:33+00:00
02_code_summary.md,markdown_summary,.md,6499,82ad3fe5ad4f6112d7b6bedb7cff257589278567bd55b760c1a1d9d7a77e6f5c,2026-07-09T04:01:33+00:00
02_code_symbol_table.json,structured_output,.json,7265,6bf16f8b8844bedbee07bfbdf5b0e73d9d298e1b97bb1858e28762e9a44a183d,2026-07-09T04:01:33+00:00
02_code_understanding_v2_report.json,structured_output,.json,2381,9d3cc90597e1b43e93983fe070ed62c68d0194a293545838ab33842cffc7cf2f,2026-07-09T04:01:33+00:00
02_function_signature_analysis.json,structured_output,.json,2831,b2deb66eb7a07d632ca4e3c3ac8274e163a248104bfe71dda9b69cf49d9b1746,2026-07-09T04:01:33+00:00
02_integer_range_obligations.csv,other,.csv,2212,e8539df423b80b4721233f8361f764bafcf243dbcf95808986d7ef31a924fabc,2026-07-09T04:01:33+00:00
02_integer_range_obligations.json,structured_output,.json,3878,391fbebd4154d130f637e9e525b2df2d9f97574f6c128763c3d7817353d8d5c4,2026-07-09T04:01:33+00:00
02_loop_bound_analysis.csv,other,.csv,362,e835832e887193fb4443ff8e90a2a55fc6b055137760e06b15f9d00929024c35,2026-07-09T04:01:33+00:00
02_loop_bounds_array_accesses.json,structured_output,.json,6562,705672e33ba01a4037ffb11a0b3122388dfd3d39c92d28e46542ddfae209c402,2026-07-09T04:01:33+00:00
02_macro_constant_map.csv,other,.csv,4771,e9df3dc71d50b3c4a05f9e4e48cb315b75311b9b4308b0e5a5cf40cfd0928bd8,2026-07-09T04:01:33+00:00
02_macro_constant_map.json,structured_output,.json,8809,d9249472dd16b3e7651aa72a99f9c92965b060948bdeccd1fdeb2bfd3027c04f,2026-07-09T04:01:33+00:00
02_memory_safety_obligations.csv,other,.csv,5728,259d7324fd975b69e1e0f9113d3390c1943c017e21d881841b04fba186478edb,2026-07-09T04:01:33+00:00
02_memory_safety_obligations.json,structured_output,.json,9487,ae8e9d541f3a43892415f0042430e796b275bb8c0f96beeb11f911c4a46bc8d9,2026-07-09T04:01:33+00:00
02_spec_code_mapping_candidates.csv,other,.csv,1175,f104e428f16698ab238bb665f7fce7ca412c2b28bd53ae5e9119734cea5a7550,2026-07-09T04:01:33+00:00
02_spec_code_mapping_candidates.json,structured_output,.json,2528,5f1310a6ca1f5926cea907eac6b12e4f448e53fac3f8dede89f5b87283c2d0a1,2026-07-09T04:01:33+00:00
03_agent2v2_integration_report.json,agent4_v2_property_traceability_output,.json,1391,9487f698c397c0fea933d913ae3d838303d95a2abe0c5b935d0a7af162f59096,2026-07-09T04:01:34+00:00
03_candidate_properties.json,structured_output,.json,290052,d3743f5b27372e0b5d9bc465da03d8e0a1622c66cdd54ac9c5fe8f93f4122fb3,2026-07-09T04:01:34+00:00
03_candidate_properties.md,markdown_summary,.md,59570,10e749bc48589c9ae1f1f000bb8c85cf9b38b2d4482591a6233a3f3c418a7d30,2026-07-09T04:01:34+00:00
03_property_evidence_matrix.csv,agent4_v2_property_traceability_output,.csv,24196,696646ed7b0f870adc6ca1535169b8c6182c26c1a49a3cd0a635879e1cf0b466,2026-07-09T04:01:34+00:00
03_spec_code_traceability.json,agent4_v2_property_traceability_output,.json,4053,249b83a1feb3be2737be562efd0ae9855c6897ae56da809d05c4c24d9ecfd772,2026-07-09T04:01:34+00:00
04_artifact_manifest.json,structured_output,.json,37533,995059f291eb0f6584c0dc00666f7e74613122e619931acbfebb49258fff4359,2026-07-09T04:01:34+00:00
04_generated_harness.c,formal_artifact_or_code,.c,2788,b382fa01ae4da01ebfdd31b07eed8bd4690a2fd5d2bb1129d3eaacc7bd7d4a71,2026-07-09T04:01:34+00:00
04_generated_harness.md,formal_artifact_or_code,.md,5944,3af53189373b8ef4d5aba7458c813f2d2cf1ac11b64685283bae06f2ff40b53c,2026-07-09T04:01:34+00:00
04_harness_assumption_traceability.csv,agent5_v2_spec_grounded_artifact_output,.csv,770,b1bc9bf8c93ca153beabc956ca4f7ac158261e496e5281ff5d8fed1e5a3ea4a2,2026-07-09T04:01:34+00:00
04_spec_grounded_assertion_plan.json,agent5_v2_spec_grounded_artifact_output,.json,5069,8f7c970fb6811e7bb3331f33eef2e914a14f68f88dde929d72455b81f1b48cdc,2026-07-09T04:01:34+00:00
04_spec_grounding_report.json,agent5_v2_spec_grounded_artifact_output,.json,4915,5c208dd5e41e0295c1c4d34eff393ab58df554461e18174dc17a5ad30e3f56b0,2026-07-09T04:01:34+00:00
05_assertion_algorithm_alignment.csv,agent6_v2_spec_grounding_critic_output,.csv,88,5e9b2b905c4fe84387c406865890aae8e0962f261a77a5d67f179afa9670b144,2026-07-09T04:01:34+00:00
05_assumption_evidence_review.csv,agent6_v2_spec_grounding_critic_output,.csv,330,1efe386145210db6722258f92f2add2364dbf6ca7055bfe6c6578b41bb6122d9,2026-07-09T04:01:34+00:00
05_critic_review.json,structured_output,.json,16124,7c702889caf9b749cc7fdb9bb92cb9b5280a538fcb47101d963cffb7facbd0d4,2026-07-09T04:01:34+00:00
05_critic_review.md,markdown_summary,.md,4478,fdc39994c9593ff160d253f9444e8be6146575ac2c0a7e9161fb3f29e0640b93,2026-07-09T04:01:34+00:00
05_spec_grounding_review.json,agent6_v2_spec_grounding_critic_output,.json,3319,4b952ea002fc2069355b4371841b7005fc19f9757bcc70e3a614477d0bc6347b,2026-07-09T04:01:34+00:00
05_symbol_uncertainty_review.json,agent6_v2_spec_grounding_critic_output,.json,2704,8fa11a0adfbb7506d8aca2dc843384a678e8f925e43403936ddca80911faacad,2026-07-09T04:01:34+00:00
06_cbmc_command.txt,tool_output,.txt,386,dffc97f906f45538fa17fd15a22d4c7805477f5f63a040dee807dd25e2f06bca,2026-07-09T04:01:34+00:00
06_cbmc_diagnostics.json,structured_output,.json,665,34f640f06d8d9a04490a03882f7cc8290b813d832ffac1559a127b9f2c4fdcca,2026-07-09T04:01:45+00:00
06_cbmc_output.txt,tool_output,.txt,29832,6ec1dcfbaad2acc46aef01a2aad1e62e6c40c058d3f57ccb3a8817c85f4f0303,2026-07-09T04:01:43+00:00
06_cbmc_property_results.json,structured_output,.json,100920,46841ed25c5de4d02644342b6aee7e5a323133d45012484c752dab429a01a40e,2026-07-09T04:01:45+00:00
06_cbmc_status.json,agent_status,.json,105000,f3832168d3ccc9a8c9af924cc6cb91aa6029ed6e48890d726820d36b261fd8d0,2026-07-09T04:01:45+00:00
06_cbmc_trace_summary.json,structured_output,.json,429,35276d5196bdbb1f154df420b5f34f64ad47d4396a9f47c830043ba9b2719c4f,2026-07-09T04:01:45+00:00
06_critic_gate_decision.json,structured_output,.json,731,b47d1e363546e990504a9983c4495c335a28fe099033b3069c2d77db18586872,2026-07-09T04:01:34+00:00
06_failed_property_mapping.json,structured_output,.json,239750,93da97e680efd852fd095118c4f7440896335d23f35ee31617f268883c666879,2026-07-09T04:01:45+00:00
06_property_mapping.csv,other,.csv,145945,75e5100f107a9c79c27bc9e052056d2bd2ca5e774f8cf3c5f0ca15fded961f47,2026-07-09T04:01:45+00:00
06_tool_command_manifest.json,structured_output,.json,2682,34acbf3552debb3dfc0f6fcc0cf71f12cd3b3edafc374354d2cb2acd3fceca81,2026-07-09T04:01:34+00:00
06_tool_environment_snapshot.json,structured_output,.json,3159,8aedc48cf2f51d7de59097cd4ab2c02cc8207d6566e558fef675a9c308f96730,2026-07-09T04:01:34+00:00
06_tool_execution.md,markdown_summary,.md,2053,4ec821dcbe52c81c45781baba553ce17fc206c69ee2f0d515b2f0b408409739f,2026-07-09T04:01:45+00:00
06_tool_execution_traceability.json,structured_output,.json,2846,7d1e17bcb2e56ffeac725f99957493228f0cb1657415ea63b2a3df2b0e93d375,2026-07-09T04:01:45+00:00
agent_status/01_spec_extraction_status.json,agent_status,.json,835,3db587b4c4837395a6a80f7a3285c8958212e2effa8047e568d0215bad04ab1f,2026-07-09T04:01:33+00:00
agent_status/02_code_understanding_status.json,agent_status,.json,1679,8d041fb21311a39808957c44da9111989926d7469aa593286d2c4deeafad82a5,2026-07-09T04:01:33+00:00
agent_status/03_property_discovery_status.json,agent_status,.json,1183,c168dfedca48c639163d7d27ce3dcfbb0aeea2bed8b30c5468901d79529e8f07,2026-07-09T04:01:34+00:00
agent_status/04_artifact_generation_status.json,agent_status,.json,1263,2adcf5d2cb463dd8c8da592cff4b663710b6b9fdf6b2c97b43bc1cc753ded3c0,2026-07-09T04:01:34+00:00
agent_status/05_critic_review_status.json,agent_status,.json,1350,ee97e962cdd10f73d7573b129e4e5a6f8ce47cc377b87fba8a1f37ed7b3cf6b1,2026-07-09T04:01:34+00:00
agent_status/06_tool_execution_status.json,agent_status,.json,2032,afcb77ef22ba6a12199d4e0dbb81d3f5cf242ef451066378278ada943e151fe2,2026-07-09T04:01:45+00:00
events.jsonl,event_log,.jsonl,23591,8b59dd904574e18530ead121cb18fb5c1e2203cdb733e75c8a3d394bfe0cc32d,2026-07-09T04:01:45+00:00
