boundary_record_id,relationship_type,related_property_or_scope,interpretation_rule
NEG-C01-PA03,DIRECT_SUBSTANTIVE_PROPERTY,PR-C01-018,PA-03 meaningful-negative property; boundary row preserves the same negative outcome.
NEG-C01-PA04B,DIRECT_SUBSTANTIVE_PROPERTY,PR-C01-025,PA-04B meaningful-negative alias diagnostic; boundary row preserves the same negative outcome.
LIM-C01-PA02B,DIRECT_PROPERTY_FAMILY,PR-C01-013;PR-C01-014,Preservation qualification applies to the retained PA-02B supported records identified by the evidence appendix.
LIM-C01-PA06,DIRECT_PROPERTY_FAMILY,PR-C01-049;PR-C01-050;PR-C01-051,Preservation qualification applies to the retained PA-06 cross-parameter supported records; complete raw matrix is not claimed.
LIM-C01-PA07,AUXILIARY_EVIDENCE_SCOPE,PA-07 mutation-harness matrix,NO_SINGLE_PROPERTY_ROW: preservation limit concerns the auxiliary mutation matrix.
LIM-C01-PA08,AUXILIARY_EVIDENCE_SCOPE,PA-08 executed-result directory,NO_SINGLE_PROPERTY_ROW: preservation limit concerns the executed auxiliary result directory.
LIM-C02-T3M,AUXILIARY_CONTROL_SCOPE,SUB-T3 mutation analysis,NO_SINGLE_PROPERTY_ROW: deferred mutation work is an auxiliary control boundary.
EXC-C02-T4TPL,EXCLUDED_ARTEFACT_SCOPE,SUB-T4 template containing @@RUN4_HASH@@,NO_SINGLE_PROPERTY_ROW: excluded placeholder/template is not an accepted substantive result.
LIM-C03-REPLAY,SUPPORTING_REPLAY_SCOPE,VC-SR1 later-revision replay,"NO_SINGLE_PROPERTY_ROW: replay is supporting cross-revision evidence, not another matched substantive result."
LIM-C06-BACKEND,CASE_LEVEL_SCOPE,Case 6 D4 backend/assembly equivalence,NO_SINGLE_PROPERTY_ROW: scope boundary applies to the case-level assurance dimension.
LIM-C08-NOVELTY,CASE_LEVEL_REPORTING_SCOPE,Case 8 worldwide novelty/first-ever proof wording,NO_SINGLE_PROPERTY_ROW: repository-relative distinctness does not establish global novelty.
LIM-C09-PHYSICAL,CASE_LEVEL_SCOPE,Case 9 compiler/hardware/physical erasure dimension,NO_SINGLE_PROPERTY_ROW: source-level C poststate does not establish physical erasure.
LIM-C10-COUNT,CASE_LEVEL_COUNTING_SCOPE,Case 10 emitted CBMC property count,NO_SINGLE_PROPERTY_ROW: counting rule applies to the mechanical emitted-property population.
LIM-C11-CANON,CASE_LEVEL_CLAIM_SCOPE,Case 11 arbitrary-byte modulo-q canonicalisation,NO_SINGLE_PROPERTY_ROW: stronger canonicalisation proposition is not part of the accepted decoder claim.
INC-C13-SEED,DIRECT_SUBSTANTIVE_PROPERTY,PR-C13-009,Two-call seed-noninterference candidate; abstraction-limited substantive result.
INC-C14-T2,DIRECT_PROPERTY_FAMILY,PR-C14-006..PR-C14-010,MONT-T2 resource-limited relational candidate family.
INC-C14-T3,DIRECT_PROPERTY_FAMILY,PR-C14-011..PR-C14-016,MONT-T3 resource-limited multiplication candidate family.
INC-C14-T4,DIRECT_PROPERTY_FAMILY,PR-C14-017..PR-C14-021,MONT-T4 resource-limited polynomial-conversion candidate family.
EXC-C14-SYN,EXCLUDED_ARTEFACT_SCOPE,Synthetic/manual T2-T4 success summaries and mutation claims,NO_SINGLE_PROPERTY_ROW: invalid synthetic success evidence is excluded and does not map to an accepted substantive result.
LIM-RQ2-ATTR,SHARED_RQ2_SCOPE,All four skill-available investigations / 10 substantive skill-available property rows,NO_SINGLE_PROPERTY_ROW: shared attribution/causation reporting limit applies across the secondary skill condition.
LIM-RQ2-EFF,SHARED_RQ2_SCOPE,All four skill-available investigations / 10 substantive skill-available property rows,NO_SINGLE_PROPERTY_ROW: shared efficiency/superiority reporting limit applies across the secondary skill condition.
REP-C01-PA01V1,HISTORICAL_REPAIR_SCOPE,PA-01 V1 predecessor; repaired V2 accepted path,NO_SINGLE_PROPERTY_ROW: superseded failure is repair provenance and does not support the accepted result.
CTRL-C02-T4LOW,EXPECTED_FAILURE_CONTROL_SCOPE,SUB-T4 deliberately stronger lower-bound control,NO_SINGLE_PROPERTY_ROW: expected-failure control is evidence about boundary tightness/non-vacuity.
CTRL-C02-T4UP,EXPECTED_FAILURE_CONTROL_SCOPE,SUB-T4 deliberately stronger upper-bound control,NO_SINGLE_PROPERTY_ROW: expected-failure control is evidence about boundary tightness/non-vacuity.
CONFLICT-C04-NATIVE-DIR,NATIVE_COMPARISON_SCOPE,Case 4 native poly_tomsg directory/harness statement,NO_SINGLE_PROPERTY_ROW: conflict concerns repository-baseline description; frozen source controls.
CONFLICT-C05-NATIVE-HARNESS,NATIVE_COMPARISON_SCOPE,Case 5 native poly_frommsg harness statement,NO_SINGLE_PROPERTY_ROW: conflict concerns repository-baseline description; frozen source controls.
CONFLICT-C07-NATIVE-DIR,NATIVE_COMPARISON_SCOPE,Case 7 native scalar_signed_to_unsigned_q directory/harness statement,NO_SINGLE_PROPERTY_ROW: conflict concerns repository-baseline description; frozen source controls.
