stage_key,agent,stage_type,stage_dir_exists,manifest_path,manifest_exists,manifest_sha256,manifest_error,manifest_stage,manifest_success,notes
01_master_orchestrator,Master Orchestrator,deterministic_control,True,/home/girish/thesis-agent-workflow-26-property-test/runs/run_001_poly_add_real_20260711/stages/01_master_orchestrator/stage_manifest.json,True,ba0ec740f45991dc5105ccfa6e639c4ff01426a94310442a6bd17df444567196,,,,"{'purpose': 'Current deterministic control-plane records.', 'refresh_reason': 'before_experiment_logger', 'mutable_control_files_refreshed_deliberately': True, 'root_level_stage_outputs_allowed': False}"
02_spec_extraction,Specification Extraction,llm_backed,True,/home/girish/thesis-agent-workflow-26-property-test/runs/run_001_poly_add_real_20260711/stages/02_spec_extraction/stage_manifest.json,True,78b34f1e844adaeac48161581d1d2ad42445f51b716476ccc4b81b37818f9061,,,,"{'agent_version': 'agent2_spec_extraction_refactored.v1', 'deterministic_reference_policy': 'advisory_only_not_authoritative', 'root_level_outputs_written': False, 'duplicate_outputs_written': False}"
03_code_understanding,Code Understanding,llm_backed,True,/home/girish/thesis-agent-workflow-26-property-test/runs/run_001_poly_add_real_20260711/stages/03_code_understanding/stage_manifest.json,True,c4c4728c9f576aaebfb2b24b99f75faca5f3fb7251a993e406daf0e30339dcb4,,,,"{'agent_version': 'agent3_code_understanding_refactored.v1', 'deterministic_reference_policy': 'advisory_only_not_authoritative', 'agent2_spec_summary_available': True, 'root_level_outputs_written': False, 'duplicate_outputs_written': False}"
04_property_discovery,Property Discovery,llm_backed,True,/home/girish/thesis-agent-workflow-26-property-test/runs/run_001_poly_add_real_20260711/stages/04_property_discovery/stage_manifest.json,True,23f9ac2c32e46c87cce7337d58ed2d62f94eda5a23be34a1e9f0ffa13b36f464,,,,"{'agent_version': 'agent4_property_discovery_refactored.v1', 'deterministic_reference_policy': 'advisory_only_not_authoritative', 'agent2_spec_summary_available': True, 'agent3_code_summary_available': True, 'root_level_outputs_written': False, 'duplicate_outputs_written': False}"
05_artifact_generation,Formal Artefact Generation,llm_backed_plus_rendering,True,/home/girish/thesis-agent-workflow-26-property-test/runs/run_001_poly_add_real_20260711/stages/05_artifact_generation/stage_manifest.json,True,1f0a2bec4bd867f3f290fd9215cb0c6a2c1655a604686beb1ca2463e2eb55122,,,,"{'agent_version': 'agent5_artifact_generation_refactored.v1', 'deterministic_reference_policy': 'advisory_or_prohibited_copy_reference_only', 'root_level_outputs_written': False, 'duplicate_outputs_written': False, 'cbmc_executed': False, 'formal_truth_claimed': False}"
06_review_critic,Review/Critic,llm_backed_plus_gate,True,/home/girish/thesis-agent-workflow-26-property-test/runs/run_001_poly_add_real_20260711/stages/06_review_critic/stage_manifest.json,True,0bebb0c452fe65b75da185dca2bb6a065b48ee22232eeb054c40e6f4ed9ae175,,,,"{'agent_version': 'agent6_review_critic_refactored.v2.iteration_contract', 'iteration': 0, 'selected_harness_path': '/home/girish/thesis-agent-workflow-26-property-test/runs/run_001_poly_add_real_20260711/stages/05_artifact_generation/rendered_outputs/04_generated_harness.c', 'selected_harness_source': 'orchestrator_current_artifact', 'deterministic_reference_policy': 'diagnostic_advisory_gate_support', 'root_level_outputs_written': False, 'duplicate_outputs_written': False, 'cbmc_executed': False, 'formal_truth_claimed': False, 'final_gate': 'needs_revision_before_tool_execution', 'tool_execution_allowed': False}"
07_tool_execution,Formal Tool Execution,deterministic_tool,True,/home/girish/thesis-agent-workflow-26-property-test/runs/run_001_poly_add_real_20260711/stages/07_tool_execution/stage_manifest.json,False,,missing,,,
08_counterexample_analysis,Counterexample Analysis,llm_backed,True,/home/girish/thesis-agent-workflow-26-property-test/runs/run_001_poly_add_real_20260711/stages/08_counterexample_analysis/stage_manifest.json,False,,missing,,,
09_repair_refinement,Repair/Refinement,llm_backed_plus_candidate_rendering,True,/home/girish/thesis-agent-workflow-26-property-test/runs/run_001_poly_add_real_20260711/stages/09_repair_refinement/stage_manifest.json,False,,missing,,,
10_experiment_logger,Experiment Logger,deterministic_logging,True,/home/girish/thesis-agent-workflow-26-property-test/runs/run_001_poly_add_real_20260711/stages/10_experiment_logger/stage_manifest.json,False,,missing,,,
11_evaluation_reporter,Evaluation Reporter,mixed_or_llm_backed,True,/home/girish/thesis-agent-workflow-26-property-test/runs/run_001_poly_add_real_20260711/stages/11_evaluation_reporter/stage_manifest.json,False,,missing,,,
