Category	ID	Count_or_mutation	Result
Control	C1	Critical T1 boundaries: 9 assertions	9/9 PASS
Control	C2	T2 normalizer witnesses: 8 assertions	8/8 PASS
Control	C3	T3 transitions and endpoints: 42 assertions	42/42 PASS
Control	C4	T4 multiplier controls: 10 assertions	10/10 PASS
Control	C5	T5 offset controls: 12 assertions	12/12 PASS
Mutation	T1-M1	Magic multiplier changed	KILLED
Mutation	T1-M2	Rounding offset removed	KILLED
Mutation	T1-M3	False oracle threshold	KILLED
Mutation	T3-M1	Shift 26 changed to 25	KILLED
Mutation	T3-M2	Shift 26 changed to 27	KILLED
Mutation	T3-M3	False quotient-cell endpoint	KILLED
Mutation	T4-M1	False unique multiplier 20158	KILLED
Mutation	T4-M2	Corrupted lower multiplier witness	KILLED
Mutation	T4-M3	Corrupted upper multiplier witness	KILLED
Mutation	T5-M1	Admissible lower bound widened by one	KILLED
Mutation	T5-M2	Admissible upper bound widened by one	KILLED
Mutation	T5-M3	False unique production offset	KILLED
