incoming_top_folder,file_count,unique_sha256_count,total_bytes,classified_root
MONT00A_SOURCE_NATIVE_ANALYSIS_20260726T133019Z,3,3,520816,experiments/montgomery-reduce/00-campaign-context/source-analysis/MONT00A_SOURCE_NATIVE_ANALYSIS_20260726T133019Z
MONT00B_MONT01A_20260726T134739Z,37,29,1733321,experiments/montgomery-reduce/MONT01-exact-refinement/raw-runs/00-theorem-freeze-and-initial-proof/MONT00B_MONT01A_20260726T134739Z
MONT01A_D1_20260726T135526Z,9,9,70695,experiments/montgomery-reduce/MONT01-exact-refinement/raw-runs/01-development-repair/MONT01A_D1_20260726T135526Z
MONT01A_D2_20260726T141230Z,81,60,3585754,experiments/montgomery-reduce/MONT01-exact-refinement/raw-runs/02-authoritative-proof-and-false-control/MONT01A_D2_20260726T141230Z
MONT01B_MUTATION_PACKAGE_20260726T143223Z,20,18,650460,experiments/montgomery-reduce/MONT01-exact-refinement/raw-runs/03-mutation-sensitivity/00-initial-package/MONT01B_MUTATION_PACKAGE_20260726T143223Z
MONT01B_R1_M2_M3_20260726T144730Z,27,23,934963,experiments/montgomery-reduce/MONT01-exact-refinement/raw-runs/03-mutation-sensitivity/01-retry-m3-partial/MONT01B_R1_M2_M3_20260726T144730Z
MONT01B_R1_M2_M3_20260726T150200Z,27,23,934479,experiments/montgomery-reduce/MONT01-exact-refinement/raw-runs/03-mutation-sensitivity/02-retry-m3-partial/MONT01B_R1_M2_M3_20260726T150200Z
MONT01B_R1_M2_M3_20260726T150507Z,27,23,934516,experiments/montgomery-reduce/MONT01-exact-refinement/raw-runs/03-mutation-sensitivity/03-retry-m2-partial/MONT01B_R1_M2_M3_20260726T150507Z
MONT01B_R1_M2_M3_20260726T151104Z,35,29,1216438,experiments/montgomery-reduce/MONT01-exact-refinement/raw-runs/03-mutation-sensitivity/04-complete-three-mutant-run/MONT01B_R1_M2_M3_20260726T151104Z
MONT02A_FULL_T2_FUNCTIONAL_20260726T164826Z,9,8,3972,experiments/montgomery-reduce/MONT02-relational-low-word-laws/raw-runs/01-full-functional-build-attempt-1/MONT02A_FULL_T2_FUNCTIONAL_20260726T164826Z
MONT02A_FULL_T2_FUNCTIONAL_20260726T165700Z,14,12,11405,experiments/montgomery-reduce/MONT02-relational-low-word-laws/raw-runs/02-full-functional-cbmc-attempt-2/MONT02A_FULL_T2_FUNCTIONAL_20260726T165700Z
MONT02A_FULL_T2_FUNCTIONAL_20260726T170048Z,15,13,12669,experiments/montgomery-reduce/MONT02-relational-low-word-laws/raw-runs/03-full-functional-cbmc-attempt-3/MONT02A_FULL_T2_FUNCTIONAL_20260726T170048Z
MONT02A_FULL_T2_FUNCTIONAL_20260726T175148Z,27,27,36649,experiments/montgomery-reduce/MONT02-relational-low-word-laws/raw-runs/04-sharded-property-run/MONT02A_FULL_T2_FUNCTIONAL_20260726T175148Z
MONT02A_FULL_T2_FUNCTIONAL_20260726T184223Z,29,23,41727,experiments/montgomery-reduce/MONT02-relational-low-word-laws/raw-runs/05-p3-sign-partition-attempt/MONT02A_FULL_T2_FUNCTIONAL_20260726T184223Z
MONT02A_FULL_T2_FUNCTIONAL_20260726T192057Z,34,28,69938,experiments/montgomery-reduce/MONT02-relational-low-word-laws/raw-runs/06-p3-sign-partition-complete/MONT02A_FULL_T2_FUNCTIONAL_20260726T192057Z
MONT02A_FULL_T2_FUNCTIONAL_20260726T194555Z,18,14,14372,experiments/montgomery-reduce/MONT02-relational-low-word-laws/raw-runs/07-solver-backend-probes/MONT02A_FULL_T2_FUNCTIONAL_20260726T194555Z
MONT02A_FULL_T2_FUNCTIONAL_20260726T201553Z,8,8,15919,experiments/montgomery-reduce/MONT02-relational-low-word-laws/raw-runs/08-compositional-p3-completion/MONT02A_FULL_T2_FUNCTIONAL_20260726T201553Z
MONT02A_T2_20260726T152258Z,5,5,26427,experiments/montgomery-reduce/MONT02-relational-low-word-laws/raw-runs/00-theorem-registry-and-initial-run/MONT02A_T2_20260726T152258Z
MONT03A_SOURCE_CAPTURE_20260726T220829Z,2,2,711,experiments/montgomery-reduce/MONT03-normalized-fqmul-algebra/raw-runs/00-source-capture-attempt/MONT03A_SOURCE_CAPTURE_20260726T220829Z
MONT03A_SOURCE_CAPTURE_20260726T221050Z,2,2,53064,experiments/montgomery-reduce/MONT03-normalized-fqmul-algebra/raw-runs/01-final-source-capture/MONT03A_SOURCE_CAPTURE_20260726T221050Z
MONT03A_T3_PARALLEL_20260726T155405Z,9,9,8186,experiments/montgomery-reduce/MONT03-normalized-fqmul-algebra/raw-runs/02-parallel-build-attempt/MONT03A_T3_PARALLEL_20260726T155405Z
MONT03A_T3_PARALLEL_20260726T165032Z,9,9,20482,experiments/montgomery-reduce/MONT03-normalized-fqmul-algebra/raw-runs/03-semantic-direct-run/MONT03A_T3_PARALLEL_20260726T165032Z
MONT03A_T3_PARALLEL_20260726T202205Z,10,10,21319,experiments/montgomery-reduce/MONT03-normalized-fqmul-algebra/raw-runs/04-complete-parallel-run/MONT03A_T3_PARALLEL_20260726T202205Z
MONT03B_HARNESS_FREEZE_20260726T221716Z,2,2,1269,experiments/montgomery-reduce/MONT03-normalized-fqmul-algebra/raw-runs/05-harness-freeze-attempt-1/MONT03B_HARNESS_FREEZE_20260726T221716Z
MONT03B_HARNESS_FREEZE_20260726T221902Z,2,2,2161,experiments/montgomery-reduce/MONT03-normalized-fqmul-algebra/raw-runs/06-harness-freeze-attempt-2/MONT03B_HARNESS_FREEZE_20260726T221902Z
MONT03B_HARNESS_FREEZE_20260726T222052Z,27,23,1949327,experiments/montgomery-reduce/MONT03-normalized-fqmul-algebra/raw-runs/07-frozen-harness-family/MONT03B_HARNESS_FREEZE_20260726T222052Z
MONT03C_FUNCTIONAL_NONVACUITY_20260726T222638Z,2,2,948,experiments/montgomery-reduce/MONT03-normalized-fqmul-algebra/raw-runs/08-nonvacuity-attempt-1/MONT03C_FUNCTIONAL_NONVACUITY_20260726T222638Z
MONT03C_FUNCTIONAL_NONVACUITY_20260726T222928Z,2,2,1421,experiments/montgomery-reduce/MONT03-normalized-fqmul-algebra/raw-runs/09-nonvacuity-attempt-2/MONT03C_FUNCTIONAL_NONVACUITY_20260726T222928Z
MONT03C_FUNCTIONAL_NONVACUITY_20260726T223037Z,13,10,14101,experiments/montgomery-reduce/MONT03-normalized-fqmul-algebra/raw-runs/10-complete-functional-nonvacuity/MONT03C_FUNCTIONAL_NONVACUITY_20260726T223037Z
MONT03D_SEQUENTIAL_FUNCTIONAL_RECOVERY_20260727T000733Z,2,2,1857,experiments/montgomery-reduce/MONT03-normalized-fqmul-algebra/raw-runs/11-sequential-functional-recovery/MONT03D_SEQUENTIAL_FUNCTIONAL_RECOVERY_20260727T000733Z
MONT04A_T4_SOURCE_CAPTURE_20260726T224714Z,3,3,45100,experiments/montgomery-reduce/MONT04-poly-tomont-roundtrip-locality/raw-runs/00-source-capture/MONT04A_T4_SOURCE_CAPTURE_20260726T224714Z
MONT04B_T4_HARNESS_FREEZE_20260726T225651Z,15,14,14954,experiments/montgomery-reduce/MONT04-poly-tomont-roundtrip-locality/raw-runs/01-frozen-harness-family/MONT04B_T4_HARNESS_FREEZE_20260726T225651Z
MONT04C_R1_H14_SHARDS_20260726T235819Z,3,3,24004,experiments/montgomery-reduce/MONT04-poly-tomont-roundtrip-locality/raw-runs/03-h14-shards-attempt/MONT04C_R1_H14_SHARDS_20260726T235819Z
MONT04C_R1_H14_SHARDS_20260727T000108Z,4,4,24836,experiments/montgomery-reduce/MONT04-poly-tomont-roundtrip-locality/raw-runs/04-h14-p1-shard-run/MONT04C_R1_H14_SHARDS_20260727T000108Z
MONT04C_R2_H235_SHARDS_20260727T004306Z,2,2,865,experiments/montgomery-reduce/MONT04-poly-tomont-roundtrip-locality/raw-runs/05-h235-shards/MONT04C_R2_H235_SHARDS_20260727T004306Z
MONT04C_R3_T4_NONVACUITY_20260727T004348Z,2,2,885,experiments/montgomery-reduce/MONT04-poly-tomont-roundtrip-locality/raw-runs/06-t4-nonvacuity-final/MONT04C_R3_T4_NONVACUITY_20260727T004348Z
MONT04C_T4_FUNCTIONAL_NONVACUITY_20260726T231555Z,3,3,2779,experiments/montgomery-reduce/MONT04-poly-tomont-roundtrip-locality/raw-runs/02-functional-nonvacuity/MONT04C_T4_FUNCTIONAL_NONVACUITY_20260726T231555Z
MONT_T3_WORKTREE_af4c5abd,2254,1095,28307000,provenance/montgomery-reduce/worktree-deltas/MONT03-fqmul-algebra-delta
MONT_T4_WORKTREE_af4c5abd_20260726T225651Z,2173,1028,22807300,provenance/montgomery-reduce/worktree-deltas/MONT04-poly-tomont-delta
MONT_WORKTREE_af4c5abd,2438,1230,37896537,provenance/montgomery-reduce/source-snapshots/base-worktree-af4c5abd
