property_id,type,priority,source_basis,confidence,has_legacy_spec_evidence,has_agent2v2_algorithm_evidence,has_agent2v2_parameter_evidence,has_agent2v2_equation_evidence,has_agent2v2_prepost_evidence,has_agent2v2_hint_evidence,has_code_evidence,human_review_required,description
P4,array_bounds,high,code,high,False,False,False,False,False,False,True,True,All detected array accesses in `mlk_poly_add` should stay within valid bounds.
P1,input_pointer_validity,high,code,high,False,False,False,False,False,False,True,True,Input pointer `b` must be valid and readable when `mlk_poly_add` is called.
P5,loop_bound,high,code,high,False,False,False,False,False,False,True,True,Loop `i < MLKEM_N` in `mlk_poly_add` should be unwound sufficiently and should not drive array indices outside valid bounds.
P3,memory_safety,high,code,high,False,False,False,False,False,False,True,True,All pointer field/dereference accesses inside `mlk_poly_add` should be memory-safe under documented harness assumptions.
P2,output_pointer_validity,high,code,high,False,False,False,False,False,False,True,True,Output/in-out pointer `r` must be valid and writable when `mlk_poly_add` writes through it.
P21,parameter_consistency,high,agent2v2_parameters_plus_code,high,False,False,True,False,False,False,True,True,Parsed specification parameters/constants should match implementation macros/constants before using them in CBMC assumptions. Tracked parameters: human_review_required=True.
P58,spec_code_alignment,high,agent2v2_spec_to_code_hint,medium,False,False,False,False,False,True,True,True,Agent 2 v2 spec-to-code hint should be checked: mlk_poly_add.
P59,spec_code_alignment,high,agent2v2_spec_to_code_hint,medium,False,False,False,False,False,True,True,True,"Agent 2 v2 spec-to-code hint should be checked: {""candidate_meanings"": [""Error/noise vector or polynomial in ML-KEM/K-PKE descriptions.""], ""group"": ""candidate_field_mappings"", ""possible_code_fields"": [""coeffs"", ""vec"", ""polyvec"", ""bytes""], ""spec_symbol"": ""e""}."
P60,spec_code_alignment,high,agent2v2_spec_to_code_hint,medium,False,False,False,False,False,True,True,True,Agent 2 v2 spec-to-code hint should be checked: true.
P61,spec_code_alignment,high,agent2v2_spec_to_code_hint,medium,False,False,False,False,False,True,True,True,Agent 2 v2 spec-to-code hint should be checked: These hints are not proof obligations by themselves..
P62,spec_code_alignment,high,agent2v2_spec_to_code_hint,medium,False,False,False,False,False,True,True,True,Agent 2 v2 spec-to-code hint should be checked: They are bridge material for the Property Discovery and Artifact Generation agents..
P9,aliasing,medium,code_plus_human_review,medium,False,False,False,False,False,False,True,True,Pointer aliasing behavior for `mlk_poly_add` should be documented before adding non-aliasing assumptions.
P23,equation_conformance,medium,agent2v2_equation_constraint_plus_code,medium,False,False,False,True,False,False,True,True,"Parsed FIPS equation/constraint `comments submitted on the draft ML-KEM, domain separation was added to K-PKE.KeyGen to` may define a candidate check for `mlk_poly_add` if involved symbols map to code variables."
P24,equation_conformance,medium,agent2v2_equation_constraint_plus_code,medium,False,False,False,True,False,False,True,True,"Parsed FIPS equation/constraint `Additionally, FIPS 203 ipd had inadvertently swapped the indices of matrix 𝐀̂ in K-PKE.KeyGen and` may define a candidate check for `mlk_poly_add` if involved symbols map to code variables."
P16,functional_correctness,medium,spec,low,True,False,False,False,False,False,True,True,"For `mlk_poly_add`, candidate spec-derived property: {""confidence"": 0.66, ""evidence"": [{""confidence"": 0.66, ""end_line"": 102, ""extraction_method"": ""prepost_keyword_regex"", ""section_title"": ""Input checking. The algorithms ML-KEM.Encaps and ML-KEM.Decaps require input checking."", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 102, ""text"": ""Implementers shall ensure that ML-KEM.Encaps and ML-KEM.Decaps are only executed on""}], ""guarantee"": ""Implementers shall ensure that ML-KEM.Encaps and ML-KEM.Decaps are only executed on"", ""human_review_required"": true, ""source"": ""postcondition_keyword_extraction""}"
P17,functional_correctness,medium,spec,low,True,False,False,False,False,False,True,True,"For `mlk_poly_add`, candidate spec-derived property: {""confidence"": 0.66, ""evidence"": [{""confidence"": 0.66, ""end_line"": 106, ""extraction_method"": ""prepost_keyword_regex"", ""section_title"": ""inputs that have been checked, as described in Section 7."", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 106, ""text"": ""shall ensure that intermediate data is destroyed as soon as it is no longer needed. In particular,""}], ""guarantee"": ""shall ensure that intermediate data is destroyed as soon as it is no longer needed. In particular,"", ""human_review_required"": true, ""source"": ""postcondition_keyword_extraction""}"
P18,functional_correctness,medium,spec,low,True,False,False,False,False,False,True,True,"For `mlk_poly_add`, candidate spec-derived property: {""confidence"": 0.66, ""evidence"": [{""confidence"": 0.66, ""end_line"": 107, ""extraction_method"": ""prepost_keyword_regex"", ""section_title"": ""inputs that have been checked, as described in Section 7."", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 107, ""text"": ""for ML-KEM.KeyGen, ML-KEM.Encaps, and ML-KEM.Decaps, only the designated output can be""}], ""guarantee"": ""for ML-KEM.KeyGen, ML-KEM.Encaps, and ML-KEM.Decaps, only the designated output can be"", ""human_review_required"": true, ""source"": ""postcondition_keyword_extraction""}"
P19,functional_correctness,medium,spec,low,True,False,False,False,False,False,True,True,"For `mlk_poly_add`, candidate spec-derived property: {""confidence"": 0.66, ""evidence"": [{""confidence"": 0.66, ""end_line"": 120, ""extraction_method"": ""prepost_keyword_regex"", ""section_title"": ""Appendix C - Differences From the CRYSTALS-Kyber Submission"", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 120, ""text"": ""scheme (specified in this document) that result in differing input-output behavior of the main""}], ""guarantee"": ""scheme (specified in this document) that result in differing input-output behavior of the main"", ""human_review_required"": true, ""source"": ""postcondition_keyword_extraction""}"
P20,functional_correctness,medium,spec,low,True,False,False,False,False,False,True,True,"For `mlk_poly_add`, candidate spec-derived property: {""confidence"": 0.66, ""evidence"": [{""confidence"": 0.66, ""end_line"": 122, ""extraction_method"": ""prepost_keyword_regex"", ""section_title"": ""Appendix C - Differences From the CRYSTALS-Kyber Submission"", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 122, ""text"": ""the input-output behavior of these three algorithms (see “Implementations” and Section 3.3""}], ""guarantee"": ""the input-output behavior of these three algorithms (see “Implementations” and Section 3.3"", ""human_review_required"": true, ""source"": ""postcondition_keyword_extraction""}"
