artifact_record_id,locator_id,case_id,artifact_category,archive_path,resolved_public_path,expected_sha256,actual_sha256,candidate_count,status
REP-LOC-C01-UA-HARNESS-001,LOC-C01-UA,1,HARNESS,mlk_poly_add_cleanroom/PA 2/pa02_mlk_poly_add_full_signed_contract_valid_harness.c,experiments/poly-add/PA02-full-signed-contract-domain/curated-records/pa02_mlk_poly_add_full_signed_contract_valid_harness.c,e83d521e23f93c2435058598be5ef245bb02c554a4b7992dd8844418720c2ce2,e83d521e23f93c2435058598be5ef245bb02c554a4b7992dd8844418720c2ce2,8,RESOLVED_HASH_MATCH
REP-LOC-C01-UA-HARNESS-002,LOC-C01-UA,1,HARNESS,mlk_poly_add_cleanroom/PA 5/pa05a_mlk_poly_add_polyvec_production_callsite_harness.c,experiments/poly-add/PA05-production-callsites/curated-records/pa05a_mlk_poly_add_polyvec_production_callsite_harness.c,ef23dd1db28254c88fcf9216759dce7cade46138dc5fc6c2e56a59bcf101a87e,ef23dd1db28254c88fcf9216759dce7cade46138dc5fc6c2e56a59bcf101a87e,6,RESOLVED_HASH_MATCH
REP-LOC-C01-UA-HARNESS-003,LOC-C01-UA,1,HARNESS,mlk_poly_add_cleanroom/PA 5/pa05b_mlk_poly_add_indcpa_epp_callsite_harness.c,experiments/poly-add/PA05-production-callsites/curated-records/pa05b_mlk_poly_add_indcpa_epp_callsite_harness.c,8241d0631bb02aa7191e741fae1f2785e03e7c016b3a510dc74d7908c34ce7bc,8241d0631bb02aa7191e741fae1f2785e03e7c016b3a510dc74d7908c34ce7bc,6,RESOLVED_HASH_MATCH
REP-LOC-C01-UA-HARNESS-004,LOC-C01-UA,1,HARNESS,mlk_poly_add_cleanroom/PA 5/pa05c_mlk_poly_add_indcpa_k_sequential_callsite_harness.c,experiments/poly-add/PA05-production-callsites/curated-records/pa05c_mlk_poly_add_indcpa_k_sequential_callsite_harness.c,8fd2643b21675324cc2de2e9e65dd2deacd50f796ab288cab71cf1882f0fb6e0,8fd2643b21675324cc2de2e9e65dd2deacd50f796ab288cab71cf1882f0fb6e0,6,RESOLVED_HASH_MATCH
REP-LOC-C01-UA-HARNESS-005,LOC-C01-UA,1,HARNESS,mlk_poly_add_cleanroom/PA 8/pa08a_mlk_poly_add_boundary_hardening_harness.c,experiments/poly-add/PA08-vacuity-and-boundaries/curated-records/pa08a_mlk_poly_add_boundary_hardening_harness.c,1f7967136b275110519ba247f182d7f11ab4d36288493bd5e571d7a2dc584dee,1f7967136b275110519ba247f182d7f11ab4d36288493bd5e571d7a2dc584dee,4,RESOLVED_HASH_MATCH
REP-LOC-C01-UA-HARNESS-006,LOC-C01-UA,1,HARNESS,mlk_poly_add_cleanroom/PA 8/pa08b_mlk_poly_add_reachability_sentinel_harness.c,experiments/poly-add/PA08-vacuity-and-boundaries/curated-records/pa08b_mlk_poly_add_reachability_sentinel_harness.c,38fbbd821e2ac13c4a85fca813425b4cbafe15ec9f72ca54b85fce5599fc6428,38fbbd821e2ac13c4a85fca813425b4cbafe15ec9f72ca54b85fce5599fc6428,4,RESOLVED_HASH_MATCH
REP-LOC-C01-UA-HARNESS-007,LOC-C01-UA,1,HARNESS,mlk_poly_add_cleanroom/PA 8/pa08c_mlk_poly_add_upper_outside_boundary_harness.c,experiments/poly-add/PA08-vacuity-and-boundaries/curated-records/pa08c_mlk_poly_add_upper_outside_boundary_harness.c,36f2a6c423e1303570d25019db0d538e13a1f50135ae0f11e798636537fb891d,36f2a6c423e1303570d25019db0d538e13a1f50135ae0f11e798636537fb891d,4,RESOLVED_HASH_MATCH
REP-LOC-C01-UA-HARNESS-008,LOC-C01-UA,1,HARNESS,mlk_poly_add_cleanroom/PA 8/pa08d_mlk_poly_add_lower_outside_boundary_harness.c,experiments/poly-add/PA08-vacuity-and-boundaries/curated-records/pa08d_mlk_poly_add_lower_outside_boundary_harness.c,6e484118e522d54c67d043e2a9d209df8a64e3af290666bc3d74cbb8b5c425ed,6e484118e522d54c67d043e2a9d209df8a64e3af290666bc3d74cbb8b5c425ed,4,RESOLVED_HASH_MATCH
REP-LOC-C01-UA-COMMAND_OR_RUNNER-001,LOC-C01-UA,1,COMMAND_OR_RUNNER,mlk_poly_add_cleanroom/PA 2/run_pa02_mlk_poly_add_full_signed_cbmc.sh,support/ai-assisted-human-corrected-development-scripts/run_pa02_mlk_poly_add_full_signed_cbmc.sh,7068aa8be8e763e7622b7a5767031eb1fa6f4a557f4b9a0507befbb0c346ffee,7068aa8be8e763e7622b7a5767031eb1fa6f4a557f4b9a0507befbb0c346ffee,5,RESOLVED_HASH_MATCH
REP-LOC-C01-UA-COMMAND_OR_RUNNER-002,LOC-C01-UA,1,COMMAND_OR_RUNNER,mlk_poly_add_cleanroom/PA 5/run_pa05_mlk_poly_add_production_callsites.sh,support/ai-assisted-human-corrected-development-scripts/run_pa05_mlk_poly_add_production_callsites.sh,3547108f805d9a89e5c5121249de1c6e7d7db48a20636ecc5dd702f22b78a34d,3547108f805d9a89e5c5121249de1c6e7d7db48a20636ecc5dd702f22b78a34d,7,RESOLVED_HASH_MATCH
REP-LOC-C01-UA-COMMAND_OR_RUNNER-003,LOC-C01-UA,1,COMMAND_OR_RUNNER,mlk_poly_add_cleanroom/PA 8/run_pa08_mlk_poly_add_vacuity_boundary_campaign.sh,support/ai-assisted-human-corrected-development-scripts/run_pa08_mlk_poly_add_vacuity_boundary_campaign.sh,ff76bd70e3c876712a978127d10fc1f17788b1dda5818a8bbbc56c24e2f77859,ff76bd70e3c876712a978127d10fc1f17788b1dda5818a8bbbc56c24e2f77859,5,RESOLVED_HASH_MATCH
REP-LOC-C01-UA-COMMAND_OR_RUNNER-004,LOC-C01-UA,1,COMMAND_OR_RUNNER,mlk_poly_add_cleanroom/PA3/run_pa03_mlk_poly_add_unrestricted_negative_control.sh,support/ai-assisted-human-corrected-development-scripts/run_pa03_mlk_poly_add_unrestricted_negative_control.sh,d2a628b547ceae17713b995a99244c9bfef761b8993be060eb71518627317f5d,d2a628b547ceae17713b995a99244c9bfef761b8993be060eb71518627317f5d,7,RESOLVED_HASH_MATCH
REP-LOC-C01-UA-COMMAND_OR_RUNNER-005,LOC-C01-UA,1,COMMAND_OR_RUNNER,mlk_poly_add_cleanroom/PA4/run_pa04_mlk_poly_add_aliasing_campaign.sh,support/ai-assisted-human-corrected-development-scripts/run_pa04_mlk_poly_add_aliasing_campaign.sh,df15493e874057bc7e35516af8043be86399c131bc7f4a8ab99bd3744666a82c,df15493e874057bc7e35516af8043be86399c131bc7f4a8ab99bd3744666a82c,7,RESOLVED_HASH_MATCH
REP-LOC-C01-UA-COMMAND_OR_RUNNER-006,LOC-C01-UA,1,COMMAND_OR_RUNNER,mlk_poly_add_cleanroom/PA6/run_pa06_mlk_poly_add_cross_parameter_campaign.sh,support/ai-assisted-human-corrected-development-scripts/run_pa06_mlk_poly_add_cross_parameter_campaign.sh,7e88e942c81893a25f23c54ad3f4ee9115f5e4df1a849d924df7bbe8df967014,7e88e942c81893a25f23c54ad3f4ee9115f5e4df1a849d924df7bbe8df967014,7,RESOLVED_HASH_MATCH
REP-LOC-C01-UA-COMMAND_OR_RUNNER-007,LOC-C01-UA,1,COMMAND_OR_RUNNER,mlk_poly_add_cleanroom/PA7/run_pa07_mlk_poly_add_mutation_sensitivity(2).sh,experiments/poly-add/PA07-mutation-sensitivity/curated-records/run_pa07_mlk_poly_add_mutation_sensitivity(2).sh,905f081214b6f64e192b5d7744368e4b09957b511acfce8cea805002320701ce,905f081214b6f64e192b5d7744368e4b09957b511acfce8cea805002320701ce,1,RESOLVED_HASH_MATCH
REP-LOC-C01-UA-COMMAND_OR_RUNNER-008,LOC-C01-UA,1,COMMAND_OR_RUNNER,mlk_poly_add_cleanroom/PA 1/V1/run_cleanroom_mlk_poly_add_cbmc.sh,support/ai-assisted-human-corrected-development-scripts/run_cleanroom_mlk_poly_add_cbmc.sh,fabbbacd8c1bbde3c8cd5167a466d9b42d2d0870ecb81f36597ac149000b410f,fabbbacd8c1bbde3c8cd5167a466d9b42d2d0870ecb81f36597ac149000b410f,2,RESOLVED_HASH_MATCH
REP-LOC-C01-UA-RAW_RESULT-001,LOC-C01-UA,1,RAW_RESULT,mlk_poly_add_cleanroom/cleanroom_results/mlk_poly_add_768_20260716T010907Z/cbmc_output.json,experiments/poly-add/PA01-canonical-domain/raw-runs/mlk_poly_add_768_20260716T010907Z/cbmc_output.json,fc212e7f56c0b3f253c8bdf73c9108bab9ca7c11aaeb8b10ea6f2bd959493f3a,fc212e7f56c0b3f253c8bdf73c9108bab9ca7c11aaeb8b10ea6f2bd959493f3a,22,RESOLVED_HASH_MATCH
REP-LOC-C01-UA-RAW_RESULT-002,LOC-C01-UA,1,RAW_RESULT,mlk_poly_add_cleanroom/cleanroom_results/mlk_poly_add_768_20260716T010907Z/cbmc_output.txt,experiments/poly-add/PA01-canonical-domain/raw-runs/mlk_poly_add_768_20260716T010907Z/cbmc_output.txt,56ab0986578d5c5df4edeb29314c5742a92da07ab85888f47c58435e370c6916,56ab0986578d5c5df4edeb29314c5742a92da07ab85888f47c58435e370c6916,45,RESOLVED_HASH_MATCH
REP-LOC-C01-UA-RAW_RESULT-003,LOC-C01-UA,1,RAW_RESULT,mlk_poly_add_cleanroom/cleanroom_results/mlk_poly_add_768_20260716T013225Z/cbmc_output.json,experiments/poly-add/PA01-canonical-domain/raw-runs/mlk_poly_add_768_20260716T013225Z/cbmc_output.json,f3c7ec74a170f6ac83b4ee1e931542e7fc97e5c5ecd8e7a42ea62e1e3e4b0265,f3c7ec74a170f6ac83b4ee1e931542e7fc97e5c5ecd8e7a42ea62e1e3e4b0265,22,RESOLVED_HASH_MATCH
REP-LOC-C01-UA-RAW_RESULT-004,LOC-C01-UA,1,RAW_RESULT,mlk_poly_add_cleanroom/cleanroom_results/mlk_poly_add_768_20260716T013225Z/cbmc_output.txt,experiments/poly-add/PA01-canonical-domain/raw-runs/mlk_poly_add_768_20260716T013225Z/cbmc_output.txt,b3c64397ed3a4e8d175aa7390110ebb5a08d1547fe54ffbdf63f7209b0daee0d,b3c64397ed3a4e8d175aa7390110ebb5a08d1547fe54ffbdf63f7209b0daee0d,45,RESOLVED_HASH_MATCH
REP-LOC-C01-UA-RAW_RESULT-005,LOC-C01-UA,1,RAW_RESULT,mlk_poly_add_cleanroom/cleanroom_results/pa02a_mlk_poly_add_exact_signed_768_20260716T041805Z/cbmc_output.txt,experiments/poly-add/PA02-full-signed-contract-domain/raw-runs/pa02a_mlk_poly_add_exact_signed_768_20260716T041805Z/cbmc_output.txt,dd8e54e8ced60a2a83607f3a1a040c883fe5c18894016ec2486a38e689d95df9,dd8e54e8ced60a2a83607f3a1a040c883fe5c18894016ec2486a38e689d95df9,45,RESOLVED_HASH_MATCH
REP-LOC-C01-UA-RAW_RESULT-006,LOC-C01-UA,1,RAW_RESULT,mlk_poly_add_cleanroom/cleanroom_results/pa02b_mlk_poly_add_modq_refinement_768_20260716T045702Z/cbmc_output.txt,experiments/poly-add/PA02-full-signed-contract-domain/raw-runs/pa02b_mlk_poly_add_modq_refinement_768_20260716T045702Z/cbmc_output.txt,cd42916778b0ff06626b135975bc62f71061f3604fd8f5fc8c7a5797f0ff5163,cd42916778b0ff06626b135975bc62f71061f3604fd8f5fc8c7a5797f0ff5163,45,RESOLVED_HASH_MATCH
REP-LOC-C01-UA-RAW_RESULT-007,LOC-C01-UA,1,RAW_RESULT,mlk_poly_add_cleanroom/cleanroom_results/pa02c_mlk_poly_add_readonly_frame_768_20260716T053352Z/cbmc_output.txt,experiments/poly-add/PA02-full-signed-contract-domain/raw-runs/pa02c_mlk_poly_add_readonly_frame_768_20260716T053352Z/cbmc_output.txt,918ad41adf75baf799a7681c9de40e4bc7c63405e52438b2ea3a2a8b068a4266,918ad41adf75baf799a7681c9de40e4bc7c63405e52438b2ea3a2a8b068a4266,45,RESOLVED_HASH_MATCH
REP-LOC-C01-UA-RAW_RESULT-008,LOC-C01-UA,1,RAW_RESULT,mlk_poly_add_cleanroom/cleanroom_results/pa02d_mlk_poly_add_commutativity_768_20260716T053955Z/cbmc_output.txt,experiments/poly-add/PA02-full-signed-contract-domain/raw-runs/pa02d_mlk_poly_add_commutativity_768_20260716T053955Z/cbmc_output.txt,5d7f6a0d2f6bba0e78d67fcc489711cd2c92a66ac3d9be7523f10683c080a2e7,5d7f6a0d2f6bba0e78d67fcc489711cd2c92a66ac3d9be7523f10683c080a2e7,45,RESOLVED_HASH_MATCH
