criterion,score,max_score,level,rationale,evidence
correctness,2,5,weak,Correctness evidence is incomplete.,"[""CBMC status: dry_run"", ""Highest critic severity: medium""]"
tool_compatibility,1,5,poor,Tool compatibility evidence is missing or unknown.,"[""CBMC command recorded."", ""CBMC output recorded."", ""Tool status: dry_run""]"
specification_relevance,4,5,good,Properties are connected to extracted specification information.,"[""Candidate properties: 63"", ""Extracted constants: 1"", ""Input assumptions: 15"", ""Output guarantees: 9""]"
code_relevance,5,5,excellent,The artifact is strongly connected to the selected implementation behavior.,"[""Configured target function: mlk_poly_add"", ""Detected function: {'requested_name': 'mlk_poly_add', 'detected_name': 'mlk_poly_add', 'matched_by': 'exact_or_known_mlkem_variant', 'signature': 'MLK_INTERNAL_API void mlk_poly_add(mlk_poly *r, const mlk_poly *b)', 'return_type': 'MLK_INTERNAL_API void', 'parameters_raw': 'mlk_poly *r, const mlk_poly *b', 'parameters': [{'index': 0, 'raw': 'mlk_poly *r', 'name': 'r', 'type_guess': 'mlk_poly *', 'is_pointer': True, 'pointer_depth': 1, 'is_const': False, 'is_array_syntax': False, 'direction_guess': 'output_pointer_candidate'}, {'index': 1, 'raw': 'const mlk_poly *b', 'name': 'b', 'type_guess': 'const mlk_poly *', 'is_pointer': True, 'pointer_depth': 1, 'is_const': True, 'is_array_syntax': False, 'direction_guess': 'input_pointer_candidate'}], 'source_file': '/home/girish/thesis-agent-workflow/inputs/code/poly.c', 'start_line': 228, 'end_line': 242, 'body_hash_sha256': 'f05eae6291cc47566ccc81c8d0e04e00a889e39ed52f840530daaaacc34480ed', 'body_excerpt': '{\\n  unsigned i;\\n  for (i = 0; i < MLKEM_N; i++)\\n  __loop__(\\n    invariant(i <= MLKEM_N)\\n    invariant(forall(k0, i, MLKEM_N, r->coeffs[k0] == loop_entry(*r).coeffs[k0]))\\n    invariant(forall(k1, 0, i, r->coeffs[k1] == loop_entry(*r).coeffs[k1] + b->coeffs[k1]))\\n    decreases(MLKEM_N - i))\\n  {\\n    /* The preconditions imply that the addition stays within int16_t. */\\n    r->coeffs[i] = (int16_t)(r->coeffs[i] + b->coeffs[i]);\\n  }\\n}', 'evidence': {'source_file': '/home/girish/thesis-agent-workflow/inputs/code/poly.c', 'start_line': 228, 'end_line': 242, 'text': 'MLK_INTERNAL_API\\nvoid mlk_poly_add(mlk_poly *r, const mlk_poly *b)\\n{\\n  unsigned i;\\n  for (i = 0; i < MLKEM_N; i++)\\n  __loop__(\\n    invariant(i <= MLKEM_N)\\n    invariant(forall(k0, i, MLKEM_N, r->coeffs[k0] == loop_entry(*r).coeffs[k0]))\\n    invariant(forall(k1, 0, i, r->coeffs[k1] == loop_entry(*r).coeffs[k1] + b->coeffs[k1]))\\n    decreases(MLKEM_N - i))\\n  {\\n    /* The preconditions imply that the addition stays within int16_t. */\\n    r->coeffs[i] = (int16_t)(r->coeffs[i] + b->coeffs[i]);\\n  }\\n}'}}"", ""Harness/manifest target call: mlk_poly_add"", ""Array accesses detected: 7"", ""Loops detected: 0""]"
assumption_quality,4,5,good,Assumptions exist and appear connected to extracted specification assumptions.,"[""CBMC assumptions in harness: 1"", ""Spec assumptions extracted: 15"", ""Critic assumption concerns: 0""]"
assertion_quality,3,5,moderate,Assertions exist but critic identified possible weakness or over-strength.,"[""Assertions in harness: 1"", ""Critic assertion concerns: 2""]"
failure_usefulness,2,5,weak,Failure usefulness evidence is incomplete.,"[""CBMC status: dry_run"", ""Failure type: none"", ""Failure categories: 0"", ""Suggested fixes: 1""]"
human_correction_effort,3,5,moderate,Human correction effort appears moderate or not fully known.,"[""Repair status: repaired_candidate_generated"", ""Repair changes recorded: 0"", ""High/critical critic issues: 0"", ""CBMC status: dry_run""]"
reproducibility,5,5,excellent,"Run is highly reproducible with files, prompts, statuses, and events recorded.","[""Expected files present: 13/13"", ""Events log present: True"", ""Prompt directory present: True"", ""Agent status directory present: True"", ""Experiment log present: True""]"
spec_parsing_quality,4,5,good,Agent 2 v2 produced traceable structured parsing evidence across the selected spec material. Some review is still needed.,"[""Overall v2 spec parsing score: 0.705"", ""Agent 2 v2 core file coverage: 1.0""]"
algorithm_extraction_coverage,1,5,poor,No usable evidence was found for this v2 evaluation dimension.,"[""Algorithm blocks: 0"", ""Quality: 0.0""]"
symbol_extraction_coverage,3,5,moderate,Symbol extraction lacks enough meaning/evidence. Still useful as partial evidence.,"[""Symbols: 2"", ""Quality: 0.5""]"
parameter_extraction_confidence,5,5,excellent,"Parameter extraction includes values, confidence, and evidence.","[""Parameters: 1"", ""Average confidence: 0.8""]"
spec_claim_human_review_status,5,5,excellent,Extracted spec claims include evidence and/or explicit human-review status.,"[""Claims: 138"", ""Coverage: 1.0""]"
