original_path	decision	sha256	retained_destination	canonical_original_path	reason
00_verification_intent/PBCODEC_CV1_VERIFICATION_INTENT.md	RETAIN	befca621610706c9e9e59fae1a5cfb612f6e39868743905eeee6e51099ad9be6	experiments/poly-bytes-codec/00-campaign-setup/verification-intent/PBCODEC_CV1_VERIFICATION_INTENT.md	00_verification_intent/PBCODEC_CV1_VERIFICATION_INTENT.md	primary campaign record or context-distinct evidence
01_harness_candidates/NV/Makefile	RETAIN	bf06cd69768410d23d9daccd84e313fd15083772bbc6cc9d61bdd35ecb5e9ab3	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/harness/Makefile	01_harness_candidates/NV/Makefile	primary campaign record or context-distinct evidence
01_harness_candidates/NV/pbcodec_cv1_nonvacuity_harness.c	RETAIN	0ba7b2763cd3a0d7c30746f026cf22b27f1e7130f238409245ce8763f90c33f8	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/harness/pbcodec_cv1_nonvacuity_harness.c	01_harness_candidates/NV/pbcodec_cv1_nonvacuity_harness.c	primary campaign record or context-distinct evidence
01_harness_candidates/P1/Makefile	RETAIN	f0b87f4ea58487fa8828169d90a2ea16aa03852dfbd492bbe4eb6f8736ffbb96	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/harness/Makefile	01_harness_candidates/P1/Makefile	primary campaign record or context-distinct evidence
01_harness_candidates/P1/pbcodec_cv1_p1_left_inverse_harness.c	RETAIN	04b6a7b4287d75f2badb9612b1738a4c7ac5d5d2ce316464145ccada183c25a6	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/harness/pbcodec_cv1_p1_left_inverse_harness.c	01_harness_candidates/P1/pbcodec_cv1_p1_left_inverse_harness.c	primary campaign record or context-distinct evidence
01_harness_candidates/P2/Makefile	RETAIN	4647f2300984bfcb84ae26197b0b5ca2547b6edf4131238d1e5501f48ad6ce82	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/harness/Makefile	01_harness_candidates/P2/Makefile	primary campaign record or context-distinct evidence
01_harness_candidates/P2/pbcodec_cv1_p2_right_inverse_harness.c	RETAIN	5d1d3146ab061fdfdbbd55dd9f967acaa211a109d578b11fe59ffb9e7bcb896e	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/harness/pbcodec_cv1_p2_right_inverse_harness.c	01_harness_candidates/P2/pbcodec_cv1_p2_right_inverse_harness.c	primary campaign record or context-distinct evidence
02_build_results/NV/cprover_statuses.txt	RETAIN	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	experiments/poly-bytes-codec/00-campaign-setup/initial-build-attempt/build-results/NV/cprover_statuses.txt	02_build_results/NV/cprover_statuses.txt	primary campaign record or context-distinct evidence
02_build_results/NV/make.exit_code.txt	RETAIN	53c234e5e8472b6ac51c1ae1cab3fe06fad053beb8ebfd8977b010655bfdd3c3	experiments/poly-bytes-codec/00-campaign-setup/initial-build-attempt/build-results/NV/make.exit_code.txt	02_build_results/NV/make.exit_code.txt	primary campaign record or context-distinct evidence
02_build_results/NV/make.stderr.txt	RETAIN	112624bfe7e4300e3fc89f7d2cc27198a67bbd3edca9d6bca3f98de63664b4ec	experiments/poly-bytes-codec/00-campaign-setup/initial-build-attempt/build-results/NV/make.stderr.txt	02_build_results/NV/make.stderr.txt	primary campaign record or context-distinct evidence
