cbmc_property_id,cbmc_status,cbmc_property_type,cbmc_description,matched_candidate_property_id,matched_candidate_property_type,match_score,mapping_status,related_critic_issue_count,related_critic_issues
mlk_barrett_reduce.overflow.1,SUCCESS,integer_overflow,line 96 arithmetic overflow on signed * in magic * (signed int)a,P6,integer_overflow,0.385,matched_candidate,2,"[{""message"": ""The assumption `(int32_t)r.coeffs[i] + (int32_t)b.coeffs[i] <= INT16_MAX` was not directly traced to Agent 2/4/5 evidence."", ""severity"": ""medium"", ""type"": ""assumption_without_traceability""}, {""message"": ""The assumption `(int32_t)r.coeffs[i] + (int32_t)b.coeffs[i] >= INT16_MIN` was not directly traced to Agent 2/4/5 evidence."", ""severity"": ""medium"", ""type"": ""assumption_without_traceability""}]"
mlk_barrett_reduce.overflow.2,SUCCESS,integer_overflow,line 96 arithmetic overflow on signed + in magic * (signed int)a + ((int32_t)1 << 25),P6,integer_overflow,0.375,matched_candidate,2,"[{""message"": ""The assumption `(int32_t)r.coeffs[i] + (int32_t)b.coeffs[i] <= INT16_MAX` was not directly traced to Agent 2/4/5 evidence."", ""severity"": ""medium"", ""type"": ""assumption_without_traceability""}, {""message"": ""The assumption `(int32_t)r.coeffs[i] + (int32_t)b.coeffs[i] >= INT16_MIN` was not directly traced to Agent 2/4/5 evidence."", ""severity"": ""medium"", ""type"": ""assumption_without_traceability""}]"
mlk_barrett_reduce.overflow.3,SUCCESS,integer_overflow,line 102 arithmetic overflow on signed * in t * 3329,P6,integer_overflow,0.417,matched_candidate,0,[]
mlk_barrett_reduce.overflow.4,SUCCESS,integer_overflow,line 102 arithmetic overflow on signed - in (signed int)a - t * 3329,P6,integer_overflow,0.357,matched_candidate,2,"[{""message"": ""The assumption `(int32_t)r.coeffs[i] + (int32_t)b.coeffs[i] <= INT16_MAX` was not directly traced to Agent 2/4/5 evidence."", ""severity"": ""medium"", ""type"": ""assumption_without_traceability""}, {""message"": ""The assumption `(int32_t)r.coeffs[i] + (int32_t)b.coeffs[i] >= INT16_MIN` was not directly traced to Agent 2/4/5 evidence."", ""severity"": ""medium"", ""type"": ""assumption_without_traceability""}]"
mlk_fqmul.overflow.1,SUCCESS,integer_overflow,line 52 arithmetic overflow on signed * in (int32_t)a * (int32_t)b,P6,integer_overflow,0.462,matched_candidate,3,"[{""message"": ""The assumption `(int32_t)r.coeffs[i] + (int32_t)b.coeffs[i] <= INT16_MAX` was not directly traced to Agent 2/4/5 evidence."", ""severity"": ""medium"", ""type"": ""assumption_without_traceability""}, {""message"": ""The assumption `(int32_t)r.coeffs[i] + (int32_t)b.coeffs[i] >= INT16_MIN` was not directly traced to Agent 2/4/5 evidence."", ""severity"": ""medium"", ""type"": ""assumption_without_traceability""}, {""message"": ""The function has pointer inputs/outputs, but the harness/review material does not discuss aliasing."", ""severity"": ""low"", ""type"": ""aliasing_not_discussed""}]"
mlk_invntt_layer.undefined-shift.1,SUCCESS,undefined_shift,line 485 shift distance too large in (unsigned int)256 >> layer,P6,integer_overflow,0.267,matched_candidate,0,[]
mlk_invntt_layer.overflow.1,SUCCESS,integer_overflow,line 486 arithmetic overflow on unsigned - in (1u << layer) - (unsigned int)1,P6,integer_overflow,0.385,matched_candidate,0,[]
mlk_invntt_layer.undefined-shift.2,SUCCESS,undefined_shift,line 486 shift distance too large in 1u << layer,P6,integer_overflow,0.286,matched_candidate,2,"[{""message"": ""The assumption `(int32_t)r.coeffs[i] + (int32_t)b.coeffs[i] <= INT16_MAX` was not directly traced to Agent 2/4/5 evidence."", ""severity"": ""medium"", ""type"": ""assumption_without_traceability""}, {""message"": ""The assumption `(int32_t)r.coeffs[i] + (int32_t)b.coeffs[i] >= INT16_MIN` was not directly traced to Agent 2/4/5 evidence."", ""severity"": ""medium"", ""type"": ""assumption_without_traceability""}]"
mlk_invntt_layer.overflow.11,SUCCESS,integer_overflow,line 487 arithmetic overflow on unsigned * in (unsigned int)2 * len,P6,integer_overflow,0.462,matched_candidate,2,"[{""message"": ""The assumption `(int32_t)r.coeffs[i] + (int32_t)b.coeffs[i] <= INT16_MAX` was not directly traced to Agent 2/4/5 evidence."", ""severity"": ""medium"", ""type"": ""assumption_without_traceability""}, {""message"": ""The assumption `(int32_t)r.coeffs[i] + (int32_t)b.coeffs[i] >= INT16_MIN` was not directly traced to Agent 2/4/5 evidence."", ""severity"": ""medium"", ""type"": ""assumption_without_traceability""}]"
mlk_invntt_layer.overflow.12,SUCCESS,integer_overflow,line 487 arithmetic overflow on unsigned + in start + (unsigned int)2 * len,P6,integer_overflow,0.429,matched_candidate,2,"[{""message"": ""The assumption `(int32_t)r.coeffs[i] + (int32_t)b.coeffs[i] <= INT16_MAX` was not directly traced to Agent 2/4/5 evidence."", ""severity"": ""medium"", ""type"": ""assumption_without_traceability""}, {""message"": ""The assumption `(int32_t)r.coeffs[i] + (int32_t)b.coeffs[i] >= INT16_MIN` was not directly traced to Agent 2/4/5 evidence."", ""severity"": ""medium"", ""type"": ""assumption_without_traceability""}]"
