Family	ID	Property	Result
T1	P2	Centered result lies in [-1664,1664]	PASS
T1	P3	Result is congruent to input modulo 3329	PASS
T1	P4	Result equals independent centered-modulo oracle	PASS
T1	P5	Result is the unique closest int16 representative	PASS
T2	P6	Centered inputs are fixed points	PASS
T2	P7	Reduction is idempotent	PASS
T2	P8	Congruent int16 inputs have equal reduced results	PASS
T3	P9	Formula quotient equals oracle-derived quotient	PASS
T3	P10	Production result equals a minus 3329 times quotient	PASS
T3	P11	Quotient range is exactly within [-10,10]	PASS
T3	P12	Exact and unique quotient-cell membership	PASS
T3	P13	Exact clipped endpoint-cell characterization	PASS
T4	P14	Complete nonnegative numerator-safe multiplier domain	PASS
T4	P15	Multiplier 20159 is full-domain sufficient and production-bound	PASS
T4	P16	Every smaller safe multiplier is rejected	PASS
T4	P17	Every larger safe multiplier is rejected	PASS
T4	P18	Two adjacent witnesses uniquely identify multiplier 20159	PASS
T5	P19	Complete offset-domain numerator safety	PASS
T5	P20	Every offset in the admissible interval is full-domain correct	PASS
T5	P21	Every lower offset is rejected	PASS
T5	P22	Every upper offset is rejected	PASS
T5	P23	Two endpoint witnesses exactly characterize the interval	PASS
T5	P24	Production offset is full-domain sufficient and production-bound	PASS
