sha256	group_size	size	original_archive_path	retained_destination	justification
001af6a58e96327ecf42bacec9f0f2868637443831de53bff36253fbd5f18e0a	9	10915	mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/examples/basic/mlkem_native/src/native/x86_64/src/nttfrombytes_avx2_asm.S	upstream/mlkem-native/pkcheck-af4c5abd-source-snapshot/examples/basic/mlkem_native/src/native/x86_64/src/nttfrombytes_avx2_asm.S	Distinct source-tree path or run-local experimental context; removing the path would damage source or evidence structure.
001af6a58e96327ecf42bacec9f0f2868637443831de53bff36253fbd5f18e0a	9	10915	mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/examples/basic_deterministic/mlkem_native/src/native/x86_64/src/nttfrombytes_avx2_asm.S	upstream/mlkem-native/pkcheck-af4c5abd-source-snapshot/examples/basic_deterministic/mlkem_native/src/native/x86_64/src/nttfrombytes_avx2_asm.S	Distinct source-tree path or run-local experimental context; removing the path would damage source or evidence structure.
001af6a58e96327ecf42bacec9f0f2868637443831de53bff36253fbd5f18e0a	9	10915	mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/examples/bring_your_own_fips202_static/mlkem_native/src/native/x86_64/src/nttfrombytes_avx2_asm.S	upstream/mlkem-native/pkcheck-af4c5abd-source-snapshot/examples/bring_your_own_fips202_static/mlkem_native/src/native/x86_64/src/nttfrombytes_avx2_asm.S	Distinct source-tree path or run-local experimental context; removing the path would damage source or evidence structure.
001af6a58e96327ecf42bacec9f0f2868637443831de53bff36253fbd5f18e0a	9	10915	mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/examples/monolithic_build_multilevel/mlkem_native/src/native/x86_64/src/nttfrombytes_avx2_asm.S	upstream/mlkem-native/pkcheck-af4c5abd-source-snapshot/examples/monolithic_build_multilevel/mlkem_native/src/native/x86_64/src/nttfrombytes_avx2_asm.S	Distinct source-tree path or run-local experimental context; removing the path would damage source or evidence structure.
001af6a58e96327ecf42bacec9f0f2868637443831de53bff36253fbd5f18e0a	9	10915	mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/examples/monolithic_build_multilevel_native/mlkem_native/src/native/x86_64/src/nttfrombytes_avx2_asm.S	upstream/mlkem-native/pkcheck-af4c5abd-source-snapshot/examples/monolithic_build_multilevel_native/mlkem_native/src/native/x86_64/src/nttfrombytes_avx2_asm.S	Distinct source-tree path or run-local experimental context; removing the path would damage source or evidence structure.
001af6a58e96327ecf42bacec9f0f2868637443831de53bff36253fbd5f18e0a	9	10915	mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/examples/monolithic_build_native/mlkem_native/src/native/x86_64/src/nttfrombytes_avx2_asm.S	upstream/mlkem-native/pkcheck-af4c5abd-source-snapshot/examples/monolithic_build_native/mlkem_native/src/native/x86_64/src/nttfrombytes_avx2_asm.S	Distinct source-tree path or run-local experimental context; removing the path would damage source or evidence structure.
001af6a58e96327ecf42bacec9f0f2868637443831de53bff36253fbd5f18e0a	9	10915	mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/examples/multilevel_build/mlkem_native/src/native/x86_64/src/nttfrombytes_avx2_asm.S	upstream/mlkem-native/pkcheck-af4c5abd-source-snapshot/examples/multilevel_build/mlkem_native/src/native/x86_64/src/nttfrombytes_avx2_asm.S	Distinct source-tree path or run-local experimental context; removing the path would damage source or evidence structure.
001af6a58e96327ecf42bacec9f0f2868637443831de53bff36253fbd5f18e0a	9	10915	mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/examples/multilevel_build_native/mlkem_native/src/native/x86_64/src/nttfrombytes_avx2_asm.S	upstream/mlkem-native/pkcheck-af4c5abd-source-snapshot/examples/multilevel_build_native/mlkem_native/src/native/x86_64/src/nttfrombytes_avx2_asm.S	Distinct source-tree path or run-local experimental context; removing the path would damage source or evidence structure.
001af6a58e96327ecf42bacec9f0f2868637443831de53bff36253fbd5f18e0a	9	10915	mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/mlkem/src/native/x86_64/src/nttfrombytes_avx2_asm.S	upstream/mlkem-native/pkcheck-af4c5abd-source-snapshot/mlkem/src/native/x86_64/src/nttfrombytes_avx2_asm.S	Distinct source-tree path or run-local experimental context; removing the path would damage source or evidence structure.
01af3a79b639f0c1edfd4311bfe986d78112ede758a277b88d6707a8ac0203e1	9	11482	mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/examples/basic/mlkem_native/src/native/x86_64/src/nttunpack_avx2_asm.S	upstream/mlkem-native/pkcheck-af4c5abd-source-snapshot/examples/basic/mlkem_native/src/native/x86_64/src/nttunpack_avx2_asm.S	Distinct source-tree path or run-local experimental context; removing the path would damage source or evidence structure.
