producer_stage,output_key,declared_path,resolved_path,exists,declared_sha256,sha256,checksum_matches_manifest,checksum_declared,size_bytes
01_master_orchestrator,resolved_config,../../run_config.resolved.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_002_mlk_poly_add_open_discovery_repaired_20260714/run_config.resolved.json,True,66da329184ebd08cc0a4d2f34bce65537a7193f8e23b1ef88d8b0e7929c7ce4e,66da329184ebd08cc0a4d2f34bce65537a7193f8e23b1ef88d8b0e7929c7ce4e,True,True,13479
01_master_orchestrator,workflow_plan,../../workflow_plan.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_002_mlk_poly_add_open_discovery_repaired_20260714/workflow_plan.json,True,8107dc1fea1b4b9c4de8eb004ded2e23913645746d4615156c938a3d7aafc664,8107dc1fea1b4b9c4de8eb004ded2e23913645746d4615156c938a3d7aafc664,True,True,7523
01_master_orchestrator,run_manifest,../../run_manifest.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_002_mlk_poly_add_open_discovery_repaired_20260714/run_manifest.json,True,fd96214b9953cf643bcd01f1fc072e6741cab56d56c26cf4834bbbd8ced3e6be,fd96214b9953cf643bcd01f1fc072e6741cab56d56c26cf4834bbbd8ced3e6be,True,True,3716
01_master_orchestrator,repository_provenance,control/repository_provenance.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_002_mlk_poly_add_open_discovery_repaired_20260714/stages/01_master_orchestrator/control/repository_provenance.json,True,1a8a5d9fd11e0dbeeaf95144c430073d8b8fd88578c4b6f429697a906842bbd2,1a8a5d9fd11e0dbeeaf95144c430073d8b8fd88578c4b6f429697a906842bbd2,True,True,1105
02_spec_extraction,spec_summary,llm_authoritative/01_spec_summary.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_002_mlk_poly_add_open_discovery_repaired_20260714/stages/02_spec_extraction/llm_authoritative/01_spec_summary.json,True,7958b0c66921ed4c607289a626f9b1ee0864805002bb4383c64ee2cca74e70a8,7958b0c66921ed4c607289a626f9b1ee0864805002bb4383c64ee2cca74e70a8,True,True,37418
02_spec_extraction,spec_summary_validation,validation/llm_call_validation.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_002_mlk_poly_add_open_discovery_repaired_20260714/stages/02_spec_extraction/validation/llm_call_validation.json,True,64da93c07aae377d5d915d65fc9a1d76e3d20468930fc96d053e4ddf08470e49,64da93c07aae377d5d915d65fc9a1d76e3d20468930fc96d053e4ddf08470e49,True,True,2167
03_code_understanding,code_summary,llm_authoritative/02_code_summary.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_002_mlk_poly_add_open_discovery_repaired_20260714/stages/03_code_understanding/llm_authoritative/02_code_summary.json,True,f94cf4772182c1670f283b67a3200492691331c2f89bca62cfcc9a2d9c67d968,f94cf4772182c1670f283b67a3200492691331c2f89bca62cfcc9a2d9c67d968,True,True,36793
03_code_understanding,code_summary_validation,validation/llm_call_validation.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_002_mlk_poly_add_open_discovery_repaired_20260714/stages/03_code_understanding/validation/llm_call_validation.json,True,3337b014c6002e2ceea5436671d188a656e27ccf18e6b11348b6daab8ac6649c,3337b014c6002e2ceea5436671d188a656e27ccf18e6b11348b6daab8ac6649c,True,True,2180
04_property_discovery,candidate_properties,validation/05_open_discovery_classified_candidates.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_002_mlk_poly_add_open_discovery_repaired_20260714/stages/04_property_discovery/validation/05_open_discovery_classified_candidates.json,True,5acef740f61d164b0305bebee236915edde5f05ec6a15ba17609c04145164354,5acef740f61d164b0305bebee236915edde5f05ec6a15ba17609c04145164354,True,True,29739
04_property_discovery,selected_property,validation/06_open_discovery_selected_property.json,/home/girish/THESIS-2026/thesis-pipeline/runs/run_002_mlk_poly_add_open_discovery_repaired_20260714/stages/04_property_discovery/validation/06_open_discovery_selected_property.json,True,efc8de768a1dd4e1fce9fdd75715873726b06e8ef771deeb07bf433df5aa5477,efc8de768a1dd4e1fce9fdd75715873726b06e8ef771deeb07bf433df5aa5477,True,True,3678
