id,slug,title,default_strategy,allowed_strategies,targets,difficulty,thesis_value,support_level,claim_boundary
P01,array_bounds,Array bounds property,standard_cbmc_harness,standard_cbmc_harness;native_function_contract;hybrid_contract_and_harness,poly_add;poly_sub;poly_tobytes;poly_frombytes;polyvec_tobytes;polyvec_frombytes,easy,good,production_supported,"Local memory-access safety under the exact harness, source and options."
P02,barrett_reduction_bounds,Barrett reduction bounds,native_function_contract,standard_cbmc_harness;native_function_contract;hybrid_contract_and_harness,barrett_reduce,easy_medium,very_good,production_supported,Implementation-specific output bounds for stated input bounds; not abstract modular correctness.
P03,compression_output_range,Compression output range and write extent,hybrid_contract_and_harness,standard_cbmc_harness;native_function_contract;hybrid_contract_and_harness,poly_compress;polyvec_compress,medium,high,production_supported,Byte/range/write-footprint properties for configured parameter set only.
P04,decompression_coefficient_range,Decompression coefficient range,native_function_contract,standard_cbmc_harness;native_function_contract;hybrid_contract_and_harness,poly_decompress;polyvec_decompress,medium,high,production_supported,"Implementation-representation bounds, not perfect inverse or cryptographic correctness."
P05,encoding_length,Encoding length and frame property,hybrid_contract_and_harness,standard_cbmc_harness;native_function_contract;hybrid_contract_and_harness,poly_tobytes;polyvec_tobytes;pack_pk;pack_sk;pack_ciphertext,easy,good,production_supported,Writes remain inside the configured official-length buffer; exact-write claims require frame evidence.
P06,serialization_round_trip,FromBytes/ToBytes round-trip,relational_cbmc_harness,relational_cbmc_harness;hybrid_contract_and_harness,poly_tobytes;poly_frombytes,medium_hard,very_high,production_supported_scoped,Scoped relational equivalence under explicit normalization assumptions.
P07,global_api_buffer_safety,Global API buffer safety,native_function_contract,standard_cbmc_harness;native_function_contract;hybrid_contract_and_harness,crypto_kem_keypair;crypto_kem_enc;crypto_kem_dec,hard,high,stretch_supported,Memory safety for selected API path and configured stubs; not whole implementation correctness.
P08,hash_xof_buffer_safety,Hash/XOF buffer safety,standard_cbmc_harness,standard_cbmc_harness;native_function_contract;hybrid_contract_and_harness,shake128;shake256;sha3_256;sha3_512,medium,medium,production_supported,Memory safety and declared buffer extents only.
P09,integer_overflow_absence,Integer overflow absence,standard_cbmc_harness,standard_cbmc_harness;native_function_contract;hybrid_contract_and_harness,montgomery_reduce;barrett_reduce;fqmul;poly_add;poly_sub;poly_reduce,easy_medium,very_good,production_supported,C integer overflow checks under recorded ranges and compiler model.
P10,packing_consistency,Join/split packing consistency,relational_cbmc_harness,relational_cbmc_harness;hybrid_contract_and_harness,pack_pk;unpack_pk;pack_sk;unpack_sk;pack_ciphertext;unpack_ciphertext,hard,very_high,production_supported_scoped,One selected pack/unpack relation under stated canonicality assumptions.
P11,keypair_output_size,Keypair output size/frame,native_function_contract,standard_cbmc_harness;native_function_contract;hybrid_contract_and_harness,crypto_kem_keypair,medium_hard,good,stretch_supported,"Write-footprint and buffer safety, not key-generation security or distribution."
P12,loop_invariant_generation,Loop invariant generation,native_loop_contract,native_loop_contract;hybrid_contract_and_harness;standard_cbmc_harness,poly_add;poly_sub;poly_reduce;poly_tobytes,medium,excellent,production_supported,Candidate invariant initiation/preservation/use under exact transformed program; no guarantee of automatic discovery success.
P13,montgomery_reduction_bounds,Montgomery reduction bounds,native_function_contract,standard_cbmc_harness;native_function_contract;hybrid_contract_and_harness,montgomery_reduce,medium,very_high,production_supported,Implementation-specific Montgomery-domain bounds and overflow conditions.
P14,ntt_bounds,NTT input/output bounds,native_function_contract,standard_cbmc_harness;native_function_contract;hybrid_contract_and_harness,poly_ntt;poly_invntt_tomont;ntt;invntt,hard,very_high,stretch_supported,C-level coefficient bounds only; not full NTT mathematical correctness or assembly proof.
P15,non_aliasing,Output-buffer separation/non-aliasing,native_function_contract,standard_cbmc_harness;native_function_contract;hybrid_contract_and_harness,poly_tobytes;poly_frombytes;pack_pk;unpack_pk;crypto_kem_enc;crypto_kem_dec,medium,high,production_supported,Explicit aliasing preconditions and their effect; over-constraint must be reviewed.
P16,polynomial_add_sub_bounds,Polynomial addition/subtraction bounds,hybrid_contract_and_harness,standard_cbmc_harness;native_function_contract;native_loop_contract;hybrid_contract_and_harness,poly_add;poly_sub;poly_reduce,easy_medium,high,production_supported,Local coefficient bounds for the exact representation and input assumptions.
P17,q_modulus_range,q-modulus-related range,native_function_contract,standard_cbmc_harness;native_function_contract;hybrid_contract_and_harness,barrett_reduce;poly_reduce;poly_decompress;poly_frommsg;poly_tomsg,medium,high,production_supported,Code-derived q-related representation range; exact interval must not be guessed.
P18,rejection_sampling_safety,Rejection sampling safety,native_loop_contract,standard_cbmc_harness;native_loop_contract;hybrid_contract_and_harness,rej_uniform;poly_uniform;poly_getnoise_eta1;poly_getnoise_eta2,hard,high,stretch_supported,Buffer/termination obligations under bounded input/model assumptions; not probabilistic distribution correctness.
P19,secret_independent_control_access,Secret-independent branch/access analysis support,analysis_only_no_formal_claim,analysis_only_no_formal_claim,selected_C_functions,hard,high,analysis_only,AI-assisted classification and external-test support only; no CBMC constant-time proof claim.
P20,decapsulation_memory_safety,Top-level decapsulation memory safety,native_function_contract,standard_cbmc_harness;native_function_contract;hybrid_contract_and_harness,crypto_kem_dec,hard,high,stretch_supported,Selected-path memory safety under official sizes and configured environment.
P21,unpack_validation,Unpack validation,hybrid_contract_and_harness,standard_cbmc_harness;native_function_contract;hybrid_contract_and_harness,unpack_pk;unpack_sk;unpack_ciphertext,medium,high,production_supported,Input-read bounds and output-field ranges for selected format.
P22,vector_operation_bounds,Vector operation bounds,hybrid_contract_and_harness,standard_cbmc_harness;native_function_contract;native_loop_contract;hybrid_contract_and_harness,polyvec_add;polyvec_reduce;polyvec_ntt;polyvec_invntt_tomont,medium_hard,high,production_supported_scoped,Selected vector operation bounds; NTT variants remain stretch scope.
P23,zeroization,Wipe/zeroization,native_function_contract,standard_cbmc_harness;native_function_contract;hybrid_contract_and_harness,selected_cleanup_or_wipe,medium_hard,very_high,production_supported_scoped,Post-call memory bytes in the model; compiler-elimination and physical erasure require separate evidence.
P24,xof_deterministic_expansion,XOF deterministic expansion,relational_cbmc_harness,relational_cbmc_harness;analysis_only_no_formal_claim,shake128_absorb;shake128_squeezeblocks;shake256,hard,medium,test_or_relational_supported,Same modeled input/state yields same modeled output; not cryptographic security or deep Keccak correctness.
P25,api_return_code,Expected API return-code range,native_function_contract,standard_cbmc_harness;native_function_contract;hybrid_contract_and_harness,crypto_kem_keypair;crypto_kem_enc;crypto_kem_dec,easy_medium,medium,production_supported,Return-value set on modeled paths only.
P26,valid_pointer_size_preconditions,Zero-length/invalid-size exclusion and pointer preconditions,native_function_contract,native_function_contract;hybrid_contract_and_harness;standard_cbmc_harness,selected_function,easy,excellent,production_supported,Inferred candidate preconditions must be justified; assumptions are not proved by assuming them.
