omitted_original_path	canonical_original_path	retained_destination	size_bytes	sha256	mirror_identity
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/03_HARNESS_FREEZE/frozen_harness_family_v1/SUB_T6_B6_3_ARTIFACT_MANIFEST.sha256	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/SUB_T6_B6_3_ARTIFACT_MANIFEST.sha256	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/SUB_T6_B6_3_ARTIFACT_MANIFEST.sha256	1396	d303f1415f07a9e394f0899d1078fd9bd5c625bfb773eaeb5b8935148dae7c1f	"[""t6-authoritative-tree"", ""03_HARNESS_FREEZE/frozen_harness_family_v1/SUB_T6_B6_3_ARTIFACT_MANIFEST.sha256""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/03_HARNESS_FREEZE/frozen_harness_family_v1/SUB_T6_B6_3_BUILD_PLAN.md	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/SUB_T6_B6_3_BUILD_PLAN.md	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/SUB_T6_B6_3_BUILD_PLAN.md	496	9e9cd1e8faf6ec3e2c05b70087b5beda7bd31acfc910fc7850b5163ecb3793da	"[""t6-authoritative-tree"", ""03_HARNESS_FREEZE/frozen_harness_family_v1/SUB_T6_B6_3_BUILD_PLAN.md""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/03_HARNESS_FREEZE/frozen_harness_family_v1/SUB_T6_B6_3_HARNESS_FAMILY_FREEZE.md	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/SUB_T6_B6_3_HARNESS_FAMILY_FREEZE.md	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/SUB_T6_B6_3_HARNESS_FAMILY_FREEZE.md	1330	55fccc70d70eec5798088899d879179e0746f86b3590e15e9df28cd9c8724c2c	"[""t6-authoritative-tree"", ""03_HARNESS_FREEZE/frozen_harness_family_v1/SUB_T6_B6_3_HARNESS_FAMILY_FREEZE.md""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/03_HARNESS_FREEZE/frozen_harness_family_v1/SUB_T6_B6_3_SUPPORT_PROVENANCE.txt	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/SUB_T6_B6_3_SUPPORT_PROVENANCE.txt	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/SUB_T6_B6_3_SUPPORT_PROVENANCE.txt	554	12af6db72a6ed3ff3871c328dacafa2f4be4520c86c022eb2e422757a8663aa2	"[""t6-authoritative-tree"", ""03_HARNESS_FREEZE/frozen_harness_family_v1/SUB_T6_B6_3_SUPPORT_PROVENANCE.txt""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/03_HARNESS_FREEZE/frozen_harness_family_v1/harnesses/sub_t6_callsite_exactness_harness.c	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/harnesses/sub_t6_callsite_exactness_harness.c	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/harnesses/sub_t6_callsite_exactness_harness.c	638	5f7b2d5e3d422b723e047025da9586df8ca1788be054096eab40f2a382176222	"[""t6-authoritative-tree"", ""03_HARNESS_FREEZE/frozen_harness_family_v1/harnesses/sub_t6_callsite_exactness_harness.c""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/03_HARNESS_FREEZE/frozen_harness_family_v1/harnesses/sub_t6_callsite_frame_harness.c	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/harnesses/sub_t6_callsite_frame_harness.c	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/harnesses/sub_t6_callsite_frame_harness.c	1271	43c810f384ad93269e03d2f950c4b26a17e0df9a8fc9547d81cdba5c4534fd21	"[""t6-authoritative-tree"", ""03_HARNESS_FREEZE/frozen_harness_family_v1/harnesses/sub_t6_callsite_frame_harness.c""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/03_HARNESS_FREEZE/frozen_harness_family_v1/harnesses/sub_t6_callsite_precondition_harness.c	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/harnesses/sub_t6_callsite_precondition_harness.c	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/harnesses/sub_t6_callsite_precondition_harness.c	1336	cbf53757ca9b341d89d096b24fd9be65df85d09237c82eae68e23db6c894c640	"[""t6-authoritative-tree"", ""03_HARNESS_FREEZE/frozen_harness_family_v1/harnesses/sub_t6_callsite_precondition_harness.c""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/03_HARNESS_FREEZE/frozen_harness_family_v1/harnesses/sub_t6_sub_reduce_handoff_harness.c	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/harnesses/sub_t6_sub_reduce_handoff_harness.c	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/harnesses/sub_t6_sub_reduce_handoff_harness.c	1004	6528f9fb3ef3c105138d04bc3a48b4a9bca5686d7f6e7e6a764daafb047b50f8	"[""t6-authoritative-tree"", ""03_HARNESS_FREEZE/frozen_harness_family_v1/harnesses/sub_t6_sub_reduce_handoff_harness.c""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/03_HARNESS_FREEZE/frozen_harness_family_v1/harnesses/sub_t6_tomsg_precondition_harness.c	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/harnesses/sub_t6_tomsg_precondition_harness.c	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/harnesses/sub_t6_tomsg_precondition_harness.c	1304	53e2df8b966595a2374ab5c604b4144944304faefcbfbf96c2ede2435779484b	"[""t6-authoritative-tree"", ""03_HARNESS_FREEZE/frozen_harness_family_v1/harnesses/sub_t6_tomsg_precondition_harness.c""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/03_HARNESS_FREEZE/frozen_harness_family_v1/scripts/validate_frozen_family.sh	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/scripts/validate_frozen_family.sh	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/scripts/validate_frozen_family.sh	2385	0041007c7510ebc34fdd60a67167c22ddd461c73c573189ebe8316a9670bf518	"[""t6-authoritative-tree"", ""03_HARNESS_FREEZE/frozen_harness_family_v1/scripts/validate_frozen_family.sh""]"
