claim	status	evidence
Exact canonical threshold bit for real production	PROVED_WITHIN_SCOPE	MSG-T1 positive theorem
All 256 coefficients map to corresponding message bits	PROVED_WITHIN_SCOPE	MSG-T1 positive theorem
LSB-first packing into 32 bytes	PROVED_WITHIN_SCOPE	MSG-T1 positive theorem
Threshold and index regions reachable	SUPPORTED_BY_REACHABILITY	MSG-T1 12/12 covers
Production loops sensitive to insufficient bounds	SUPPORTED_BY_EXPECTED_FAILURE	T1 four loop controls
Registered T1 semantic defects detected	PROVED_FOR_REGISTERED_MUTANTS	T1 8/8 mutants
Relational XOR law	PROVED_WITHIN_SCOPE	MSG-T2 R1
Coefficient locality	PROVED_WITHIN_SCOPE	MSG-T2 R2A
Cross-bit preservation and byte confinement	PROVED_WITHIN_SCOPE	MSG-T2 R2B
Same-decision invariance	PROVED_WITHIN_SCOPE	MSG-T2 R3A
Input-frame preservation	PROVED_WITHIN_SCOPE	MSG-T2 R3B
Equal complete inputs produce equal complete messages	PROVED_WITHIN_SCOPE	MSG-T2 R3B
T2 relational regions reachable	SUPPORTED_BY_REACHABILITY	T2 43/43 covers
Registered T2 antecedent/corruption defects detected	PROVED_FOR_REGISTERED_MUTANTS	T2 5/5 mutants
T5 model equals real helper at production offset	PROVED_WITHIN_SCOPE	MSG05C
T5 model equals real tomsg selected bit at production offset	PROVED_WITHIN_SCOPE	MSG05C
Every inside offset is sufficient	PROVED_WITHIN_SCOPE	MSG05D
Every outside uint32 offset has a canonical counterexample	PROVED_WITHIN_SCOPE	MSG05E
Exact interval is [1073417800,1074063871]	PROVED_WITHIN_SCOPE	MSG05D plus MSG05E
Production offset 2^30 is an interior member	PROVED_WITHIN_SCOPE	MSG05B/MSG05C/MSG05D
Outside partitions reachable	SUPPORTED_BY_REACHABILITY	MSG05F 10/10 covers
Both interval endpoints one-step tight	PROVED_FOR_ADJACENT_MUTATIONS	MSG05F 2/2 mutations
Every conceivable property of mlk_poly_tomsg	NOT_PROVED	Outside registered theorem scope
Noncanonical behavior	NOT_PROVED	Outside assumptions
All ML-KEM parameter sets	NOT_PROVED	Only ML-KEM-768 executed
Assembly and object-code equivalence	NOT_PROVED	Portable-C model only
Constant-time and side-channel security	NOT_PROVED	No timing/leakage model
All of ML-KEM correctness/security	NOT_PROVED	Function-specific case study
Absolute first-ever novelty	NOT_CLAIMED	Public search cannot prove universal nonexistence
