case_id,target,source_revision,pre_existing_mlkem_native_baseline,generated_candidate_or_suite,necessary_overlap,substantive_distinction,comparison_material_inspected,distinctness_code,claim_limit,evidence_locator_id
1,mlk_poly_add,d9613cf60de3132d32475c102d8c2781d84feb34,"Native `poly_add` production source, contract/annotations and repository CBMC harness; contract overlaps exact addition/range/non-aliasing obligations.","External PA suite covering exact/modular/frame/algebraic, negative-domain, alias diagnostic, caller, parameter, mutation, vacuity and provenance work.","Function names, q/N constants, production call and source contract facts.","Independent property-focused harness family and additional relational, negative, caller and control obligations; original target-specific harness withheld during discovery and inspected only after freeze.","`proofs/cbmc/poly_add/`, production `poly.c`/`poly.h`, PA-09 post-freeze audit.",SUPPORTED_WITHIN_INSPECTED_CORPUS,Does not establish global novelty or first-ever proof.,LOC-C01-UA
2,mlk_poly_sub,d9613cf60de3132d32475c102d8c2781d84feb34,Native `poly_sub` source contract and repository CBMC harness primarily encode direct subtraction pre/post and safety boundary.,"Independent-oracle sub→reduce refinement, normalization compatibility, cancellation, boundary, locality, determinism and production-slice T6 properties.","Target identifiers, constants, required calls and contract-domain facts.","Multi-execution/compositional relations, independent oracle, negative boundaries, call-site slice and dedicated non-vacuity/mutation controls are not the native one-call harness.","`proofs/cbmc/poly_sub/`, production source/contracts, clean-room post-freeze audit.",SUPPORTED_WITHIN_INSPECTED_CORPUS,Does not establish global novelty or first-ever proof.,LOC-C02-UA
3,mlk_poly_sub -> mlk_poly_reduce (VC-SR1),d9613cf60de3132d32475c102d8c2781d84feb34,Native separate `poly_sub` and `poly_reduce` artefacts/contracts.,Direct sequential composition against independent canonical oracle with admissibility/oracle controls and implementation/assertion mutants.,Use of the same two production functions and q.,Explicit compatibility of intermediate representations and two-function sequence is the verification object.,Native `poly_sub`/`poly_reduce` proof directories and VC-SR1 post-freeze comparison.,SUPPORTED_WITHIN_INSPECTED_CORPUS,Does not establish global novelty or first-ever proof.,LOC-C03-UA
4,mlk_poly_tomsg,af4c5abdd5958bdc65a03cd5ee86708264f93304,Native `poly_tomsg` one-call contract/harness and helper implementation.,"Exact every-bit decision and packing, relational locality/XOR, and exact arithmetic-offset interval characterization.","Target call, coefficient count, byte count and compression helper constants.",The generated suite states full semantic/relational and parameter-characterization claims not exposed by the native boilerplate call harness.,"`proofs/cbmc/poly_tomsg/`, production helper/contracts, MSG novelty audit.",SUPPORTED_WITHIN_INSPECTED_CORPUS,Does not establish global novelty or first-ever proof.,LOC-C04-UA
5,mlk_poly_frommsg,af4c5abdd5958bdc65a03cd5ee86708264f93304,Native `poly_frommsg` source contract/loop annotations and call harness.,"Exact codebook embedding, one-bit relations, message-originating round trip, support/weight/distance laws.","Target call, 0/1665 codebook and fixed message/polynomial sizes.","The generated suite adds exact full-output, relational, composition and metric claims.","`proofs/cbmc/poly_frommsg/`, production source/contracts, FROMMSG audit.",SUPPORTED_WITHIN_INSPECTED_CORPUS,Does not establish global novelty or first-ever proof.,LOC-C05-UA
6,mlk_poly_compress_d4_c and mlk_poly_decompress_d4_c,af4c5abdd5958bdc65a03cd5ee86708264f93304,Native D4 proof directories/contracts and wider repository/backend assurance.,"Four-family exact compressor/decompressor refinement, exact byte-domain retraction and canonical-domain projection with sharp error 104.","Production calls, q/d=4 constants and byte layout.",Independent full-output specifications and the combined retraction/projection/fixed-point/idempotence/locality evidence architecture are distinct from native call/safety harnesses.,"Native D4 CBMC directories, source/contracts, backend documentation and campaign audit.",SUPPORTED_WITHIN_INSPECTED_CORPUS,Does not establish global novelty or first-ever proof.,LOC-C06-UA
7,mlk_scalar_signed_to_unsigned_q,af4c5abdd5958bdc65a03cd5ee86708264f93304,"A dedicated eponymous `proofs/cbmc/scalar_signed_to_unsigned_q/` one-call harness exists in the frozen repository, together with the production helper and its exact source contract/semantics.",Exact fibre/normalizer/algebra laws and actual-body Barrett-to-canonical composition.,q and production conversion/reduction bodies.,"The generated suite does not depend on absence of a native harness. It adds seventeen explicit fibre, fixed-point, algebraic and actual-body Barrett-composition properties, separate coverage goals and mutation controls beyond the native one-call contract-oriented harness.",Archive-verified frozen proof census; `proofs/cbmc/scalar_signed_to_unsigned_q/scalar_signed_to_unsigned_q_harness.c`; production `mlkem/src/poly.c`; CANON campaign records. A contrary summary statement claiming no eponymous directory is superseded by the frozen-source census.,SUPPORTED_WITHIN_INSPECTED_CORPUS,Does not establish global novelty or first-ever proof.,LOC-C07-UA
8,mlk_barrett_reduce,af4c5abdd5958bdc65a03cd5ee86708264f93304,Native Barrett harness is essentially a symbolic call relying on the repository contract/range boundary.,"Independent centered oracle plus 23 range, congruence, fibre, quotient-cell, multiplier and offset properties.","Same production function, q and fixed arithmetic constants.",Independent oracle and parameter-characterization suites materially exceed the native one-call harness while remaining repository-relative.,"`proofs/cbmc/barrett_reduce/`, production source/contracts, BR audit.",SUPPORTED_WITHIN_INSPECTED_CORPUS,Does not establish global novelty or first-ever proof.,LOC-C08-UA
9,mlk_zeroize,af4c5abdd5958bdc65a03cd5ee86708264f93304,"The production `mlk_zeroize` implementation and its assigns/non-alias contract are present in `mlkem/src/verify.h`, and `MLK_FREE` integration is present in `mlkem/src/common.h`; no dedicated eponymous `proofs/cbmc/zeroize/` directory exists in the frozen proof tree.","Exact effect/frame, zero-length, relational partition/commutativity/idempotence and release-handoff properties.","Same target, pointer/size requirements and zero value.","The generated suite supplies a dedicated functional and relational zeroisation campaign—exact selected-region erasure, frame confinement, zero-length identity, composition and release handoff—where the frozen native proof tree has no dedicated zeroize harness.",Archive-verified frozen proof census; production `mlkem/src/verify.h` and `mlkem/src/common.h`; ZERO campaign audit.,SUPPORTED_WITHIN_INSPECTED_CORPUS,Does not establish global novelty or first-ever proof.,LOC-C09-UA
10,mlk_poly_tobytes,af4c5abdd5958bdc65a03cd5ee86708264f93304,Native tobytes contract establishes canonical preconditions/assigns/safety but not the full exact byte postcondition suite.,"Nineteen exact layout, carry-boundary, image and injectivity obligations.","Same wrapper, dimensions and 12-bit format.",Independent byte-level oracle and image/injectivity claims are distinct from native contract-only evidence.,Native tobytes proof directory/source contract and PBYTES audit.,SUPPORTED_WITHIN_INSPECTED_CORPUS,Does not establish global novelty or first-ever proof.,LOC-C10-UA
11,mlk_poly_frombytes,af4c5abdd5958bdc65a03cd5ee86708264f93304,Native frombytes contract/range/safety artefacts.,"Eleven exact raw-unpacking, bit-routing, locality, XOR/injectivity and raw-domain inversion properties.",Same 3-byte/2-coefficient routing and production call.,"The generated suite precisely characterizes raw 12-bit semantics and relational routing, while refusing an unimplemented canonicalization claim.",Native frombytes proof directory/source contract and PFB audit.,SUPPORTED_WITHIN_INSPECTED_CORPUS,Does not establish global novelty or first-ever proof.,LOC-C11-UA
12,mlk_poly_tobytes <-> mlk_poly_frombytes (PBCODEC-CV1),af4c5abdd5958bdc65a03cd5ee86708264f93304,Native serializer and deserializer are verified separately; no equivalent direct two-wrapper semantic composition was identified in the inspected tree.,Direct canonical-polynomial and canonical-image byte composition obligations with bridge controls.,Same two production wrappers and representation format.,Compatibility of the two real functions and domains is checked as a separate cross-function relation.,Native tobytes/frombytes proof directories and PBCODEC post-freeze audit.,SUPPORTED_WITHIN_INSPECTED_CORPUS,Does not establish global novelty or first-ever proof.,LOC-C12-UA
13,mlk_kem_check_pk,af4c5abdd5958bdc65a03cd5ee86708264f93304,"Native short check_pk harness and contracts, with lower-level replacement structure.","Actual-body/contract/stub-backed functional, frame, footprint and caller-guard investigations, retaining one abstraction-limited relation.","Same checker, encoded key format and lower contracts where declared.","The generated suite separates local return semantics, memory footprint and caller integration and exposes the abstraction limit.",Native check_pk harness/contracts and PKCHECK campaign audit.,SUPPORTED_WITHIN_INSPECTED_CORPUS,Does not establish global novelty or first-ever proof.,LOC-C13-UA
14,mlk_montgomery_reduce; candidate mlk_fqmul and mlk_poly_tomont_c families,af4c5abdd5958bdc65a03cd5ee86708264f93304,"Native `montgomery_reduce`, `fqmul` and `poly_tomont_c` harnesses/contracts; optimized assembly has separate proof-oriented assurance.",T1 independent exact oracle/decomposition/sharp-image suite; T2–T4 stronger relational/multiplication/polynomial candidate designs.,"Same production functions, Montgomery constants and contract domain.",T1 adds independent functional/refinement and sharp-image obligations; T2–T4 are distinct candidate designs but remain unresolved.,"Native proof directories, production contracts, HOL Light/backend documentation and corrected MONT audit.",SUPPORTED_FOR_T1; CANDIDATE_LEVEL_ONLY_FOR_T2_T4,Does not establish global novelty or first-ever proof.,LOC-C14-UA
SA-ADD,mlk_poly_add,d9613cf60de3132d32475c102d8c2781d84feb34,Same native addition baseline as Case 1.,Translation/equality and disjoint-support multi-execution relations.,Same function/constants/call.,Different relational candidate focus from both native harness and unassisted suite.,Skilled distinctness JSON and native audit.,SUPPORTED_WITHIN_INSPECTED_CORPUS,No causal attribution to any individual skill.,LOC-SA-ADD
SA-SUB,mlk_poly_sub,d9613cf60de3132d32475c102d8c2781d84feb34,Same native subtraction baseline as Case 2.,Common-minuend reversal and sequential subtrahend aggregation.,Same function/constants/call.,Different multi-call relations from native and unassisted families.,Skilled distinctness JSON and native audit.,SUPPORTED_WITHIN_INSPECTED_CORPUS,No causal attribution to any individual skill.,LOC-SA-SUB
SA-BR,mlk_barrett_reduce,af4c5abdd5958bdc65a03cd5ee86708264f93304,Same native Barrett baseline as Case 8.,Sign conjugacy/quotient reversal and centered-addition closure.,Same function/q/centered semantics.,"Relational properties are not the native range-only harness, although the unassisted campaign is deeper overall.",Skilled repository-distinctness JSON and native audit.,SUPPORTED_WITHIN_INSPECTED_CORPUS,Incremental benefit and skill causation remain inconclusive.,LOC-SA-BR
SA-ZERO,mlk_zeroize,af4c5abdd5958bdc65a03cd5ee86708264f93304,"Same corrected native baseline as Case 9: production zeroize source/contracts exist, but no dedicated eponymous native `proofs/cbmc/zeroize/` directory exists.",Secret-history convergence and recontamination recovery.,Same target and memory model.,Additional relational/compositional memory histories.,Skilled repository-distinctness JSON and native audit.,SUPPORTED_WITHIN_INSPECTED_CORPUS,No causal attribution to any individual skill.,LOC-SA-ZERO
