case_id,target_or_property_class,relevant_source_or_project,relationship_type,assurance_layer,similarity_or_overlap,important_difference,exact_target_property_match_status,permitted_conclusion,global_novelty_claim_permitted,review_scope,authoritative_thesis_home,thesis_reference_key,evidence_locator_id
1,mlk_poly_add,NIST FIPS 203 (2024a),NORMATIVE_GROUNDING,Normative algorithm/mathematical and encoding requirements,"Grounds ML-KEM operations, domains and data formats relevant to the case.",FIPS 203 is not a proof that this C implementation or generated harness is correct.,NOT_APPLICABLE_STANDARD_IS_NOT_IMPLEMENTATION_PROOF,"The case is specification-grounded where applicable; implementation support comes from the recorded source-bound CBMC evidence, not from the standard alone.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,NIST FIPS 203 (2024a),LOC-C01-UA
2,mlk_poly_sub,NIST FIPS 203 (2024a),NORMATIVE_GROUNDING,Normative algorithm/mathematical and encoding requirements,"Grounds ML-KEM operations, domains and data formats relevant to the case.",FIPS 203 is not a proof that this C implementation or generated harness is correct.,NOT_APPLICABLE_STANDARD_IS_NOT_IMPLEMENTATION_PROOF,"The case is specification-grounded where applicable; implementation support comes from the recorded source-bound CBMC evidence, not from the standard alone.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,NIST FIPS 203 (2024a),LOC-C02-UA
3,mlk_poly_sub -> mlk_poly_reduce (VC-SR1),NIST FIPS 203 (2024a),NORMATIVE_GROUNDING,Normative algorithm/mathematical and encoding requirements,"Grounds ML-KEM operations, domains and data formats relevant to the case.",FIPS 203 is not a proof that this C implementation or generated harness is correct.,NOT_APPLICABLE_STANDARD_IS_NOT_IMPLEMENTATION_PROOF,"The case is specification-grounded where applicable; implementation support comes from the recorded source-bound CBMC evidence, not from the standard alone.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,NIST FIPS 203 (2024a),LOC-C03-UA
4,mlk_poly_tomsg,NIST FIPS 203 (2024a),NORMATIVE_GROUNDING,Normative algorithm/mathematical and encoding requirements,"Grounds ML-KEM operations, domains and data formats relevant to the case.",FIPS 203 is not a proof that this C implementation or generated harness is correct.,NOT_APPLICABLE_STANDARD_IS_NOT_IMPLEMENTATION_PROOF,"The case is specification-grounded where applicable; implementation support comes from the recorded source-bound CBMC evidence, not from the standard alone.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,NIST FIPS 203 (2024a),LOC-C04-UA
5,mlk_poly_frommsg,NIST FIPS 203 (2024a),NORMATIVE_GROUNDING,Normative algorithm/mathematical and encoding requirements,"Grounds ML-KEM operations, domains and data formats relevant to the case.",FIPS 203 is not a proof that this C implementation or generated harness is correct.,NOT_APPLICABLE_STANDARD_IS_NOT_IMPLEMENTATION_PROOF,"The case is specification-grounded where applicable; implementation support comes from the recorded source-bound CBMC evidence, not from the standard alone.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,NIST FIPS 203 (2024a),LOC-C05-UA
6,mlk_poly_compress_d4_c and mlk_poly_decompress_d4_c,NIST FIPS 203 (2024a),NORMATIVE_GROUNDING,Normative algorithm/mathematical and encoding requirements,"Grounds ML-KEM operations, domains and data formats relevant to the case.",FIPS 203 is not a proof that this C implementation or generated harness is correct.,NOT_APPLICABLE_STANDARD_IS_NOT_IMPLEMENTATION_PROOF,"The case is specification-grounded where applicable; implementation support comes from the recorded source-bound CBMC evidence, not from the standard alone.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,NIST FIPS 203 (2024a),LOC-C06-UA
7,mlk_scalar_signed_to_unsigned_q,NIST FIPS 203 (2024a),NORMATIVE_GROUNDING,Normative algorithm/mathematical and encoding requirements,"Grounds ML-KEM operations, domains and data formats relevant to the case.",FIPS 203 is not a proof that this C implementation or generated harness is correct.,NOT_APPLICABLE_STANDARD_IS_NOT_IMPLEMENTATION_PROOF,"The case is specification-grounded where applicable; implementation support comes from the recorded source-bound CBMC evidence, not from the standard alone.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,NIST FIPS 203 (2024a),LOC-C07-UA
8,mlk_barrett_reduce,NIST FIPS 203 (2024a),NORMATIVE_GROUNDING,Normative algorithm/mathematical and encoding requirements,"Grounds ML-KEM operations, domains and data formats relevant to the case.",FIPS 203 is not a proof that this C implementation or generated harness is correct.,NOT_APPLICABLE_STANDARD_IS_NOT_IMPLEMENTATION_PROOF,"The case is specification-grounded where applicable; implementation support comes from the recorded source-bound CBMC evidence, not from the standard alone.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,NIST FIPS 203 (2024a),LOC-C08-UA
9,mlk_zeroize,NIST FIPS 203 (2024a),NORMATIVE_GROUNDING,Normative algorithm/mathematical and encoding requirements,"Grounds ML-KEM operations, domains and data formats relevant to the case.",FIPS 203 is not a proof that this C implementation or generated harness is correct.,NOT_APPLICABLE_STANDARD_IS_NOT_IMPLEMENTATION_PROOF,"The case is specification-grounded where applicable; implementation support comes from the recorded source-bound CBMC evidence, not from the standard alone.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,NIST FIPS 203 (2024a),LOC-C09-UA
10,mlk_poly_tobytes,NIST FIPS 203 (2024a),NORMATIVE_GROUNDING,Normative algorithm/mathematical and encoding requirements,"Grounds ML-KEM operations, domains and data formats relevant to the case.",FIPS 203 is not a proof that this C implementation or generated harness is correct.,NOT_APPLICABLE_STANDARD_IS_NOT_IMPLEMENTATION_PROOF,"The case is specification-grounded where applicable; implementation support comes from the recorded source-bound CBMC evidence, not from the standard alone.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,NIST FIPS 203 (2024a),LOC-C10-UA
