stage_key,agent,stage_type,stage_dir_exists,manifest_path,manifest_exists,manifest_sha256,manifest_error,manifest_stage,manifest_success,notes
01_master_orchestrator,Master Orchestrator,deterministic_control,True,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/01_master_orchestrator/stage_manifest.json,True,95368ab6882a1bda1850401f21e0a64b13d6a2246edfaf52fb1d1307a962c84b,,,,"{'purpose': 'Current deterministic control-plane records.', 'refresh_reason': 'before_experiment_logger', 'mutable_control_files_refreshed_deliberately': True, 'root_level_stage_outputs_allowed': False}"
02_spec_extraction,Specification Extraction,llm_backed,True,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/02_spec_extraction/stage_manifest.json,True,bf1737d4891a9af7bd26552d3b20635d9d72488a9ad4077db8e00850d83f65e3,,,,"{'agent_version': 'agent2_spec_extraction_refactored.v1', 'deterministic_reference_policy': 'advisory_only_not_authoritative', 'root_level_outputs_written': False, 'duplicate_outputs_written': False}"
03_code_understanding,Code Understanding,llm_backed,True,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/03_code_understanding/stage_manifest.json,True,6166cc57e441ee004e7aefbe0b8c19b4db7951a391e96df977f1939a812ebf64,,,,"{'agent_version': 'agent3_code_understanding_refactored.v1', 'deterministic_reference_policy': 'advisory_only_not_authoritative', 'agent2_spec_summary_available': True, 'root_level_outputs_written': False, 'duplicate_outputs_written': False}"
04_property_discovery,Property Discovery,llm_backed,True,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/04_property_discovery/stage_manifest.json,True,94627b4f0a726dcb3bf1fe6f12e9d3a7239d19b5c40c86aa3b827269f1859d93,,,,"{'agent_version': 'agent4_property_discovery_refactored.v1', 'deterministic_reference_policy': 'advisory_only_not_authoritative', 'agent2_spec_summary_available': True, 'agent3_code_summary_available': True, 'root_level_outputs_written': False, 'duplicate_outputs_written': False}"
05_artifact_generation,Formal Artefact Generation,llm_backed_plus_rendering,True,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/05_artifact_generation/stage_manifest.json,True,923548c7ab2412d1eef7b2057480d4eb508fc6826a344c7640f8d2d3fc720a5e,,,,"{'agent_version': 'agent5_artifact_generation_refactored.v1', 'deterministic_reference_policy': 'advisory_or_prohibited_copy_reference_only', 'root_level_outputs_written': False, 'duplicate_outputs_written': False, 'cbmc_executed': False, 'formal_truth_claimed': False}"
06_review_critic,Review/Critic,llm_backed_plus_gate,True,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/06_review_critic/stage_manifest.json,True,c76840690189ff2049e18fa050ec1743cbcbc759def336c6b96c3389930f8bba,,,,"{'agent_version': 'agent6_review_critic_refactored.v2.iteration_contract', 'iteration': 0, 'selected_harness_path': '/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/05_artifact_generation/rendered_outputs/04_generated_harness.c', 'selected_harness_source': 'orchestrator_current_artifact', 'deterministic_reference_policy': 'diagnostic_advisory_gate_support', 'root_level_outputs_written': False, 'duplicate_outputs_written': False, 'cbmc_executed': False, 'formal_truth_claimed': False, 'final_gate': 'approved_for_tool_execution', 'tool_execution_allowed': True}"
07_tool_execution,Formal Tool Execution,deterministic_tool,True,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/07_tool_execution/stage_manifest.json,True,a0eb792598fb20a97a06a992cae2cb415df5f67e91aaeb65100e50513827e180,,,,"{'agent_version': 'agent7_tool_execution_refactored.v2.iteration_contract', 'iteration': 0, 'selected_harness_path': '/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/05_artifact_generation/rendered_outputs/04_generated_harness.c', 'selected_harness_source': 'orchestrator_current_artifact', 'stage_type': 'deterministic_only', 'llm_used': False, 'root_level_outputs_written': False, 'duplicate_outputs_written': False, 'result_classification': 'contract_build_or_instrumentation_failed', 'tool_executed': True, 'formal_truth_claimed': False}"
08_counterexample_analysis,Counterexample Analysis,llm_backed,True,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/08_counterexample_analysis/stage_manifest.json,True,7d7edec49fd29ef5ce407c30e2283e995cc863b3bdf627223a2a39fd29248800,,,,"{'agent_version': 'agent8_counterexample_analysis_refactored.v2.iteration_contract', 'iteration': 0, 'deterministic_reference_policy': 'diagnostic_advisory_only', 'raw_cbmc_output_primary': True, 'root_level_outputs_written': False, 'duplicate_outputs_written': False, 'formal_truth_claimed': False, 'result_classification': 'contract_build_or_instrumentation_failed'}"
09_repair_refinement,Repair/Refinement,llm_backed_plus_candidate_rendering,True,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/09_repair_refinement/stage_manifest.json,False,,missing,,,
10_experiment_logger,Experiment Logger,deterministic_logging,True,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/10_experiment_logger/stage_manifest.json,False,,missing,,,
11_evaluation_reporter,Evaluation Reporter,mixed_or_llm_backed,True,/home/girish/THESIS-2026/thesis-pipeline/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/11_evaluation_reporter/stage_manifest.json,False,,missing,,,
