original_path	sha256	size_bytes	action	retained_path	reason
POLYCOMP_D4_00A_SOURCE_NATIVE_ANALYSIS/POLYCOMP_D4_00A_D4_RELEVANT_FILES_20260725T145920Z.txt	1f43ebd510adb2ef2efccaeaa5cc897fbaa2ae776b59ffe236266b2e3955367b	12053	RETAINED	experiments/polycomp-d4/00-campaign-setup/source-and-native-analysis/POLYCOMP_D4_00A_SOURCE_NATIVE_ANALYSIS/POLYCOMP_D4_00A_D4_RELEVANT_FILES_20260725T145920Z.txt	genuine live-stage evidence retained in its original run context
POLYCOMP_D4_00A_SOURCE_NATIVE_ANALYSIS/POLYCOMP_D4_00A_D4_RELEVANT_FILES_20260725T145920Z.txt.sha256	5fda47172a3dbfaa66225ffb805de1b952ae021e560e3bd5971955e425695525	211	RETAINED	experiments/polycomp-d4/00-campaign-setup/source-and-native-analysis/POLYCOMP_D4_00A_SOURCE_NATIVE_ANALYSIS/POLYCOMP_D4_00A_D4_RELEVANT_FILES_20260725T145920Z.txt.sha256	genuine live-stage evidence retained in its original run context
POLYCOMP_D4_00A_SOURCE_NATIVE_ANALYSIS/POLYCOMP_D4_00A_TERMINAL_CAPTURE_20260725T145920Z.txt	db536d9143982d976a00123311eb62812e4f4deda3ceaf9845e6bf1c6dc5fabd	195671	RETAINED	experiments/polycomp-d4/00-campaign-setup/source-and-native-analysis/POLYCOMP_D4_00A_SOURCE_NATIVE_ANALYSIS/POLYCOMP_D4_00A_TERMINAL_CAPTURE_20260725T145920Z.txt	genuine live-stage evidence retained in its original run context
POLYCOMP_D4_00A_SOURCE_NATIVE_ANALYSIS/POLYCOMP_D4_00A_TERMINAL_CAPTURE_20260725T145920Z.txt.sha256	56d10ce4a67f54ee3be457be05c5bb960e407c11dad6dfe09e9776e41a6f67b8	210	RETAINED	experiments/polycomp-d4/00-campaign-setup/source-and-native-analysis/POLYCOMP_D4_00A_SOURCE_NATIVE_ANALYSIS/POLYCOMP_D4_00A_TERMINAL_CAPTURE_20260725T145920Z.txt.sha256	genuine live-stage evidence retained in its original run context
POLYCOMP_D4_00A_SOURCE_NATIVE_ANALYSIS/POLYCOMP_D4_00A_TRACKED_SOURCE_SHA256_20260725T145920Z.txt	4f434c2066438c9ecc8c9d9b1b9294f46ea03bac52a51137b100c1120a613674	139471	RETAINED	experiments/polycomp-d4/00-campaign-setup/source-and-native-analysis/POLYCOMP_D4_00A_SOURCE_NATIVE_ANALYSIS/POLYCOMP_D4_00A_TRACKED_SOURCE_SHA256_20260725T145920Z.txt	genuine live-stage evidence retained in its original run context
POLYCOMP_D4_00A_SOURCE_NATIVE_ANALYSIS/POLYCOMP_D4_00A_TRACKED_SOURCE_SHA256_20260725T145920Z.txt.sha256	dac6dc396ca67314a0bcc766220285843874415a6bc78107d087b9da20a71680	215	RETAINED	experiments/polycomp-d4/00-campaign-setup/source-and-native-analysis/POLYCOMP_D4_00A_SOURCE_NATIVE_ANALYSIS/POLYCOMP_D4_00A_TRACKED_SOURCE_SHA256_20260725T145920Z.txt.sha256	genuine live-stage evidence retained in its original run context
POLYCOMP_D4_00B_MANIFEST_REGISTRY_T1_PREFLIGHT/POLYCOMP_D4_00B_FINITE_DOMAIN_DERIVATION_20260725T152707Z.txt	79442cde9b8259bc5488a4940f4805d08f3ca0d331eaaa618b310e51b7b0085e	897	RETAINED	experiments/polycomp-d4/00-campaign-setup/theorem-registry-and-t1-preflight/POLYCOMP_D4_00B_MANIFEST_REGISTRY_T1_PREFLIGHT/POLYCOMP_D4_00B_FINITE_DOMAIN_DERIVATION_20260725T152707Z.txt	genuine live-stage evidence retained in its original run context
POLYCOMP_D4_00B_MANIFEST_REGISTRY_T1_PREFLIGHT/POLYCOMP_D4_00B_FINITE_DOMAIN_DERIVATION_20260725T152707Z.txt.sha256	695f278d65179104cb303da52b91f87c14b35825ebd14a227796a0038ea1131e	226	RETAINED	experiments/polycomp-d4/00-campaign-setup/theorem-registry-and-t1-preflight/POLYCOMP_D4_00B_MANIFEST_REGISTRY_T1_PREFLIGHT/POLYCOMP_D4_00B_FINITE_DOMAIN_DERIVATION_20260725T152707Z.txt.sha256	genuine live-stage evidence retained in its original run context
POLYCOMP_D4_00B_MANIFEST_REGISTRY_T1_PREFLIGHT/POLYCOMP_D4_00B_GIT_OBJECT_MANIFEST_20260725T152707Z.txt	b6747f285fb0722e5655ca585a9140865e8000c2cf38715299729e38a5d73cbd	201047	RETAINED	experiments/polycomp-d4/00-campaign-setup/theorem-registry-and-t1-preflight/POLYCOMP_D4_00B_MANIFEST_REGISTRY_T1_PREFLIGHT/POLYCOMP_D4_00B_GIT_OBJECT_MANIFEST_20260725T152707Z.txt	genuine live-stage evidence retained in its original run context
POLYCOMP_D4_00B_MANIFEST_REGISTRY_T1_PREFLIGHT/POLYCOMP_D4_00B_GIT_OBJECT_MANIFEST_20260725T152707Z.txt.sha256	3c62b2b7b8fcee3077765ad737b3a12f116f211a6a4e59ada3d5a9a2bfcb92b7	221	RETAINED	experiments/polycomp-d4/00-campaign-setup/theorem-registry-and-t1-preflight/POLYCOMP_D4_00B_MANIFEST_REGISTRY_T1_PREFLIGHT/POLYCOMP_D4_00B_GIT_OBJECT_MANIFEST_20260725T152707Z.txt.sha256	genuine live-stage evidence retained in its original run context
