case_id,target,condition,source_revision,frozen_source_archive,frozen_source_archive_sha256,frozen_repository_prefix,native_proof_directory_status,native_proof_paths,native_proof_entry_sha256,production_source_paths,production_source_entry_sha256,authoritative_baseline_characterisation,retained_summary_conflict_resolution,archive_validation_status
1,mlk_poly_add,UNASSISTED,d9613cf60de3132d32475c102d8c2781d84feb34,thesis_batch_3.zip,67eae3ada1cd8cd5aa9d8a3336a1113e3cc73f4f4f6660f511a8dd3ac32da278,mlk_poly_sub_cleanroom/PROFESSOR_HARDEN_VC_SR1_2026-07-18/00_frozen_source/mlkem-native,DEDICATED_ONE_CALL_HARNESS_PRESENT,mlk_poly_sub_cleanroom/PROFESSOR_HARDEN_VC_SR1_2026-07-18/00_frozen_source/mlkem-native/proofs/cbmc/poly_add/poly_add_harness.c;mlk_poly_sub_cleanroom/PROFESSOR_HARDEN_VC_SR1_2026-07-18/00_frozen_source/mlkem-native/proofs/cbmc/poly_add/Makefile,ff4c40902b23a6a30c717f9381be5d5ba65cb027ed07489311ce4720c6bb9188;0df1004d25414b9163721a6741810f9e4f73a4bbaa033ea9c8c0519c0f364686,mlk_poly_sub_cleanroom/PROFESSOR_HARDEN_VC_SR1_2026-07-18/00_frozen_source/mlkem-native/mlkem/src/poly.c;mlk_poly_sub_cleanroom/PROFESSOR_HARDEN_VC_SR1_2026-07-18/00_frozen_source/mlkem-native/mlkem/src/poly.h,f427dda46e29d53d3e33d683c9a8483bade3568eff43fb97b868a21bfd07c722;f24f980110953c1d361e04137e13e2f85f76db776903f85c98f24900e85f7aef,Native one-call `poly_add` harness and source contract are present.,NONE,RESOLVED_AND_HASHED
2,mlk_poly_sub,UNASSISTED,d9613cf60de3132d32475c102d8c2781d84feb34,thesis_batch_3.zip,67eae3ada1cd8cd5aa9d8a3336a1113e3cc73f4f4f6660f511a8dd3ac32da278,mlk_poly_sub_cleanroom/PROFESSOR_HARDEN_VC_SR1_2026-07-18/00_frozen_source/mlkem-native,DEDICATED_ONE_CALL_HARNESS_PRESENT,mlk_poly_sub_cleanroom/PROFESSOR_HARDEN_VC_SR1_2026-07-18/00_frozen_source/mlkem-native/proofs/cbmc/poly_sub/poly_sub_harness.c;mlk_poly_sub_cleanroom/PROFESSOR_HARDEN_VC_SR1_2026-07-18/00_frozen_source/mlkem-native/proofs/cbmc/poly_sub/Makefile,12d6a569b8a0bc6a4fc9340f1378f28e11c94beb43730b291161d6a24f8f67d1;d576e9ca8f1c952e79ae0b21d93b768a9d0d14b38584e76e953a800253afece8,mlk_poly_sub_cleanroom/PROFESSOR_HARDEN_VC_SR1_2026-07-18/00_frozen_source/mlkem-native/mlkem/src/poly.c;mlk_poly_sub_cleanroom/PROFESSOR_HARDEN_VC_SR1_2026-07-18/00_frozen_source/mlkem-native/mlkem/src/poly.h,f427dda46e29d53d3e33d683c9a8483bade3568eff43fb97b868a21bfd07c722;f24f980110953c1d361e04137e13e2f85f76db776903f85c98f24900e85f7aef,Native one-call `poly_sub` harness and source contract are present.,NONE,RESOLVED_AND_HASHED
3,mlk_poly_sub -> mlk_poly_reduce (VC-SR1),UNASSISTED,d9613cf60de3132d32475c102d8c2781d84feb34,thesis_batch_3.zip,67eae3ada1cd8cd5aa9d8a3336a1113e3cc73f4f4f6660f511a8dd3ac32da278,mlk_poly_sub_cleanroom/PROFESSOR_HARDEN_VC_SR1_2026-07-18/00_frozen_source/mlkem-native,SEPARATE_NATIVE_HARNESSES_PRESENT_NO_DIRECT_SEQUENCE_DIRECTORY,mlk_poly_sub_cleanroom/PROFESSOR_HARDEN_VC_SR1_2026-07-18/00_frozen_source/mlkem-native/proofs/cbmc/poly_sub/poly_sub_harness.c;mlk_poly_sub_cleanroom/PROFESSOR_HARDEN_VC_SR1_2026-07-18/00_frozen_source/mlkem-native/proofs/cbmc/poly_sub/Makefile;mlk_poly_sub_cleanroom/PROFESSOR_HARDEN_VC_SR1_2026-07-18/00_frozen_source/mlkem-native/proofs/cbmc/poly_reduce/poly_reduce_harness.c;mlk_poly_sub_cleanroom/PROFESSOR_HARDEN_VC_SR1_2026-07-18/00_frozen_source/mlkem-native/proofs/cbmc/poly_reduce/Makefile,12d6a569b8a0bc6a4fc9340f1378f28e11c94beb43730b291161d6a24f8f67d1;d576e9ca8f1c952e79ae0b21d93b768a9d0d14b38584e76e953a800253afece8;dc5ff23e7af7579f6a6baeea3a4a1bb38e030a5a4fd7e2d0d6da053bc9cd5f51;83316cbd1e83d8397b61ef0f1829c0dc42d8c527bc6aeb86268620ae895dcc1c,mlk_poly_sub_cleanroom/PROFESSOR_HARDEN_VC_SR1_2026-07-18/00_frozen_source/mlkem-native/mlkem/src/poly.c;mlk_poly_sub_cleanroom/PROFESSOR_HARDEN_VC_SR1_2026-07-18/00_frozen_source/mlkem-native/mlkem/src/poly.h,f427dda46e29d53d3e33d683c9a8483bade3568eff43fb97b868a21bfd07c722;f24f980110953c1d361e04137e13e2f85f76db776903f85c98f24900e85f7aef,Native one-call harnesses exist separately for `poly_sub` and `poly_reduce`; no eponymous direct VC-SR1 sequence directory was identified.,NONE,RESOLVED_AND_HASHED
4,mlk_poly_tomsg,UNASSISTED,af4c5abdd5958bdc65a03cd5ee86708264f93304,thesis_batch_1.zip,b7d4a0c238997f323abb93974243f93bcc0afe65f48cecd94d3b6af93f89c0d0,mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd,DEDICATED_ONE_CALL_HARNESS_PRESENT,mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/proofs/cbmc/poly_tomsg/poly_tomsg_harness.c;mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/proofs/cbmc/poly_tomsg/Makefile,3e656fedeaf8534dc9cd19250b559cd7ca4def24a976ed70b88f7b5013305398;9f2c928bc763aaaecd77520042aac8db78a0bfcefd3c4f579d41220592159fc4,mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/mlkem/src/compress.c;mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/mlkem/src/compress.h,9201bea6ddd1d7622cc6496d2f745fee52397d203392f75a3d6e52a400de5bad;0f357a30e7ea37351854dc550e502e5a7eaf80184896bf92b40073175706e0dd,A dedicated native `poly_tomsg` one-call harness exists. Any retained summary statement claiming no dedicated directory is superseded by this frozen-source census.,RETAINED_TOMSG_SUMMARY_ABSENCE_CLAIM_SUPERSEDED_BY_FROZEN_SOURCE,RESOLVED_AND_HASHED
5,mlk_poly_frommsg,UNASSISTED,af4c5abdd5958bdc65a03cd5ee86708264f93304,thesis_batch_1.zip,b7d4a0c238997f323abb93974243f93bcc0afe65f48cecd94d3b6af93f89c0d0,mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd,DEDICATED_ONE_CALL_HARNESS_PRESENT,mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/proofs/cbmc/poly_frommsg/poly_frommsg_harness.c;mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/proofs/cbmc/poly_frommsg/Makefile,60c5e7a0ce1320dacc016a369f924f7de5caf5bcd071d9eed1aadffaa4ee7923;64dae10011cfde69469954bf21a5c42f80b012e393d93ddde7a4ea27168126fd,mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/mlkem/src/compress.c;mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/mlkem/src/compress.h,9201bea6ddd1d7622cc6496d2f745fee52397d203392f75a3d6e52a400de5bad;0f357a30e7ea37351854dc550e502e5a7eaf80184896bf92b40073175706e0dd,A dedicated native `poly_frommsg` one-call harness exists; the exact generated T1–T4 suite remains distinct.,RETAINED_FROMMSG_NO_MATCHING_HARNESS_WORDING_QUALIFIED_NATIVE_ONE_CALL_HARNESS_EXISTS,RESOLVED_AND_HASHED
6,mlk_poly_compress_d4_c and mlk_poly_decompress_d4_c,UNASSISTED,af4c5abdd5958bdc65a03cd5ee86708264f93304,thesis_batch_1.zip,b7d4a0c238997f323abb93974243f93bcc0afe65f48cecd94d3b6af93f89c0d0,mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd,DEDICATED_ONE_CALL_HARNESSES_PRESENT,mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/proofs/cbmc/poly_compress_d4_c/poly_compress_d4_c_harness.c;mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/proofs/cbmc/poly_compress_d4_c/Makefile;mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/proofs/cbmc/poly_decompress_d4_c/poly_decompress_d4_c_harness.c;mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/proofs/cbmc/poly_decompress_d4_c/Makefile,1c05299a02f0e160792fb3b07b992aefac92d31910e5fc128c6b8223cafe143b;4e871e99079704c94b01baad132cc2bb680f35333980d2a7cdb1f25a188cfc67;c7edc717d7e7d7411b13f6776f386fffa52b4b9252da9f9f9b48df6a29cb4602;59af1e11e7ef2e8b5ce4567d879917170fc3784e32a2e72471c7be7630479d1e,mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/mlkem/src/compress.c;mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/mlkem/src/compress.h,9201bea6ddd1d7622cc6496d2f745fee52397d203392f75a3d6e52a400de5bad;0f357a30e7ea37351854dc550e502e5a7eaf80184896bf92b40073175706e0dd,Dedicated native one-call harnesses exist for both portable-C D4 functions.,NONE,RESOLVED_AND_HASHED
7,mlk_scalar_signed_to_unsigned_q,UNASSISTED,af4c5abdd5958bdc65a03cd5ee86708264f93304,thesis_batch_1.zip,b7d4a0c238997f323abb93974243f93bcc0afe65f48cecd94d3b6af93f89c0d0,mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd,DEDICATED_ONE_CALL_HARNESS_PRESENT,mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/proofs/cbmc/scalar_signed_to_unsigned_q/scalar_signed_to_unsigned_q_harness.c;mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/proofs/cbmc/scalar_signed_to_unsigned_q/Makefile,db059c559d2ad2c63b9ed8a5a64ba85701c5a6e5e2c2b0c4f71174df2fd2babd;bea04cbfd2eeff047d23f6bfcc9cdd64d0f3557402f7f11d204f99a1022588f5,mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/mlkem/src/poly.c,f427dda46e29d53d3e33d683c9a8483bade3568eff43fb97b868a21bfd07c722,A dedicated native one-call scalar conversion harness exists. The retained CANON summary statement claiming its absence is factually superseded by the frozen-source census.,RETAINED_CANON_SUMMARY_ABSENCE_CLAIM_SUPERSEDED_BY_FROZEN_SOURCE,RESOLVED_AND_HASHED
8,mlk_barrett_reduce,UNASSISTED,af4c5abdd5958bdc65a03cd5ee86708264f93304,thesis_batch_1.zip,b7d4a0c238997f323abb93974243f93bcc0afe65f48cecd94d3b6af93f89c0d0,mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd,DEDICATED_ONE_CALL_HARNESS_PRESENT,mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/proofs/cbmc/barrett_reduce/barrett_reduce_harness.c;mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/proofs/cbmc/barrett_reduce/Makefile,2257c68f1412b9b4a4a66b7bd5c178d87dd0d571ad1a487df4392ce1c84b20dc;60b43149f1fa523659a5d5fc55b1ecdf6d2f44f0c2988f8903b699bbf3e23672,mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/mlkem/src/poly.c,f427dda46e29d53d3e33d683c9a8483bade3568eff43fb97b868a21bfd07c722,A dedicated native one-call Barrett harness exists.,NONE,RESOLVED_AND_HASHED
9,mlk_zeroize,UNASSISTED,af4c5abdd5958bdc65a03cd5ee86708264f93304,thesis_batch_1.zip,b7d4a0c238997f323abb93974243f93bcc0afe65f48cecd94d3b6af93f89c0d0,mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd,NO_DEDICATED_ZEROIZE_PROOF_DIRECTORY,,,mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/mlkem/src/verify.h;mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/mlkem/src/common.h,13f44749f65099bee5bc55be260932d5e832bbd091335f1e47c31df464c1881f;cc48998e9595ec4e59a3aa53d6be9e55ecccb3cdc047e661ccd94fa99955d675,Production zeroize source/contracts and release macros exist; no dedicated native `proofs/cbmc/zeroize/` directory exists.,NONE,RESOLVED_AND_HASHED
10,mlk_poly_tobytes,UNASSISTED,af4c5abdd5958bdc65a03cd5ee86708264f93304,thesis_batch_1.zip,b7d4a0c238997f323abb93974243f93bcc0afe65f48cecd94d3b6af93f89c0d0,mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd,DEDICATED_ONE_CALL_HARNESSES_PRESENT,mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/proofs/cbmc/poly_tobytes/poly_tobytes_harness.c;mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/proofs/cbmc/poly_tobytes/Makefile;mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/proofs/cbmc/poly_tobytes_c/poly_tobytes_c_harness.c;mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/proofs/cbmc/poly_tobytes_c/Makefile,23f8b50d4fce28432d0cd2121697477ace3382bc43e87ddffc5f8fd0110b1174;8246ad0449b785689b32860b55b232830e42435aca8447d7b87c6c01ff4322da;f3237d410a9ac62a6d01915d0c136b490303a4eb77ed36e6cd1aff23b7507b05;a5b54c2340e07d861ee2defc713a23d61d97d92aba268edb9a5c507ae5988a6e,mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/mlkem/src/compress.c;mlk_barrett_reduce_cleanroom/BR_AF4_00A_af4c5abd/mlkem/src/compress.h,9201bea6ddd1d7622cc6496d2f745fee52397d203392f75a3d6e52a400de5bad;0f357a30e7ea37351854dc550e502e5a7eaf80184896bf92b40073175706e0dd,Native wrapper and portable-C one-call harnesses exist.,NONE,RESOLVED_AND_HASHED
