sha256	category	inventory_theorem	inventory_role	original_relative_path	canonical_collection_file
60c5e7a0ce1320dacc016a369f924f7de5caf5bcd071d9eed1aadffaa4ee7923	REFERENCE_NATIVE_BASELINE	UNASSIGNED	UNCLASSIFIED_ROLE	FROMMSG00A2_NATIVE_OVERLAP_BASELINE/native_poly_frommsg_harness_20260724T131455Z.c	REFERENCE_NATIVE_BASELINE/REFERENCE_NATIVE_BASELINE_UNCLASSIFIED_ROLE_60c5e7a0ce13_native_poly_frommsg_harness_20260724T131455Z.c
7a9cce12f267c0af4c25da6564bcb57169d7b47d5d4b322a7d2853bfa1d01ec7	T1	T1	POSITIVE	FROMMSG_T1_AUTHORITATIVE_CLOSURE/RUN_20260724T140238Z_LITANI_INIT_RETRY/frommsg_t1_exact_harness.c	T1/T1_POSITIVE_7a9cce12f267_frommsg_t1_exact_harness.c
36a92dc36bcbeb43ee7ff69c23f8c1077d696cadab450d3b7590bc58cc1d2b46	T1	T1	MUTATION	FROMMSG_T1_AUTHORITATIVE_CLOSURE/RUN_20260724T140238Z_LITANI_INIT_RETRY/frommsg_t1_mutation_harness.c	T1/T1_MUTATION_36a92dc36bcb_frommsg_t1_mutation_harness.c
c4fd88a694a9bd420ec2d39d58232b40e7f0978e1b8512970eb0c0ddc46df615	T1	T1	REACHABILITY,INTEGRITY_COMPANION	FROMMSG_T1_AUTHORITATIVE_CLOSURE/RUN_20260724T140238Z_LITANI_INIT_RETRY/frommsg_t1_reachability_harness.c	T1/T1_REACHABILITY_INTEGRITY_COMPANION_c4fd88a694a9_frommsg_t1_reachability_harness.c
7a9cce12f267c0af4c25da6564bcb57169d7b47d5d4b322a7d2853bfa1d01ec7	T1	T1	POSITIVE	FROMMSG_T1_AUTHORITATIVE_CLOSURE/RUN_20260724T144110Z_RUNBUILD_RETRY/frommsg_t1_exact_harness.c	T1/T1_POSITIVE_7a9cce12f267_frommsg_t1_exact_harness.c
36a92dc36bcbeb43ee7ff69c23f8c1077d696cadab450d3b7590bc58cc1d2b46	T1	T1	MUTATION	FROMMSG_T1_AUTHORITATIVE_CLOSURE/RUN_20260724T144110Z_RUNBUILD_RETRY/frommsg_t1_mutation_harness.c	T1/T1_MUTATION_36a92dc36bcb_frommsg_t1_mutation_harness.c
c4fd88a694a9bd420ec2d39d58232b40e7f0978e1b8512970eb0c0ddc46df615	T1	T1	REACHABILITY,INTEGRITY_COMPANION	FROMMSG_T1_AUTHORITATIVE_CLOSURE/RUN_20260724T144110Z_RUNBUILD_RETRY/frommsg_t1_reachability_harness.c	T1/T1_REACHABILITY_INTEGRITY_COMPANION_c4fd88a694a9_frommsg_t1_reachability_harness.c
7a9cce12f267c0af4c25da6564bcb57169d7b47d5d4b322a7d2853bfa1d01ec7	T1	T1	POSITIVE	FROMMSG_T1_EXACT_EMBEDDING_PREFLIGHT/frommsg_t1_exact_harness_20260724T133806Z.c	T1/T1_POSITIVE_7a9cce12f267_frommsg_t1_exact_harness.c
36a92dc36bcbeb43ee7ff69c23f8c1077d696cadab450d3b7590bc58cc1d2b46	T1	T1	REACHABILITY,MUTATION	FROMMSG_T1_NONVACUITY_MUTATION_PREFLIGHT/frommsg_t1_mutation_harness_20260724T134817Z.c	T1/T1_MUTATION_36a92dc36bcb_frommsg_t1_mutation_harness.c
c4fd88a694a9bd420ec2d39d58232b40e7f0978e1b8512970eb0c0ddc46df615	T1	T1	REACHABILITY,MUTATION,INTEGRITY_COMPANION	FROMMSG_T1_NONVACUITY_MUTATION_PREFLIGHT/frommsg_t1_reachability_harness_20260724T134817Z.c	T1/T1_REACHABILITY_INTEGRITY_COMPANION_c4fd88a694a9_frommsg_t1_reachability_harness.c
