original_path,size_bytes,sha256,basename,action,reason,canonical_original_path,canonical_repository_destination
mlk_poly_tomsg_cleanroom/MLK_POLY_TOMSG_T1_T2_T5_COMBINED_CLOSURE_20260723T174232Z_af4c5abdd595.tar.gz.contents.txt,4061,b6fbfc465e1baa212c073f75afdfc6e640a440d77d3f974f9a14e7c3d416e610,MLK_POLY_TOMSG_T1_T2_T5_COMBINED_CLOSURE_20260723T174232Z_af4c5abdd595.tar.gz.contents.txt,retain,retained-canonical-or-structurally-required,mlk_poly_tomsg_cleanroom/MLK_POLY_TOMSG_T1_T2_T5_COMBINED_CLOSURE_20260723T174232Z_af4c5abdd595.tar.gz.contents.txt,experiments/poly-tomsg/90-archive-companions/combined-campaign-closure/MLK_POLY_TOMSG_T1_T2_T5_COMBINED_CLOSURE_20260723T174232Z_af4c5abdd595.tar.gz.contents.txt
mlk_poly_tomsg_cleanroom/MLK_POLY_TOMSG_T1_T2_T5_COMBINED_CLOSURE_20260723T174232Z_af4c5abdd595.tar.gz.sha256,144,0c5234bd77c0500adb435a3b65266acfd518148e8ca1db9b44674580ac86c05d,MLK_POLY_TOMSG_T1_T2_T5_COMBINED_CLOSURE_20260723T174232Z_af4c5abdd595.tar.gz.sha256,retain,retained-canonical-or-structurally-required,mlk_poly_tomsg_cleanroom/MLK_POLY_TOMSG_T1_T2_T5_COMBINED_CLOSURE_20260723T174232Z_af4c5abdd595.tar.gz.sha256,experiments/poly-tomsg/90-archive-companions/combined-campaign-closure/MLK_POLY_TOMSG_T1_T2_T5_COMBINED_CLOSURE_20260723T174232Z_af4c5abdd595.tar.gz.sha256
mlk_poly_tomsg_cleanroom/MLK_POLY_TOMSG_T1_T2_T5_COMBINED_CLOSURE_20260723T174232Z_af4c5abdd595.terminal.txt,12340,aefd44e2ef5c85238ca67b1fe0ab065ec9fe1769a63889c69739a668eb3e7f72,MLK_POLY_TOMSG_T1_T2_T5_COMBINED_CLOSURE_20260723T174232Z_af4c5abdd595.terminal.txt,retain,retained-canonical-or-structurally-required,mlk_poly_tomsg_cleanroom/MLK_POLY_TOMSG_T1_T2_T5_COMBINED_CLOSURE_20260723T174232Z_af4c5abdd595.terminal.txt,experiments/poly-tomsg/90-archive-companions/combined-campaign-closure/MLK_POLY_TOMSG_T1_T2_T5_COMBINED_CLOSURE_20260723T174232Z_af4c5abdd595.terminal.txt
mlk_poly_tomsg_cleanroom/MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_20260723T134156Z_af4c5abdd595.tar.gz.contents.txt,49818,5f6b191c3b2b3b16116f0bd17dbc9bcb5d1b39e543cb1cce5a014ab4efb72963,MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_20260723T134156Z_af4c5abdd595.tar.gz.contents.txt,retain,retained-canonical-or-structurally-required,mlk_poly_tomsg_cleanroom/MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_20260723T134156Z_af4c5abdd595.tar.gz.contents.txt,experiments/poly-tomsg/90-archive-companions/T2-original-acceptance/MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_20260723T134156Z_af4c5abdd595.tar.gz.contents.txt
mlk_poly_tomsg_cleanroom/MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_20260723T134156Z_af4c5abdd595.tar.gz.sha256,141,d7d283d90b8205fd2bb24aa4d785483f45c5b78ca1d16230412444190008578c,MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_20260723T134156Z_af4c5abdd595.tar.gz.sha256,retain,retained-canonical-or-structurally-required,mlk_poly_tomsg_cleanroom/MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_20260723T134156Z_af4c5abdd595.tar.gz.sha256,experiments/poly-tomsg/90-archive-companions/T2-original-acceptance/MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_20260723T134156Z_af4c5abdd595.tar.gz.sha256
mlk_poly_tomsg_cleanroom/MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_20260723T134156Z_af4c5abdd595.terminal.txt,14156,d4fce4bee4d8f66625acc750dde04842c050851d094f9e840595a673d8b57981,MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_20260723T134156Z_af4c5abdd595.terminal.txt,retain,retained-canonical-or-structurally-required,mlk_poly_tomsg_cleanroom/MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_20260723T134156Z_af4c5abdd595.terminal.txt,experiments/poly-tomsg/90-archive-companions/T2-original-acceptance/MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_20260723T134156Z_af4c5abdd595.terminal.txt
mlk_poly_tomsg_cleanroom/MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_REPAIRED_20260723T173657Z_af4c5abdd595.tar.gz.contents.txt,1686,85139cb21379b4b9b5b2fee752c94c6ddd0959403d584c582f708f0b974adb3d,MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_REPAIRED_20260723T173657Z_af4c5abdd595.tar.gz.contents.txt,retain,retained-canonical-or-structurally-required,mlk_poly_tomsg_cleanroom/MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_REPAIRED_20260723T173657Z_af4c5abdd595.tar.gz.contents.txt,experiments/poly-tomsg/90-archive-companions/T2-repaired-acceptance/MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_REPAIRED_20260723T173657Z_af4c5abdd595.tar.gz.contents.txt
mlk_poly_tomsg_cleanroom/MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_REPAIRED_20260723T173657Z_af4c5abdd595.tar.gz.sha256,150,7474f17e64569ff643419672bc0125b8805c5f3fb380e03236c02f9b3e2c9ae5,MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_REPAIRED_20260723T173657Z_af4c5abdd595.tar.gz.sha256,retain,retained-canonical-or-structurally-required,mlk_poly_tomsg_cleanroom/MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_REPAIRED_20260723T173657Z_af4c5abdd595.tar.gz.sha256,experiments/poly-tomsg/90-archive-companions/T2-repaired-acceptance/MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_REPAIRED_20260723T173657Z_af4c5abdd595.tar.gz.sha256
mlk_poly_tomsg_cleanroom/MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_REPAIRED_20260723T173657Z_af4c5abdd595.terminal.txt,4417,2a5dc953d681cd2f33d3f84339ce117fd14811e462cca66ed775f4140740336f,MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_REPAIRED_20260723T173657Z_af4c5abdd595.terminal.txt,retain,retained-canonical-or-structurally-required,mlk_poly_tomsg_cleanroom/MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_REPAIRED_20260723T173657Z_af4c5abdd595.terminal.txt,experiments/poly-tomsg/90-archive-companions/T2-repaired-acceptance/MLK_POLY_TOMSG_T2_RELATIONAL_ACCEPTED_REPAIRED_20260723T173657Z_af4c5abdd595.terminal.txt
mlk_poly_tomsg_cleanroom/MLK_POLY_TOMSG_T5_EXACT_OFFSET_INTERVAL_ACCEPTED_20260723T165407Z_af4c5abdd595.tar.gz.contents.txt,23654,956446eb677747743876e3a3aaa2ba36c35b0d48901c1e71022a7b04eb6bdf87,MLK_POLY_TOMSG_T5_EXACT_OFFSET_INTERVAL_ACCEPTED_20260723T165407Z_af4c5abdd595.tar.gz.contents.txt,retain,retained-canonical-or-structurally-required,mlk_poly_tomsg_cleanroom/MLK_POLY_TOMSG_T5_EXACT_OFFSET_INTERVAL_ACCEPTED_20260723T165407Z_af4c5abdd595.tar.gz.contents.txt,experiments/poly-tomsg/90-archive-companions/T5-exact-offset-acceptance/MLK_POLY_TOMSG_T5_EXACT_OFFSET_INTERVAL_ACCEPTED_20260723T165407Z_af4c5abdd595.tar.gz.contents.txt
