original_path	sha256	canonical_original_path	retained_destination
06_HARNESS_FREEZE_CANDIDATE/NV/Makefile	bf06cd69768410d23d9daccd84e313fd15083772bbc6cc9d61bdd35ecb5e9ab3	01_harness_candidates/NV/Makefile	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/harness/Makefile
06_HARNESS_FREEZE_CANDIDATE/NV/pbcodec_cv1_nonvacuity_harness.c	0ba7b2763cd3a0d7c30746f026cf22b27f1e7130f238409245ce8763f90c33f8	01_harness_candidates/NV/pbcodec_cv1_nonvacuity_harness.c	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/harness/pbcodec_cv1_nonvacuity_harness.c
06_HARNESS_FREEZE_CANDIDATE/P1/Makefile	f0b87f4ea58487fa8828169d90a2ea16aa03852dfbd492bbe4eb6f8736ffbb96	01_harness_candidates/P1/Makefile	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/harness/Makefile
06_HARNESS_FREEZE_CANDIDATE/P1/pbcodec_cv1_p1_left_inverse_harness.c	04b6a7b4287d75f2badb9612b1738a4c7ac5d5d2ce316464145ccada183c25a6	01_harness_candidates/P1/pbcodec_cv1_p1_left_inverse_harness.c	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/harness/pbcodec_cv1_p1_left_inverse_harness.c
06_HARNESS_FREEZE_CANDIDATE/P2/Makefile	4647f2300984bfcb84ae26197b0b5ca2547b6edf4131238d1e5501f48ad6ce82	01_harness_candidates/P2/Makefile	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/harness/Makefile
06_HARNESS_FREEZE_CANDIDATE/P2/pbcodec_cv1_p2_right_inverse_harness.c	5d1d3146ab061fdfdbbd55dd9f967acaa211a109d578b11fe59ffb9e7bcb896e	01_harness_candidates/P2/pbcodec_cv1_p2_right_inverse_harness.c	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/harness/pbcodec_cv1_p2_right_inverse_harness.c
06_HARNESS_FREEZE_CANDIDATE/binding/NV/goto_binary.sha256	db8f6877dbf2e9ec36489ab6007026cf985d3d8692b9376754c4365dee222c56	03_goto_binding_repaired/NV/goto_binary.sha256	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/goto-binding/goto_binary.sha256
06_HARNESS_FREEZE_CANDIDATE/binding/NV/harness_public_call_order.txt	f4fb7acba556e99c7bf1bd76cca0ef427c05b0be43515befc88f8c21e11279d7	03_goto_binding_repaired/NV/harness_public_call_order.txt	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/goto-binding/harness_public_call_order.txt
06_HARNESS_FREEZE_CANDIDATE/binding/NV/model_identity.txt	f3d3a8f4e12230c238be72e4618f2054b80ad544778118a2c8f966dccc293ff7	03_goto_binding_repaired/NV/model_identity.txt	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/goto-binding/model_identity.txt
06_HARNESS_FREEZE_CANDIDATE/binding/NV/relevant_loops.txt	e6db1cc682fbc4052a2ee620ac34daeda1c1060f54d2bff8d6d3853be35ef11a	03_goto_binding_repaired/NV/relevant_loops.txt	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/goto-binding/relevant_loops.txt
