original_path	classified_path	size_bytes	sha256	decision	zip_crc32	mode_octal
PBYTES_00D_THEOREM_FREEZE_af4c5abd/FILE_INVENTORY.txt	experiments/poly-tobytes/00-campaign-setup/theorem-freeze/PBYTES_00D_THEOREM_FREEZE_af4c5abd/FILE_INVENTORY.txt	413	9e5dae929d1c24b0d703e3b6fcbef3760366ba67d71f0ec1751bd5bc0d03ea5d	RETAINED	9a0651c3	
PBYTES_00D_THEOREM_FREEZE_af4c5abd/input_evidence/PBYTES_00C_EVIDENCE_REFERENCE.txt	experiments/poly-tobytes/00-campaign-setup/theorem-freeze/PBYTES_00D_THEOREM_FREEZE_af4c5abd/input_evidence/PBYTES_00C_EVIDENCE_REFERENCE.txt	332	5a079b127eab0e1df062c9943929e86f23d79337c2536083f88d3c2970808728	RETAINED	90945798	
PBYTES_00D_THEOREM_FREEZE_af4c5abd/input_evidence/PBYTES_00C_REPAIRED_20260728T161328Z.txt	experiments/poly-tobytes/00-campaign-setup/theorem-freeze/PBYTES_00D_THEOREM_FREEZE_af4c5abd/input_evidence/PBYTES_00C_REPAIRED_20260728T161328Z.txt	1492922	877bee6473fece2615a50408573567c98b1fd232e846a592b5804f35a161ec8a	RETAINED	11e19913	
PBYTES_00D_THEOREM_FREEZE_af4c5abd/PBYTES_00D_FREEZE_SUMMARY.txt	experiments/poly-tobytes/00-campaign-setup/theorem-freeze/PBYTES_00D_THEOREM_FREEZE_af4c5abd/PBYTES_00D_FREEZE_SUMMARY.txt	450	d7aff8cff6676017faa94e2964eb3486dadb1fba1a8c5758c72e336150e4128e	RETAINED	31eefe97	
PBYTES_00D_THEOREM_FREEZE_af4c5abd/registry/PBYTES_OVERLAP_DECISION_V1.tsv	experiments/poly-tobytes/00-campaign-setup/theorem-freeze/PBYTES_00D_THEOREM_FREEZE_af4c5abd/registry/PBYTES_OVERLAP_DECISION_V1.tsv	1276	53a9fbece724cd3ee51dc1c8971f46f1a6e64d28476cfc5b6096240d3b7a1a1f	RETAINED	5f2be271	
PBYTES_00D_THEOREM_FREEZE_af4c5abd/registry/PBYTES_SCOPE_AND_NONCLAIMS_V1.md	experiments/poly-tobytes/00-campaign-setup/theorem-freeze/PBYTES_00D_THEOREM_FREEZE_af4c5abd/registry/PBYTES_SCOPE_AND_NONCLAIMS_V1.md	2078	a861211798b7740f7242393891f5d73708526a2115a530ea26c5a54147cd1fdf	RETAINED	d9020259	
PBYTES_00D_THEOREM_FREEZE_af4c5abd/registry/PBYTES_THEOREM_REGISTRY_V1.md	experiments/poly-tobytes/00-campaign-setup/theorem-freeze/PBYTES_00D_THEOREM_FREEZE_af4c5abd/registry/PBYTES_THEOREM_REGISTRY_V1.md	2245	42ed51ac4724311b1a04b7a08387eee5129dcbfb781b2b224be1da04f5476368	RETAINED	fee69766	
PBYTES_00D_THEOREM_FREEZE_af4c5abd/registry/verification_intent.json	experiments/poly-tobytes/00-campaign-setup/theorem-freeze/PBYTES_00D_THEOREM_FREEZE_af4c5abd/registry/verification_intent.json	1638	c38cccac9a595acf93801b5b30c6722378d24e92035aef77922ccf5252b65c7d	RETAINED	05684f92	
PBYTES_00D_THEOREM_FREEZE_af4c5abd/SHA256_MANIFEST.txt	experiments/poly-tobytes/00-campaign-setup/theorem-freeze/PBYTES_00D_THEOREM_FREEZE_af4c5abd/SHA256_MANIFEST.txt	986	9179b28b0d81d8cbe9704c335d8e8a54d6618c959ff0715e6b745b5de3a1f726	RETAINED	48b298ef	
PBYTES_00D_THEOREM_FREEZE_af4c5abd/source_identity/AUTHORITATIVE_SOURCE_SHA256.txt	experiments/poly-tobytes/00-campaign-setup/theorem-freeze/PBYTES_00D_THEOREM_FREEZE_af4c5abd/source_identity/AUTHORITATIVE_SOURCE_SHA256.txt	342	6e3a653b6f51c775030e27ad5aaa003ce9a9cac51552cfa9d034610ac688e502	RETAINED	fe74f216	
PBYTES_00D_THEOREM_FREEZE_af4c5abd/source_identity/COMMIT_IDENTITY.txt	experiments/poly-tobytes/00-campaign-setup/theorem-freeze/PBYTES_00D_THEOREM_FREEZE_af4c5abd/source_identity/COMMIT_IDENTITY.txt	273	535df14815bc363b3273151f059e79ec1a88fb6bf586b4193f148f95ced59b3f	RETAINED	9aa3feb6	
PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/FILE_INVENTORY.txt	experiments/poly-tobytes/T01-exact-arithmetic-byteencode12-refinement/raw-evidence/PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/FILE_INVENTORY.txt	866	1fed830e7be9fd2f8f9a110ace09b9fff14384753c99c29107ae4e185953906a	RETAINED	1e11936e	
PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/gotos/compress.goto	experiments/poly-tobytes/T01-exact-arithmetic-byteencode12-refinement/raw-evidence/PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/gotos/compress.goto	100090	bf2436b927b654a940cbd12d44eb17f1d14357a8ddd145aca5ef30a09b565e0f	RETAINED	77df5fc0	
PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/gotos/harness.goto	experiments/poly-tobytes/T01-exact-arithmetic-byteencode12-refinement/raw-evidence/PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/gotos/harness.goto	66619	4413bd9ec948bd623e7df70d732aa65d2e12a9546d44b023ba9681b4eb808447	RETAINED	51a85c3c	
PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/gotos/linked.goto	experiments/poly-tobytes/T01-exact-arithmetic-byteencode12-refinement/raw-evidence/PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/gotos/linked.goto	118073	746445e956eec0506448bb468e8d0371e665557e7efffd36179c0c470f7f38a2	RETAINED	f8f13794	
PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/gotos/model.goto	experiments/poly-tobytes/T01-exact-arithmetic-byteencode12-refinement/raw-evidence/PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/gotos/model.goto	122072	a664e829e1230ef410ced0bf2e7f817d4f1fe823e5fa9f3208772ddf42cdf727	RETAINED	b400073c	
PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/identity/AUTHORITATIVE_SOURCE_HASH_CHECK.txt	experiments/poly-tobytes/T01-exact-arithmetic-byteencode12-refinement/raw-evidence/PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/identity/AUTHORITATIVE_SOURCE_HASH_CHECK.txt	94	234018ce9a69344fb7e0f642d876ed4f8decb7b0e1faaef0f6dc35935da5ba08	RETAINED	baa43149	
PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/identity/BUILD_COMMANDS.txt	experiments/poly-tobytes/T01-exact-arithmetic-byteencode12-refinement/raw-evidence/PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/identity/BUILD_COMMANDS.txt	2572	941c85949edc391e06876459d468b5580ba6df927a4b976fcd20d82a9e369d3b	RETAINED	e3b74a06	
PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/identity/FREEZE_MANIFEST_CONTENT_CHECK.txt	experiments/poly-tobytes/T01-exact-arithmetic-byteencode12-refinement/raw-evidence/PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/identity/FREEZE_MANIFEST_CONTENT_CHECK.txt	428	bb89ffdeacd7262c600f56502804136e9c7db787ed454346797a22c36d36010c	RETAINED	a9c561b8	
PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/identity/GIT_WORKTREE_LIST.txt	experiments/poly-tobytes/T01-exact-arithmetic-byteencode12-refinement/raw-evidence/PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/identity/GIT_WORKTREE_LIST.txt	1296	531ea5b3e55b4d1d2d6197e005bd345c36ff2dcd434b4011e07070031344bce3	RETAINED	142e51d3	
PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/identity/TOOL_IDENTITY.txt	experiments/poly-tobytes/T01-exact-arithmetic-byteencode12-refinement/raw-evidence/PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/identity/TOOL_IDENTITY.txt	187	5349aa2ed2dc11904d84e5537cf36393268a8a675d880553f91d0f2859589dba	RETAINED	3a3caff0	
PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/logs/cbmc_stderr.txt	experiments/poly-tobytes/T01-exact-arithmetic-byteencode12-refinement/raw-evidence/PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/logs/cbmc_stderr.txt	818	91a9d8499c7c4821cad616993732bdc576fce22867f5d8a44108ffefdabd77ff	RETAINED	2073df69	
PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/logs/compress_build_stderr.txt	experiments/poly-tobytes/T01-exact-arithmetic-byteencode12-refinement/raw-evidence/PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/logs/compress_build_stderr.txt	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	RETAINED	00000000	
PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/logs/compress_build_stdout.txt	experiments/poly-tobytes/T01-exact-arithmetic-byteencode12-refinement/raw-evidence/PBYTES_01A_T1_POSITIVE_RUN1_af4c5abd/logs/compress_build_stdout.txt	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	RETAINED	00000000	
