property_record_id,case_id,condition,target,historical_id,approved_property_name,property_class,source_revision,parameter_set,input_domain,assumptions_and_grounding,formal_relation,assertion_or_harness_mapping,result,target_reachability,assumption_feasibility,nonvacuity_evidence,mutation_status,strongest_bounded_conclusion,explicit_exclusion,evidence_locator_id,evidence_path_hint,evidence_completeness,archive_name_resolved,archive_sha256,archive_evidence_path,archive_entry_sha256,archive_resolution_status,archive_candidate_count,resolved_public_evidence_path,public_evidence_sha256,public_path_resolution_status,public_path_candidate_count
PR-C01-001,1,UNASSISTED,mlk_poly_add,PA-01.B1,ML-KEM polynomial-degree binding,Configuration control,d9613cf60de3132d32475c102d8c2781d84feb34,ML-KEM-768 primary; PA-06 additionally 512/768/1024,Frozen ML-KEM-768 portable-C build,"Canonical ML-KEM coefficients 0 <= a[i],b[i] < q; valid separate objects; unchanged production body; complete registered unwinding.",MLKEM_N = 256,PA-01 V2 parameter-binding assertion,SUPPORTING_CONTROL,YES,YES,SUPPORTED,N/A,The harness is bound to the intended polynomial degree.,Configuration binding is not a functional target claim by itself.,LOC-C01-UA,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,PARTIAL,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED,1,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/harnesses/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED_HASH_MATCH,11
PR-C01-002,1,UNASSISTED,mlk_poly_add,PA-01.B2,ML-KEM modulus binding,Configuration control,d9613cf60de3132d32475c102d8c2781d84feb34,ML-KEM-768 primary; PA-06 additionally 512/768/1024,Frozen ML-KEM-768 portable-C build,"Canonical ML-KEM coefficients 0 <= a[i],b[i] < q; valid separate objects; unchanged production body; complete registered unwinding.",MLKEM_Q = 3329,PA-01 V2 parameter-binding assertion,SUPPORTING_CONTROL,YES,YES,SUPPORTED,N/A,The harness is bound to the intended modulus.,Configuration binding is not a functional target claim by itself.,LOC-C01-UA,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,PARTIAL,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED,1,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/harnesses/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED_HASH_MATCH,11
PR-C01-003,1,UNASSISTED,mlk_poly_add,PA-01.P1,Exact canonical-domain coefficient addition,Functional refinement,d9613cf60de3132d32475c102d8c2781d84feb34,ML-KEM-768 primary; PA-06 additionally 512/768/1024,"Canonical coefficient arrays a,b in [0,q-1]","Canonical ML-KEM coefficients 0 <= a[i],b[i] < q; valid separate objects; unchanged production body; complete registered unwinding.",r[i] = int32(a[i]) + int32(b[i]),PA-01 V2 semantic assertion family,SUPPORTED,YES,YES,SUPPORTED,Selected PA-07 sensitivity evidence; complete PA-07 matrix only partially retained,The production result equals the exact canonical-input sum.,Not the full signed/non-canonical domain; PA-02 supplies that extension.,LOC-C01-UA,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,PARTIAL,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED,1,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/harnesses/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED_HASH_MATCH,11
PR-C01-004,1,UNASSISTED,mlk_poly_add,PA-01.P2,Canonical-domain output lower bound,Range,d9613cf60de3132d32475c102d8c2781d84feb34,ML-KEM-768 primary; PA-06 additionally 512/768/1024,"Canonical coefficient arrays a,b in [0,q-1]","Canonical ML-KEM coefficients 0 <= a[i],b[i] < q; valid separate objects; unchanged production body; complete registered unwinding.",0 <= r[i],PA-01 V2 semantic assertion family,SUPPORTED,YES,YES,SUPPORTED,Selected PA-07 sensitivity evidence; complete PA-07 matrix only partially retained,The stored canonical-input sum is non-negative.,Not a canonical-output claim because values may exceed q-1.,LOC-C01-UA,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,PARTIAL,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED,1,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/harnesses/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED_HASH_MATCH,11
PR-C01-005,1,UNASSISTED,mlk_poly_add,PA-01.P3,Canonical-domain output upper bound,Range,d9613cf60de3132d32475c102d8c2781d84feb34,ML-KEM-768 primary; PA-06 additionally 512/768/1024,"Canonical coefficient arrays a,b in [0,q-1]","Canonical ML-KEM coefficients 0 <= a[i],b[i] < q; valid separate objects; unchanged production body; complete registered unwinding.",r[i] <= 2*q-2 = 6656,PA-01 V2 semantic assertion family,SUPPORTED,YES,YES,SUPPORTED,Selected PA-07 sensitivity evidence; complete PA-07 matrix only partially retained,The stored canonical-input sum lies in the tight derived interval.,"Does not assert reduction to [0,q).",LOC-C01-UA,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,PARTIAL,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED,1,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/harnesses/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED_HASH_MATCH,11
PR-C01-006,1,UNASSISTED,mlk_poly_add,PA-01.P4,FIPS-domain modulo-q refinement,Modular refinement,d9613cf60de3132d32475c102d8c2781d84feb34,ML-KEM-768 primary; PA-06 additionally 512/768/1024,"Canonical coefficient arrays a,b in [0,q-1]","Canonical ML-KEM coefficients 0 <= a[i],b[i] < q; valid separate objects; unchanged production body; complete registered unwinding.",canon_q(r[i]) = canon_q(a[i] + b[i]),PA-01 V2 semantic assertion family,SUPPORTED,YES,YES,SUPPORTED,Selected PA-07 sensitivity evidence; complete PA-07 matrix only partially retained,The unreduced stored result represents the expected element of Z_q.,Not a claim that r[i] itself is canonical.,LOC-C01-UA,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,PARTIAL,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED,1,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/harnesses/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED_HASH_MATCH,11
PR-C01-007,1,UNASSISTED,mlk_poly_add,PA-01.P5A,Left-input frame preservation,Frame,d9613cf60de3132d32475c102d8c2781d84feb34,ML-KEM-768 primary; PA-06 additionally 512/768/1024,"Canonical coefficient arrays a,b in [0,q-1]","Canonical ML-KEM coefficients 0 <= a[i],b[i] < q; valid separate objects; unchanged production body; complete registered unwinding.",a_after = a_before,PA-01 V2 semantic assertion family,SUPPORTED,YES,YES,SUPPORTED,Selected PA-07 sensitivity evidence; complete PA-07 matrix only partially retained,The left read-only input is preserved.,Limited to the modelled input object.,LOC-C01-UA,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,PARTIAL,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED,1,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/harnesses/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED_HASH_MATCH,11
PR-C01-008,1,UNASSISTED,mlk_poly_add,PA-01.P5B,Right-input frame preservation,Frame,d9613cf60de3132d32475c102d8c2781d84feb34,ML-KEM-768 primary; PA-06 additionally 512/768/1024,"Canonical coefficient arrays a,b in [0,q-1]","Canonical ML-KEM coefficients 0 <= a[i],b[i] < q; valid separate objects; unchanged production body; complete registered unwinding.",b_after = b_before,PA-01 V2 semantic assertion family,SUPPORTED,YES,YES,SUPPORTED,Selected PA-07 sensitivity evidence; complete PA-07 matrix only partially retained,The right read-only input is preserved.,Limited to the modelled input object.,LOC-C01-UA,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,PARTIAL,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED,1,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/harnesses/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED_HASH_MATCH,11
PR-C01-009,1,UNASSISTED,mlk_poly_add,PA-01.P5C,Zero-operand frame preservation,Frame,d9613cf60de3132d32475c102d8c2781d84feb34,ML-KEM-768 primary; PA-06 additionally 512/768/1024,"Canonical coefficient arrays a,b in [0,q-1]","Canonical ML-KEM coefficients 0 <= a[i],b[i] < q; valid separate objects; unchanged production body; complete registered unwinding.",zero_after = zero_before,PA-01 V2 semantic assertion family,SUPPORTED,YES,YES,SUPPORTED,Selected PA-07 sensitivity evidence; complete PA-07 matrix only partially retained,The modelled zero operand is preserved.,Limited to the modelled zero object.,LOC-C01-UA,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,PARTIAL,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED,1,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/harnesses/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED_HASH_MATCH,11
PR-C01-010,1,UNASSISTED,mlk_poly_add,PA-01.P6,Canonical-domain commutativity,Relational,d9613cf60de3132d32475c102d8c2781d84feb34,ML-KEM-768 primary; PA-06 additionally 512/768/1024,"Canonical coefficient arrays a,b in [0,q-1]","Canonical ML-KEM coefficients 0 <= a[i],b[i] < q; valid separate objects; unchanged production body; complete registered unwinding.","add(a,b) = add(b,a)",PA-01 V2 semantic assertion family,SUPPORTED,YES,YES,SUPPORTED,Selected PA-07 sensitivity evidence; complete PA-07 matrix only partially retained,Two production executions commute on canonical inputs.,Not evidence for calls violating the production aliasing contract.,LOC-C01-UA,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,PARTIAL,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED,1,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/harnesses/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED_HASH_MATCH,11
