family,property_id,description,status
ZERO-T1,ZERO-T1.P1,Selected bytes in arbitrary buffer A become zero,ACCEPTED
ZERO-T1,ZERO-T1.P2,Selected bytes in arbitrary buffer B become zero,ACCEPTED
ZERO-T1,ZERO-T1.P3,Selected post-state is independent of pre-state,ACCEPTED
ZERO-T2,ZERO-T2.P1,Every prefix byte remains unchanged,ACCEPTED
ZERO-T2,ZERO-T2.P2,Every suffix byte remains unchanged,ACCEPTED
ZERO-T2,ZERO-T2.P3,Separate unrelated object remains unchanged,ACCEPTED
ZERO-T2,ZERO-T2.P4,Zero-length invocation preserves the object,ACCEPTED
ZERO-T3,ZERO-T3.P1,Repeated zeroization is idempotent,ACCEPTED
ZERO-T3,ZERO-T3.P2,Adjacent partitions equal their combined interval,ACCEPTED
ZERO-T3,ZERO-T3.P3,Disjoint zeroizations commute,ACCEPTED
ZERO-T3,ZERO-T3.P4,Overlapping intervals equal zeroization of their union,ACCEPTED
ZERO-T4,ZERO-T4.P1,Default MLK_FREE wipes the full backing allocation,ACCEPTED
ZERO-T4,ZERO-T4.P2,Default MLK_FREE resets the exposed pointer,ACCEPTED
ZERO-T4,ZERO-T4.P3,Custom free observes all-zero memory,ACCEPTED
ZERO-T4,ZERO-T4.P4,Custom free executes exactly once for non-null memory,ACCEPTED
ZERO-T4,ZERO-T4.P5,Custom free is not called for null memory,ACCEPTED
