claim_id,authoritative_thesis_location,claim_summary,supporting_property_ids,contrary_or_unresolved_ids,repository_evidence_locator,native_comparison_record,chapter5_authoritative_home,chapter6_authoritative_home,compression_action,loss_check,conflict_disclosure
CH4-C01-PRINCIPAL,4.3.1,"PA-01 supports exact/range/modulo/frame/algebraic relations for canonical inputs; PA-02 extends exact and modulo refinement to every signed/non-canonical pair whose sum is int16_t-representable. The retained caller, parameter and alias-diagnostic properties remain separately qualified.",PA-01.B1;PA-01.B2;PA-01.P1;PA-01.P2;PA-01.P3;PA-01.P4;PA-01.P5A;PA-01.P5B;PA-01.P5C;PA-01.P6;PA-01.P7;PA-02A.P1;PA-02B.P2;PA-02B.P3;PA-02C.P4;PA-02D.P5;PA-02E.P6;PA-04A.P1;PA-04A.P2;PA-04A.P3;PA-04A.P4;PA-04A.P5;PA-04A.P6;PA05A-B1;PA05A-D1;PA05A-D2;PA05A-P1;PA05A-P2;PA05B-P1;PA05B-P2;PA05B-P3;PA05B-P4;PA05B-P5;PA05C-P1;PA05C-P2;PA05C-P3;PA05C-P4;PA05C-P5;PA05C-P6;PA05C-P7;PA05C-P8;PA-06A;PA-06B;PA-06C,PA-03.N1;PA-04B.N1,LOC-C01-UA,case_id=1 in 04 matrix,Chapter 5 interpretation of RQ1/RQ4; literature comparison where applicable,Bounded RQ answer only,RETAIN one principal claim/domain/outcome row in Chapter 4; subordinate inventory stays in repository/appendix,PENDING AFTER CHAPTER 4 SURGERY,Case 1 preservation is partial; Cases 13/14 retain inconclusive results; see negative ledger.
CH4-C02-PRINCIPAL,4.3.2,"The subtraction campaign supports independent-oracle normalization, normalization compatibility, exact/modular cancellation, the SUB-T4 canonical exact-difference bridge with tight range [-3328,3328], frame/locality/determinism and the registered production-slice obligations.",SUB-T1.P1;SUB-T1.P2;SUB-T1.P3;SUB-T2.P1;SUB-T3A;SUB-T3B;SUB-T3C;SUB-T5.1;SUB-T5.2;SUB-T5.3;SUB-T5.4;SUB-T5.5;SUB-T5.6;SUB-T6.1;SUB-T6.2;SUB-T6.3;SUB-T6.4;SUB-T6.5;SUB-T6.6;SUB-T6.7;SUB-T4.P1;SUB-T4.P2;SUB-T4.P3;SUB-T4.P4,,LOC-C02-UA,case_id=2 in 04 matrix,Chapter 5 interpretation of RQ1/RQ4; literature comparison where applicable,Bounded RQ answer only,RETAIN one principal claim/domain/outcome row in Chapter 4; subordinate inventory stays in repository/appendix,PENDING AFTER CHAPTER 4 SURGERY,Case 1 preservation is partial; Cases 13/14 retain inconclusive results; see negative ledger.
CH4-C03-PRINCIPAL,4.3.3,"For each i, reduce(sub(A,B))_i=canon_q(int32(A_i)-int32(B_i)) within the signed-representable difference domain.",VC-SR1,,LOC-C03-UA,case_id=3 in 04 matrix,Chapter 5 interpretation of RQ1/RQ4; literature comparison where applicable,Bounded RQ answer only,RETAIN one principal claim/domain/outcome row in Chapter 4; subordinate inventory stays in repository/appendix,PENDING AFTER CHAPTER 4 SURGERY,Case 1 preservation is partial; Cases 13/14 retain inconclusive results; see negative ledger.
CH4-C04-PRINCIPAL,4.4.1,"bit_k(tomsg(A))=1 iff 833<=A_k<=2496 for canonical A_k; the 256 bits are packed LSB-first into 32 bytes. The exact accepted arithmetic-offset interval is [1073417800,1074063871].",MSG-T1.P1;MSG-T1.P2;MSG-T2.R1;MSG-T2.R2A;MSG-T2.R2B;MSG-T2.R3A;MSG-T2.R3B.1;MSG-T2.R3B.2;MSG-T5.P1;MSG-T5.P2;MSG-T5.P3;MSG-T5.P4;MSG-T5.P5,CONFLICT-C04-NATIVE-DIR,LOC-C04-UA,case_id=4 in 04 matrix,Chapter 5 interpretation of RQ1/RQ4; literature comparison where applicable,Bounded RQ answer only,RETAIN one principal claim/domain/outcome row in Chapter 4; subordinate inventory stays in repository/appendix,PENDING AFTER CHAPTER 4 SURGERY,Case 1 preservation is partial; Cases 13/14 retain inconclusive results; see negative ledger.
CH4-C05-PRINCIPAL,4.4.2,"frommsg(m)_k=1665*bit_k(m), and tomsg(frommsg(m))=m for every 32-byte message m.",FROMMSG-T1.P1;FROMMSG-T2.P1;FROMMSG-T2.P2;FROMMSG-T2.P3;FROMMSG-T2.P4;FROMMSG-T3.P1;FROMMSG-T3.P2;FROMMSG-T3.P3;FROMMSG-T3.P4;FROMMSG-T4.P1;FROMMSG-T4.P2;FROMMSG-T4.P3;FROMMSG-T4.P4,CONFLICT-C05-NATIVE-HARNESS,LOC-C05-UA,case_id=5 in 04 matrix,Chapter 5 interpretation of RQ1/RQ4; literature comparison where applicable,Bounded RQ answer only,RETAIN one principal claim/domain/outcome row in Chapter 4; subordinate inventory stays in repository/appendix,PENDING AFTER CHAPTER 4 SURGERY,Case 1 preservation is partial; Cases 13/14 retain inconclusive results; see negative ledger.
CH4-C06-PRINCIPAL,4.4.3,"`Comp4(Decomp4(B))=B` for every compressed byte array `B`; `Proj4(A)=Decomp4(Comp4(A))` is a coordinatewise projection onto the 16-value codebook with `dist_q(A_i,Proj4(A)_i)<=104`, and 104 is attainable.",D4-T1.P1;D4-T1.P2;D4-T1.P3;D4-T1.P4;D4-T2.P1;D4-T2.P2;D4-T2.P3;D4-T2.P4;D4-T2.P5;D4-T2.P6;D4-T3.P1;D4-T3.P2;D4-T3.P3;D4-T4.P1;D4-T4.P2;D4-T4.P3;D4-T4.P4;D4-T4.P5,,LOC-C06-UA,case_id=6 in 04 matrix,Chapter 5 interpretation of RQ1/RQ4; literature comparison where applicable,Bounded RQ answer only,RETAIN one principal claim/domain/outcome row in Chapter 4; subordinate inventory stays in repository/appendix,PENDING AFTER CHAPTER 4 SURGERY,Case 1 preservation is partial; Cases 13/14 retain inconclusive results; see negative ledger.
CH4-C07-PRINCIPAL,4.4.4,"`SignedToCanon` maps `D_s={-(q-1),...,q-1}` to `[0,q)`, with the recorded fibre, idempotence, fixed-point and algebraic laws; `CanonAfterBarrett(a)=canon_q(a)` for every `int16_t` input `a`.",CANON-T1.P1;CANON-T1.P2;CANON-T1.P3;CANON-T1.P4;CANON-T2.P1;CANON-T2.P2;CANON-T2.P3;CANON-T2.P4;CANON-T3.P1;CANON-T3.P2;CANON-T3.P3;CANON-T4.P1;CANON-T4.P2;CANON-T4.P3;CANON-T4.P4;CANON-T4.P5;CANON-T4.P6,CONFLICT-C07-NATIVE-DIR,LOC-C07-UA,case_id=7 in 04 matrix,Chapter 5 interpretation of RQ1/RQ4; literature comparison where applicable,Bounded RQ answer only,RETAIN one principal claim/domain/outcome row in Chapter 4; subordinate inventory stays in repository/appendix,PENDING AFTER CHAPTER 4 SURGERY,Case 1 preservation is partial; Cases 13/14 retain inconclusive results; see negative ledger.
CH4-C08-PRINCIPAL,4.4.5,"For every `int16_t` input `a`, `Barrett(a)=Centered_q(a)`, `-1664<=Barrett(a)<=1664`, and `Barrett(a)≡a (mod q)`, with the registered fixed-point, quotient-cell, multiplier and offset-characterisation properties.",BR-T1.P2;BR-T1.P3;BR-T1.P4;BR-T1.P5;BR-T2.P6;BR-T2.P7;BR-T2.P8;BR-T3.P9;BR-T3.P10;BR-T3.P11;BR-T3.P12;BR-T3.P13;BR-T4.P14;BR-T4.P15;BR-T4.P16;BR-T4.P17;BR-T4.P18;BR-T5.P19;BR-T5.P20;BR-T5.P21;BR-T5.P22;BR-T5.P23;BR-T5.P24,,LOC-C08-UA,case_id=8 in 04 matrix,Chapter 5 interpretation of RQ1/RQ4; literature comparison where applicable,Bounded RQ answer only,RETAIN one principal claim/domain/outcome row in Chapter 4; subordinate inventory stays in repository/appendix,PENDING AFTER CHAPTER 4 SURGERY,Case 1 preservation is partial; Cases 13/14 retain inconclusive results; see negative ledger.
CH4-C09-PRINCIPAL,4.5.1,"For a valid selected interval I, Z_I(M) sets exactly the selected bytes to zero while preserving the registered frame; the recorded idempotence, partition, commutativity and release-handoff relations also hold.",ZERO-T1.P1;ZERO-T1.P2;ZERO-T1.P3;ZERO-T2.P1;ZERO-T2.P2;ZERO-T2.P3;ZERO-T2.P4;ZERO-T3.P1;ZERO-T3.P2;ZERO-T3.P3;ZERO-T3.P4;ZERO-T4.P1;ZERO-T4.P2;ZERO-T4.P3;ZERO-T4.P4;ZERO-T4.P5,,LOC-C09-UA,case_id=9 in 04 matrix,Chapter 5 interpretation of RQ1/RQ4; literature comparison where applicable,Bounded RQ answer only,RETAIN one principal claim/domain/outcome row in Chapter 4; subordinate inventory stays in repository/appendix,PENDING AFTER CHAPTER 4 SURGERY,Case 1 preservation is partial; Cases 13/14 retain inconclusive results; see negative ledger.
CH4-C10-PRINCIPAL,4.5.2,"Each canonical coefficient pair (c0,c1) is encoded as the 24-bit word c0+4096*c1 in the specified 3-byte layout; the complete 384-byte encoding is injective on canonical polynomials.",PBYTES-T1.P1;PBYTES-T1.P2;PBYTES-T1.P3;PBYTES-T1.P4;PBYTES-T1.P5;PBYTES-T1.P6;PBYTES-T2.P1;PBYTES-T2.P2;PBYTES-T2.P3;PBYTES-T2.P4;PBYTES-T3.P1;PBYTES-T3.P2;PBYTES-T3.P3;PBYTES-T3.P4;PBYTES-T3.P5;PBYTES-T4.P1;PBYTES-T4.P2;PBYTES-T4.P3;PBYTES-T4.P4,,LOC-C10-UA,case_id=10 in 04 matrix,Chapter 5 interpretation of RQ1/RQ4; literature comparison where applicable,Bounded RQ answer only,RETAIN one principal claim/domain/outcome row in Chapter 4; subordinate inventory stays in repository/appendix,PENDING AFTER CHAPTER 4 SURGERY,Case 1 preservation is partial; Cases 13/14 retain inconclusive results; see negative ledger.
