category	role	sha256	canonical_file	representative_original_path
REFERENCE_NATIVE_BASELINE	UNCLASSIFIED_ROLE	60c5e7a0ce1320dacc016a369f924f7de5caf5bcd071d9eed1aadffaa4ee7923	REFERENCE_NATIVE_BASELINE/REFERENCE_NATIVE_BASELINE_UNCLASSIFIED_ROLE_60c5e7a0ce13_native_poly_frommsg_harness_20260724T131455Z.c	FROMMSG00A2_NATIVE_OVERLAP_BASELINE/native_poly_frommsg_harness_20260724T131455Z.c
T1	POSITIVE	7a9cce12f267c0af4c25da6564bcb57169d7b47d5d4b322a7d2853bfa1d01ec7	T1/T1_POSITIVE_7a9cce12f267_frommsg_t1_exact_harness.c	FROMMSG_T1_AUTHORITATIVE_CLOSURE/RUN_20260724T140238Z_LITANI_INIT_RETRY/frommsg_t1_exact_harness.c
T1	MUTATION	36a92dc36bcbeb43ee7ff69c23f8c1077d696cadab450d3b7590bc58cc1d2b46	T1/T1_MUTATION_36a92dc36bcb_frommsg_t1_mutation_harness.c	FROMMSG_T1_AUTHORITATIVE_CLOSURE/RUN_20260724T140238Z_LITANI_INIT_RETRY/frommsg_t1_mutation_harness.c
T1	REACHABILITY,INTEGRITY_COMPANION	c4fd88a694a9bd420ec2d39d58232b40e7f0978e1b8512970eb0c0ddc46df615	T1/T1_REACHABILITY_INTEGRITY_COMPANION_c4fd88a694a9_frommsg_t1_reachability_harness.c	FROMMSG_T1_AUTHORITATIVE_CLOSURE/RUN_20260724T140238Z_LITANI_INIT_RETRY/frommsg_t1_reachability_harness.c
T2	MUTATION	a57b9af0d386fa6682df69294ef7275de22d0e1811e92f5d24991d908a11efa2	T2/T2_MUTATION_a57b9af0d386_frommsg_t2_mutation_harness.c	FROMMSG_T2_AUTHORITATIVE_CLOSURE/RUN_20260724T150425Z/frommsg_t2_mutation_harness.c
T2	REACHABILITY,INTEGRITY_COMPANION	f6492b2d4880ae7b8a032e42cddbe2d48311413a97fe13a429872090916ffd4a	T2/T2_REACHABILITY_INTEGRITY_COMPANION_f6492b2d4880_frommsg_t2_reachability_harness.c	FROMMSG_T2_AUTHORITATIVE_CLOSURE/RUN_20260724T150425Z/frommsg_t2_reachability_harness.c
T2	POSITIVE	d737862668ee87ce13e566157ee3dc9ecc89eaa1fadded0f9370dbf1cd3fa532	T2/T2_POSITIVE_d737862668ee_frommsg_t2_relational_harness.c	FROMMSG_T2_AUTHORITATIVE_CLOSURE/RUN_20260724T150425Z/frommsg_t2_relational_harness.c
T3	POSITIVE,COMPOSITION	89311dbccb474c7d3e9ef66520ec0da702e85074c26c3de4774a3cd7ee9a82fe	T3/T3_POSITIVE_COMPOSITION_89311dbccb47_frommsg_t3_codec_inversion_harness.c	FROMMSG_T3_AUTHORITATIVE_CLOSURE/RUN_20260724T154928Z/frommsg_t3_codec_inversion_harness.c
T3	MUTATION,INTEGRITY_COMPANION,COMPOSITION	68b9b429185c5f6cc6fcbe9cca6b88cab8f1dd6836ab0e60a874b109423dd150	T3/T3_MUTATION_INTEGRITY_COMPANION_COMPOSITION_68b9b429185c_frommsg_t3_mutation_harness.c	FROMMSG_T3_AUTHORITATIVE_CLOSURE/RUN_20260724T154928Z/frommsg_t3_mutation_harness.c
T3	REACHABILITY,INTEGRITY_COMPANION,COMPOSITION	1d77870028e56ca52b943ab14803c40ec857c51045e60b9d7508e39577a6d195	T3/T3_REACHABILITY_INTEGRITY_COMPANION_COMPOSITION_1d77870028e5_frommsg_t3_reachability_harness.c	FROMMSG_T3_AUTHORITATIVE_CLOSURE/RUN_20260724T154928Z/frommsg_t3_reachability_harness.c
T3	COMPOSITION,BINDING	f54e9677507191cd2e8a27705211aa3dea4e2e1b421d0b993fef9d210d12c21a	T3/T3_COMPOSITION_BINDING_f54e96775071_frommsg_t3_binding_harness_20260724T151257Z.c	FROMMSG_T3_CODEC_COMPOSITION_BINDING/RUN_20260724T151257Z/frommsg_t3_binding_harness_20260724T151257Z.c
T4	POSITIVE	a21c23836870033068dc1b5bd2d2168ff37b92750eac6222a7a7a91fbd725c7d	T4/T4_POSITIVE_a21c23836870_frommsg_t4_support_weight_metric_harness_20260724T161124Z.c	FROMMSG_T4_SUPPORT_WEIGHT_METRIC_PREFLIGHT/RUN_20260724T161124Z/frommsg_t4_support_weight_metric_harness_20260724T161124Z.c
T1	UNCLASSIFIED_ROLE	657afc885742ee6bbef421dbf336c07ed0b40f95a92ff251ffb56122dc285266	T1/T1_UNCLASSIFIED_ROLE_657afc885742_frommsg_t1_exact_binary_embedding_harness.c	FROMSGT1P0_DIRECT_BODY_PREFLIGHT/frommsg_t1_exact_binary_embedding_harness.c
T1	REACHABILITY	9801faa01860a7ddc6e1a8b92e12df49db5280d9ff5cf3f1048ecb8547abbe03	T1/T1_REACHABILITY_9801faa01860_frommsg_t1_nonvacuity_harness.c	FROMSGT1_AUTHORITATIVE_COMBINED_R2/frommsg_t1_nonvacuity_harness.c
T1	MUTATION	f134df4310fc92af17c2a16cf5d56632d32ed379b5c62979a73195d3f486633e	T1/T1_MUTATION_f134df4310fc_MUTATION_ALWAYS_HALF_harness.c	FROMSGT1_AUTHORITATIVE_FINAL_R3/MUTATION_ALWAYS_HALF_harness.c
