case_id	harness	namespace	classification	required_calls	central_marker
T3A_EXACT	sub_t3a_exact_sub_add_harness.c	mlk_sub00o_t3a	POSITIVE_THEOREM	add,sub	SUB_T3A_CANCELLATION
T3B_EXACT	sub_t3b_exact_add_sub_harness.c	mlk_sub00o_t3b	POSITIVE_THEOREM	add,sub	SUB_T3B_CANCELLATION
T3C_MODULAR	sub_t3c_modular_cancellation_harness.c	mlk_sub00o_t3c	POSITIVE_THEOREM	add,sub,reduce	SUB_T3C_CANCELLATION
T3_COVERAGE	sub_t3_coverage_harness.c	mlk_sub00o_cov	COVERAGE	sub,reduce	Property main.coverage.
T3A_VALID_LOWER	sub_t3a_valid_lower_harness.c	mlk_sub00o_a_vl	POSITIVE_BOUNDARY	add,sub	SUB_T3A_VALID_LOWER
T3A_VALID_UPPER	sub_t3a_valid_upper_harness.c	mlk_sub00o_a_vu	POSITIVE_BOUNDARY	add,sub	SUB_T3A_VALID_UPPER
T3A_INVALID_LOWER	sub_t3a_invalid_lower_harness.c	mlk_sub00o_a_il	NEGATIVE_CONTROL	sub	SUB_T3A_INVALID_LOWER_CONTROL
T3A_INVALID_UPPER	sub_t3a_invalid_upper_harness.c	mlk_sub00o_a_iu	NEGATIVE_CONTROL	sub	SUB_T3A_INVALID_UPPER_CONTROL
T3B_VALID_LOWER	sub_t3b_valid_lower_harness.c	mlk_sub00o_b_vl	POSITIVE_BOUNDARY	add,sub	SUB_T3B_VALID_LOWER
T3B_VALID_UPPER	sub_t3b_valid_upper_harness.c	mlk_sub00o_b_vu	POSITIVE_BOUNDARY	add,sub	SUB_T3B_VALID_UPPER
T3B_INVALID_LOWER	sub_t3b_invalid_lower_harness.c	mlk_sub00o_b_il	NEGATIVE_CONTROL	add	SUB_T3B_INVALID_LOWER_CONTROL
T3B_INVALID_UPPER	sub_t3b_invalid_upper_harness.c	mlk_sub00o_b_iu	NEGATIVE_CONTROL	add	SUB_T3B_INVALID_UPPER_CONTROL
T3C_SUM_BOUNDARIES	sub_t3c_recovery_sum_boundaries_harness.c	mlk_sub00o_c_bound	POSITIVE_BOUNDARY	add,sub,reduce	SUB_T3C_BOUNDARY
