original_path,size_bytes,sha256,basename,action,reason,canonical_original_path,canonical_repository_destination
mlk_poly_tomsg_cleanroom/MSG00CDE_af4c5abdd595/MSG00CDE_PATH_BINDING_AMENDMENT.md,1328,0f739b77285edb9fd512eb899a1c7ba0cc98ad6673e3848a89a3ebb0f89d34c3,MSG00CDE_PATH_BINDING_AMENDMENT.md,omit-exact-duplicate-with-ledger,omitted-exact-same-name-and-content-evidence-copy,mlk_poly_tomsg_cleanroom/MSG01M_R2_T1_FINAL_EVIDENCE_CONSOLIDATION_af4c5abdd595/records/01_candidate_freeze/MSG00CDE_PATH_BINDING_AMENDMENT.md,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/06-final-evidence-consolidation/02-revision-2-final/MSG01M_R2_T1_FINAL_EVIDENCE_CONSOLIDATION_af4c5abdd595/records/01_candidate_freeze/MSG00CDE_PATH_BINDING_AMENDMENT.md
mlk_poly_tomsg_cleanroom/MSG00_af4c5ab/MSG00B_C_F_NATIVE_BASELINE_MLKEM768_RUN1.INPROGRESS/00_source_binding/MSG00A_R2_af4c5ab_poly_tomsg_inventory.txt,23357,562c73acbb6df3228da64706ba6a6f312a1499dbcdf29f7c1ada290726288551,MSG00A_R2_af4c5ab_poly_tomsg_inventory.txt,omit-exact-duplicate-with-ledger,omitted-exact-same-name-and-content-evidence-copy,mlk_poly_tomsg_cleanroom/MSG00_af4c5ab/MSG00B_C_F_NATIVE_BASELINE_MLKEM768_RUN2/source_binding/MSG00A_R2_af4c5ab_poly_tomsg_inventory.txt,experiments/poly-tomsg/00-campaign-context/04-native-baseline-runs/MSG00_af4c5ab/MSG00B_C_F_NATIVE_BASELINE_MLKEM768_RUN2/source_binding/MSG00A_R2_af4c5ab_poly_tomsg_inventory.txt
mlk_poly_tomsg_cleanroom/MSG00_af4c5ab/MSG00B_C_F_NATIVE_BASELINE_MLKEM768_RUN1.INPROGRESS/01_source_snapshot/mlkem/src/compress.c,24427,9201bea6ddd1d7622cc6496d2f745fee52397d203392f75a3d6e52a400de5bad,compress.c,omit-exact-duplicate-with-ledger,omitted-exact-same-name-and-content-evidence-copy,mlk_poly_tomsg_cleanroom/MSG05G_T5_FINAL_ACCEPTANCE_AND_EVIDENCE_FREEZE_20260723T165407Z_af4c5abdd595/04_frozen_source/compress.c,experiments/poly-tomsg/MSG-T5-exact-offset-interval/06-final-acceptance-and-evidence-freeze/MSG05G_T5_FINAL_ACCEPTANCE_AND_EVIDENCE_FREEZE_20260723T165407Z_af4c5abdd595/04_frozen_source/compress.c
mlk_poly_tomsg_cleanroom/MSG00_af4c5ab/MSG00B_C_F_NATIVE_BASELINE_MLKEM768_RUN1.INPROGRESS/01_source_snapshot/mlkem/src/compress.h,20187,0f357a30e7ea37351854dc550e502e5a7eaf80184896bf92b40073175706e0dd,compress.h,omit-exact-duplicate-with-ledger,omitted-exact-same-name-and-content-evidence-copy,mlk_poly_tomsg_cleanroom/MSG05G_T5_FINAL_ACCEPTANCE_AND_EVIDENCE_FREEZE_20260723T165407Z_af4c5abdd595/04_frozen_source/compress.h,experiments/poly-tomsg/MSG-T5-exact-offset-interval/06-final-acceptance-and-evidence-freeze/MSG05G_T5_FINAL_ACCEPTANCE_AND_EVIDENCE_FREEZE_20260723T165407Z_af4c5abdd595/04_frozen_source/compress.h
mlk_poly_tomsg_cleanroom/MSG00_af4c5ab/MSG00B_C_F_NATIVE_BASELINE_MLKEM768_RUN1.INPROGRESS/04_native_baseline/logs/result-err-log.txt,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,result-err-log.txt,omit-exact-duplicate-with-ledger,omitted-exact-same-name-and-content-evidence-copy,mlk_poly_tomsg_cleanroom/MSG00_af4c5ab/MSG00B_C_F_NATIVE_BASELINE_MLKEM768_RUN3/03_native_baseline_acceptance/result-err-log.txt,experiments/poly-tomsg/00-campaign-context/04-native-baseline-runs/MSG00_af4c5ab/MSG00B_C_F_NATIVE_BASELINE_MLKEM768_RUN3/03_native_baseline_acceptance/result-err-log.txt
mlk_poly_tomsg_cleanroom/MSG00_af4c5ab/MSG00B_C_F_NATIVE_BASELINE_MLKEM768_RUN1.INPROGRESS/04_native_baseline/logs/result.txt,41450,4e39811e4ec0a4676069885db34bf7652812c9d3f0bf855851702e5cf202d26e,result.txt,omit-exact-duplicate-with-ledger,omitted-exact-same-name-and-content-evidence-copy,mlk_poly_tomsg_cleanroom/MSG00_af4c5ab/MSG00B_C_F_NATIVE_BASELINE_MLKEM768_RUN3/03_native_baseline_acceptance/result.txt,experiments/poly-tomsg/00-campaign-context/04-native-baseline-runs/MSG00_af4c5ab/MSG00B_C_F_NATIVE_BASELINE_MLKEM768_RUN3/03_native_baseline_acceptance/result.txt
mlk_poly_tomsg_cleanroom/MSG01C_T1_CANDIDATE_V3_SCU_af4c5abdd595/inspection/msg_t1_threshold_oracle_body.txt,94,9627d7d3a35ab76f38820c3db79f33dbcb3c156a3676995f3832cfedd952e9a8,msg_t1_threshold_oracle_body.txt,omit-exact-duplicate-with-ledger,omitted-exact-same-name-and-content-evidence-copy,mlk_poly_tomsg_cleanroom/MSG01B_T1_CANDIDATE_V2_af4c5abdd595/inspection/msg_t1_threshold_oracle_body.txt,experiments/poly-tomsg/MSG-T1-exact-fips-semantics/00-candidate-development/02-candidate-v2/MSG01B_T1_CANDIDATE_V2_af4c5abdd595/inspection/msg_t1_threshold_oracle_body.txt
mlk_poly_tomsg_cleanroom/MSG01C_T1_CANDIDATE_V3_SCU_af4c5abdd595/logs/goto_build_stderr.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,goto_build_stderr.txt,omit-exact-duplicate-with-ledger,omitted-exact-same-name-and-content-evidence-copy,mlk_poly_tomsg_cleanroom/MSG02B_R1_T2_RELATIONAL_XOR_RUN1_20260723T113821Z_af4c5abdd595/07_logs/goto_build_stderr.txt,experiments/poly-tomsg/MSG-T2-relational-properties/01-R1-xor-relational-run/MSG02B_R1_T2_RELATIONAL_XOR_RUN1_20260723T113821Z_af4c5abdd595/07_logs/goto_build_stderr.txt
mlk_poly_tomsg_cleanroom/MSG01C_T1_CANDIDATE_V3_SCU_af4c5abdd595/logs/goto_build_stdout.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,goto_build_stdout.txt,omit-exact-duplicate-with-ledger,omitted-exact-same-name-and-content-evidence-copy,mlk_poly_tomsg_cleanroom/MSG02B_R1_T2_RELATIONAL_XOR_RUN1_20260723T113821Z_af4c5abdd595/07_logs/goto_build_stdout.txt,experiments/poly-tomsg/MSG-T2-relational-properties/01-R1-xor-relational-run/MSG02B_R1_T2_RELATIONAL_XOR_RUN1_20260723T113821Z_af4c5abdd595/07_logs/goto_build_stdout.txt
mlk_poly_tomsg_cleanroom/MSG01E_T1_CANDIDATE_V4_CONTRACT_ERASED_af4c5abdd595/logs/goto_build_stderr.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,goto_build_stderr.txt,omit-exact-duplicate-with-ledger,omitted-exact-same-name-and-content-evidence-copy,mlk_poly_tomsg_cleanroom/MSG02B_R1_T2_RELATIONAL_XOR_RUN1_20260723T113821Z_af4c5abdd595/07_logs/goto_build_stderr.txt,experiments/poly-tomsg/MSG-T2-relational-properties/01-R1-xor-relational-run/MSG02B_R1_T2_RELATIONAL_XOR_RUN1_20260723T113821Z_af4c5abdd595/07_logs/goto_build_stderr.txt
