loop_id	unwind_bound	rationale
main.0	257	256-coefficient harness initialization
main.1	257	256-coefficient representability assumptions
main.2	257	256-coefficient post-subtraction frame checks
main.3	257	256-coefficient semantic and final-frame checks
mlk_vc_sr1_poly_sub.0	257	256-coefficient production subtraction
mlk_barrett_reduce.0	2	single-element internal bound assertion
mlk_poly_reduce_c.0	257	256-coefficient production reduction
mlk_poly_reduce_c.1	257	256-coefficient final bound assertion
mlk_scalar_signed_to_unsigned_q.0	2	single-element input bound assertion
mlk_scalar_signed_to_unsigned_q.1	2	single-element output bound assertion
