property_record_id,case_id,detail_file,status,principal_role,appendix_projection,historical_id,evidence_locator_id,rendering_basis
PR-C01-001,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTING_CONTROL,EVIDENCE_OR_DOMAIN_CONTROL,Not enumerated as a supported Appendix-1 property by design; retained only in the complete evidence layer.,PA-01.B1,LOC-C01-UA,conservative rendered formalization.
PR-C01-002,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTING_CONTROL,EVIDENCE_OR_DOMAIN_CONTROL,Not enumerated as a supported Appendix-1 property by design; retained only in the complete evidence layer.,PA-01.B2,LOC-C01-UA,conservative rendered formalization.
PR-C01-003,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,DOMAIN_RANGE_AND_REPRESENTATION_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 1, “Exact addition over canonical coefficients”.",PA-01.P1,LOC-C01-UA,direct rendering of ledger relation.
PR-C01-004,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,DOMAIN_RANGE_AND_REPRESENTATION_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 2, “Canonical-input result lower bound”.",PA-01.P2,LOC-C01-UA,direct rendering of ledger relation.
PR-C01-005,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,DOMAIN_RANGE_AND_REPRESENTATION_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 3, “Canonical-input result upper bound”.",PA-01.P3,LOC-C01-UA,direct rendering of ledger relation.
PR-C01-006,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,DOMAIN_RANGE_AND_REPRESENTATION_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 4, “Modulo-(q) refinemen”.",PA-01.P4,LOC-C01-UA,appendix-ledger audited equation.
PR-C01-007,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,STATE_AND_FRAME_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 5, “Left-input preservation”.",PA-01.P5A,LOC-C01-UA,direct rendering of ledger relation.
PR-C01-008,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,STATE_AND_FRAME_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 6, “Right-input preservation”.",PA-01.P5B,LOC-C01-UA,direct rendering of ledger relation.
PR-C01-009,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,STATE_AND_FRAME_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 7, “Zero-object preservation”.",PA-01.P5C,LOC-C01-UA,direct rendering of ledger relation.
PR-C01-010,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,DOMAIN_RANGE_AND_REPRESENTATION_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 8, “Commutativity over the registered canonical domain”.",PA-01.P6,LOC-C01-UA,appendix-ledger audited equation.
PR-C01-011,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,DOMAIN_RANGE_AND_REPRESENTATION_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 9, “Additive identity”.",PA-01.P7,LOC-C01-UA,direct rendering of ledger relation.
PR-C01-012,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,DIRECT_SEMANTIC_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 10, “Exact signed-domain addition under representability”.",PA-02A.P1,LOC-C01-UA,appendix-ledger audited equation.
PR-C01-013,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED_WITH_PARTIAL_PRESERVATION,DIRECT_SEMANTIC_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 11, “Signed-domain modulo refinement”. The same preservation qualification is also disclosed in Appendix 2.",PA-02B.P2,LOC-C01-UA,appendix-ledger audited equation.
PR-C01-014,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED_WITH_PARTIAL_PRESERVATION,DIRECT_SEMANTIC_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 12, “Canonical-residue compatibility”. The same preservation qualification is also disclosed in Appendix 2.",PA-02B.P3,LOC-C01-UA,appendix-ledger audited equation.
PR-C01-015,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,STATE_AND_FRAME_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 13, “Registered read-only and guard preservation”.",PA-02C.P4,LOC-C01-UA,appendix-ledger audited equation.
PR-C01-016,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,RELATIONAL_OR_STRUCTURAL_STRENGTHENING,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 14, “Commutativity over the registered signed representable domain”.",PA-02D.P5,LOC-C01-UA,appendix-ledger audited equation.
PR-C01-017,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,RELATIONAL_OR_STRUCTURAL_STRENGTHENING,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 15, “Additive identity over the signed machine domain”.",PA-02E.P6,LOC-C01-UA,direct rendering of ledger relation.
PR-C01-018,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,MEANINGFUL_NEGATIVE,BOUNDARY_NEGATIVE,Appendix 2 → Case 1 meaningful-negative finding 1 (PA-03),PA-03.N1,LOC-C01-UA,Appendix 2 candidate proposition; retained counterexample makes the universal proposition false.
PR-C01-019,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED_DIAGNOSTIC,DIRECT_SEMANTIC_SUPPORT,Not enumerated as a supported Appendix-1 property by design; retained only in the complete evidence layer.,PA-04A.P1,LOC-C01-UA,conservative rendered formalization.
PR-C01-020,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED_DIAGNOSTIC,DIRECT_SEMANTIC_SUPPORT,Not enumerated as a supported Appendix-1 property by design; retained only in the complete evidence layer.,PA-04A.P2,LOC-C01-UA,conservative rendered formalization.
PR-C01-021,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED_DIAGNOSTIC,DIRECT_SEMANTIC_SUPPORT,Not enumerated as a supported Appendix-1 property by design; retained only in the complete evidence layer.,PA-04A.P3,LOC-C01-UA,conservative rendered formalization.
PR-C01-022,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED_DIAGNOSTIC,DIRECT_SEMANTIC_SUPPORT,Not enumerated as a supported Appendix-1 property by design; retained only in the complete evidence layer.,PA-04A.P4,LOC-C01-UA,conservative rendered formalization.
PR-C01-023,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED_DIAGNOSTIC,STATE_AND_FRAME_SUPPORT,Not enumerated as a supported Appendix-1 property by design; retained only in the complete evidence layer.,PA-04A.P5,LOC-C01-UA,conservative rendered formalization.
PR-C01-024,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED_DIAGNOSTIC,DOMAIN_RANGE_AND_REPRESENTATION_SUPPORT,Not enumerated as a supported Appendix-1 property by design; retained only in the complete evidence layer.,PA-04A.P6,LOC-C01-UA,conservative rendered formalization.
PR-C01-025,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,MEANINGFUL_NEGATIVE,BOUNDARY_NEGATIVE,Appendix 2 → Case 1 meaningful-negative finding 2 (PA-04B),PA-04B.N1,LOC-C01-UA,Appendix 2 unrestricted alias-doubling candidate; retained counterexample makes the universal proposition false.
PR-C01-026,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,DOMAIN_RANGE_AND_REPRESENTATION_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 16, “ML-KEM-768 caller-parameter binding”.",PA05A-B1,LOC-C01-UA,conservative rendered formalization.
PR-C01-027,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,STATE_AND_FRAME_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 17, “Caller-level vector-object separation”.",PA05A-D1,LOC-C01-UA,conservative rendered formalization.
PR-C01-028,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,STATE_AND_FRAME_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 18, “Nested polynomial-object separation”.",PA05A-D2,LOC-C01-UA,conservative rendered formalization.
