original_archive_path	sha256	size	retained_equivalent_destination	reason
mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/.git/HEAD	3a71e5f177443604a5cc0b95847b0f86101d8372ebd8d8b8c17ffe5ed268d35f	41	[frozen original ZIP]	Nested Git database metadata is unsafe and unnecessary in the active repository; preserved byte-for-byte in the frozen original ZIP.
mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/.git/config	acf17d186db9e29f07016eefaceb2f69fd29935e7259b21f1f0ec415a7c3c49d	209	[frozen original ZIP]	Nested Git database metadata is unsafe and unnecessary in the active repository; preserved byte-for-byte in the frozen original ZIP.
mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/.git/description	85ab6c163d43a17ea9cf7788308bca1466f1b0a8d1cc92e26e9bf63da4062aee	73	[frozen original ZIP]	Nested Git database metadata is unsafe and unnecessary in the active repository; preserved byte-for-byte in the frozen original ZIP.
mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/.git/hooks/applypatch-msg.sample	0223497a0b8b033aa58a3a521b8629869386cf7ab0e2f101963d328aa62193f7	478	[frozen original ZIP]	Nested Git database metadata is unsafe and unnecessary in the active repository; preserved byte-for-byte in the frozen original ZIP.
mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/.git/hooks/commit-msg.sample	1f74d5e9292979b573ebd59741d46cb93ff391acdd083d340b94370753d92437	896	[frozen original ZIP]	Nested Git database metadata is unsafe and unnecessary in the active repository; preserved byte-for-byte in the frozen original ZIP.
mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/.git/hooks/fsmonitor-watchman.sample	e0549964e93897b519bd8e333c037e51fff0f88ba13e086a331592bf801fa1d0	4726	[frozen original ZIP]	Nested Git database metadata is unsafe and unnecessary in the active repository; preserved byte-for-byte in the frozen original ZIP.
mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/.git/hooks/post-update.sample	81765af2daef323061dcbc5e61fc16481cb74b3bac9ad8a174b186523586f6c5	189	[frozen original ZIP]	Nested Git database metadata is unsafe and unnecessary in the active repository; preserved byte-for-byte in the frozen original ZIP.
mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/.git/hooks/pre-applypatch.sample	e15c5b469ea3e0a695bea6f2c82bcf8e62821074939ddd85b77e0007ff165475	424	[frozen original ZIP]	Nested Git database metadata is unsafe and unnecessary in the active repository; preserved byte-for-byte in the frozen original ZIP.
mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/.git/hooks/pre-commit.sample	f9af7d95eb1231ecf2eba9770fedfa8d4797a12b02d7240e98d568201251244a	1643	[frozen original ZIP]	Nested Git database metadata is unsafe and unnecessary in the active repository; preserved byte-for-byte in the frozen original ZIP.
mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/.git/hooks/pre-merge-commit.sample	d3825a70337940ebbd0a5c072984e13245920cdf8898bd225c8d27a6dfc9cb53	416	[frozen original ZIP]	Nested Git database metadata is unsafe and unnecessary in the active repository; preserved byte-for-byte in the frozen original ZIP.
mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/.git/hooks/pre-push.sample	ecce9c7e04d3f5dd9d8ada81753dd1d549a9634b26770042b58dda00217d086a	1374	[frozen original ZIP]	Nested Git database metadata is unsafe and unnecessary in the active repository; preserved byte-for-byte in the frozen original ZIP.
mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/.git/hooks/pre-rebase.sample	4febce867790052338076f4e66cc47efb14879d18097d1d61c8261859eaaa7b3	4898	[frozen original ZIP]	Nested Git database metadata is unsafe and unnecessary in the active repository; preserved byte-for-byte in the frozen original ZIP.
mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/.git/hooks/pre-receive.sample	a4c3d2b9c7bb3fd8d1441c31bd4ee71a595d66b44fcf49ddb310252320169989	544	[frozen original ZIP]	Nested Git database metadata is unsafe and unnecessary in the active repository; preserved byte-for-byte in the frozen original ZIP.
mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/.git/hooks/prepare-commit-msg.sample	e9ddcaa4189fddd25ed97fc8c789eca7b6ca16390b2392ae3276f0c8e1aa4619	1492	[frozen original ZIP]	Nested Git database metadata is unsafe and unnecessary in the active repository; preserved byte-for-byte in the frozen original ZIP.
mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/.git/hooks/push-to-checkout.sample	a53d0741798b287c6dd7afa64aee473f305e65d3f49463bb9d7408ec3b12bf5f	2783	[frozen original ZIP]	Nested Git database metadata is unsafe and unnecessary in the active repository; preserved byte-for-byte in the frozen original ZIP.
mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/.git/hooks/sendemail-validate.sample	44ebfc923dc5466bc009602f0ecf067b9c65459abfe8868ddc49b78e6ced7a92	2308	[frozen original ZIP]	Nested Git database metadata is unsafe and unnecessary in the active repository; preserved byte-for-byte in the frozen original ZIP.
mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/.git/hooks/update.sample	8d5f2fa83e103cf08b57eaa67521df9194f45cbdbcb37da52ad586097a14d106	3650	[frozen original ZIP]	Nested Git database metadata is unsafe and unnecessary in the active repository; preserved byte-for-byte in the frozen original ZIP.
mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/.git/index	11e3a362dda6fb47cf73296f0e6353c43c68f59dd1b8ecbe39df5806a327c211	153460	[frozen original ZIP]	Nested Git database metadata is unsafe and unnecessary in the active repository; preserved byte-for-byte in the frozen original ZIP.
mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/.git/info/exclude	6671fe83b7a07c8932ee89164d1f2793b2318058eb8b98dc5c06ee0a5a3b0ec1	240	[frozen original ZIP]	Nested Git database metadata is unsafe and unnecessary in the active repository; preserved byte-for-byte in the frozen original ZIP.
mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/.git/logs/HEAD	5b41f19913c2e6d36150618ef4c0c1989095ac694b5eb7c5251a5273834290d5	219	[frozen original ZIP]	Nested Git database metadata is unsafe and unnecessary in the active repository; preserved byte-for-byte in the frozen original ZIP.
mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/.git/objects/pack/pack-acb9ef0b53b1a871b52c0a82c61bcc8035073ea1.idx	44bee11de2d21525c9056cd12400ccf44ca702125188b4ab33588baa99d2ac45	1441140	[frozen original ZIP]	Nested Git database metadata is unsafe and unnecessary in the active repository; preserved byte-for-byte in the frozen original ZIP.
mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/.git/objects/pack/pack-acb9ef0b53b1a871b52c0a82c61bcc8035073ea1.pack	3963631b1bd94cf8c1224b809616d9ac4ebf075e7ddf44a43f775bbf547690e3	39812855	[frozen original ZIP]	Nested Git database metadata is unsafe and unnecessary in the active repository; preserved byte-for-byte in the frozen original ZIP.
mlk_kem_check_pk_cleanroom/PKCHECK_00BC_01A_ADMISSION_20260730T013748Z/mlkem-native_af4c5abd_isolated/.git/objects/pack/pack-acb9ef0b53b1a871b52c0a82c61bcc8035073ea1.rev	ca1ba6c4bd616ab772fbe54ef1ed4719d6c6da8f14a02bd11e331bdb6a13a093	205776	[frozen original ZIP]	Nested Git database metadata is unsafe and unnecessary in the active repository; preserved byte-for-byte in the frozen original ZIP.
