RUNS OCCURED	1
Selected-claim mapping	YES
Target reachability	YES
Assertion reachability	YES
Assumption feasibility	YES
Evidence completeness	COMPLETE
Repository distinctness	SUPPORTED
Contamination	NONE KNOWN
Overall verdict	PASS_COMPLETE_SKILL_ASSISTED_POLY_SUB_CORPUS
SA_SUB_T1 proof	PASS
SA_SUB_T1 successful properties	345
SA_SUB_T1 satisfied cover goals	7
SA_SUB_T2 proof	PASS
SA_SUB_T2 successful properties	52
SA_SUB_T2 satisfied cover goals	6
Total successful properties	397
Total satisfied cover goals	13
