ID	Property	Domain	Result	Classification
T5.P19	Complete offset design-domain numerator safety	All int16 a and all offsets in 0..67108863	PASS	Parameter-domain safety
T5.P20	Every admissible offset is full-domain correct	All int16 a and all offsets in 33548599..33560264	PASS	Interval sufficiency
T5.P21	Every lower design-domain offset rejected	All offsets in 0..33548598	PASS	Lower necessity
T5.P22	Every upper design-domain offset rejected	All offsets in 33560265..67108863	PASS	Upper necessity
T5.P23	Two endpoint witnesses exactly characterize interval	All offsets in 0..67108863	PASS	Exact interval theorem
T5.P24	Production offset full-domain sufficiency and target binding	All 65536 int16 inputs	PASS	Implementation binding
C5	Endpoint, margin, count, safety and production controls	12 concrete assertions	PASS	Boundary/non-vacuity control
T5-M1	Lower interval widened to 33548598	All symbolic T5 domains	KILLED by P20	Lower-bound mutation
T5-M2	Upper interval widened to 33560265	All symbolic T5 domains	KILLED by P20	Upper-bound mutation
T5-M3	Only production offset claimed valid	All symbolic T5 domains	KILLED by P23	False uniqueness mutation
