rq2_evidence_id,architecture_generation,configuration_state,separate_architectural_generation,target_or_purpose,reasoning_mode,evidence_class,principal_source_record_id,evidence_reference,principal_expected_sha256,release_classification,bounded_evidential_role,preservation_status,notes
RQ2-E01,V1,initial architectural prototype,YES,workflow architecture,deterministic Python specialist agents,ARCHITECTURE_SNAPSHOT,SRC-V1-PUB,manifests/v1-evaluated-initial-workflow-publication-metadata.txt,a96ffc32a65b0d21a04d3033db4320098810f4a6cac356031ff8bbb4eb39233f,RELEASE_CLASSIFICATION_PASS,Preserves the pre-Agent-2-V2 agent set. The published snapshot contains ten Python agent files and no executed run corpus; it supports an incomplete-prototype characterization rather than an end-to-end result.,COMPLETE,
RQ2-E02,V2,completed replayable deterministic workflow,YES,workflow architecture and three-run development sequence,deterministic Python workflow,ARCHITECTURE_AND_RUN_SEQUENCE,SRC-V2-COMP,v2-evaluated-initial-workflow/runs/mlk_poly_add_case_study_summary/run_001_002_003_comparison.csv,195ace350acab5c4a9e4bf5fcc61a08b8e3c2002c0cff2382199340b07f4ec79,RELEASE_CLASSIFICATION_PASS,"Supports the replayable V2 sequence and the distinction among baseline failure, human-corrected success and later workflow reproduction of the correction pattern.",COMPLETE,
RQ2-E03,V2,initial deterministic run,NO,mlk_poly_add run 001,deterministic Python workflow,RUN,SRC-V2-R1-SUM,v2-evaluated-initial-workflow/runs/run_001_mlk_poly_add_fresh_baseline/final_run_summary.json,a8db342c81c816e611a357ce73ee93a5fa477ebb23a170fe45d77fd08e296d94,RELEASE_CLASSIFICATION_PASS,Initial candidate pipeline run; ended unresolved/tool-failed with a dry-run CBMC status and exposed a faulty in-place old-state assertion design.,COMPLETE,
RQ2-E04,V2,human-corrected continuation,NO,mlk_poly_add run 002,human-corrected CBMC harness inside V2 study,RUN,SRC-V2-R2-SUM,v2-evaluated-initial-workflow/runs/run_002_mlk_poly_add_human_corrected_cbmc/run_002_result_summary.md,d076ec5567b1a0c14af5ea4d30538fd197f673fc10aa6286189f7f7eacc0b367,RELEASE_CLASSIFICATION_PASS,Human-corrected harness reached CBMC success for one bounded local property after build-context and unwind corrections; semantic origin must be attributed to human correction.,COMPLETE,
RQ2-E05,V2,post-correction workflow run,NO,mlk_poly_add run 003,deterministic workflow after learned template update,RUN,SRC-V2-R3-SUM,v2-evaluated-initial-workflow/runs/run_003_mlk_poly_add_agent_improved_cbmc/final_run_summary.json,63a0362aee0d2a6ae01e4938bc3c732b02239ee4a44698d71e83d964ec31103b,RELEASE_CLASSIFICATION_PASS,"Workflow-generated harness later reached selected-property CBMC success, but the correction pattern had already been introduced through Run 002 and encoded into Agent 5.",COMPLETE,
RQ2-E06,V3,API-backed LLM-integrated workflow,YES,workflow architecture,stateless API-backed LLM stages with deterministic orchestration,ARCHITECTURE_SNAPSHOT,SRC-V3-README,v3-evaluated-llm-integrated-workflow/README_FINAL_DEPLOYMENT.md,53773879d28963d2db13913beb88438c6dfda7c0f369a25592265460ea09af1f,RELEASE_CLASSIFICATION_PASS,"Establishes genuine LLM-authoritative candidate stages within deterministic orchestration; release-gate success is engineering readiness, not semantic lifecycle success.",COMPLETE,
RQ2-E07,V3,real API run 001,NO,mlk_poly_add,stateless API-backed LLM,RUN,SRC-V3-R1-STATUS,v3-evaluated-llm-integrated-workflow/runs/run_001_poly_add_real_20260711/status.json,c7d818fbcc2a7e5f1b371ebfb26c3bd17cf75ccd189dc45dc6e6e5c5a99808ce,RELEASE_CLASSIFICATION_PASS,Real API-backed candidate workflow; critic identified a formal entry-point/build-plan mismatch and the run ended with repair required at the iteration limit.,COMPLETE,
RQ2-E08,V3,scoped full-FIPS real API run,NO,mlk_poly_add,stateless API-backed LLM,RUN,SRC-V3-R2-STATUS,v3-evaluated-llm-integrated-workflow/runs/run_poly_add_scoped_fullfips_gpt54mini_none_20260711_080559/status.json,a550702ebafa4f7b0862069f55e07b57ae40989032ade863a7a940c1d175ed5e,RELEASE_CLASSIFICATION_PASS,Real API calls and schema-valid candidate output are preserved; run ended without a clean selected-property result because critic requested repair at the iteration limit.,COMPLETE,
RQ2-E09,V3,repair follow-up run,NO,mlk_poly_add,stateless API-backed LLM,RUN,SRC-V3-R3-STATUS,v3-evaluated-llm-integrated-workflow/runs/run_poly_add_scoped_fullfips_gpt54mini_none_repair1_20260711_095925/status.json,d14ea72e976c54a806341572242a7a505e6508b08fab149771172f3244cb6c69,RELEASE_CLASSIFICATION_PASS,Run terminated as orchestrator_failed at property discovery.,COMPLETE,
RQ2-E10,V3,xhigh follow-up run,NO,mlk_poly_add,stateless API-backed LLM,RUN,SRC-V3-R4-STATUS,v3-evaluated-llm-integrated-workflow/runs/run_poly_add_scoped_fullfips_gpt54mini_xhigh_20260711_063722/status.json,13298f421e8a4aa34f4362e0236fb66e8a78da0393af829e6dd8c8cedbd8fc48,RELEASE_CLASSIFICATION_PASS,Run terminated as orchestrator_failed at specification extraction.,COMPLETE,
RQ2-E11,V4,LLM-first second-generation baseline,YES,workflow architecture,stateless API-backed LLM with semantic_advisory_mode=off,ARCHITECTURE_SNAPSHOT,SRC-V4-POLICY,v4-evaluated-second-generation-llm-integrated-workflow/docs/LLM_FIRST_ARCHITECTURE_AND_POLICY.md,8df652d7bfd438ab52bc2f28100c38dd848a3b2f7ced48da15ab46f9c86df70f,RELEASE_CLASSIFICATION_PASS,"Primary V4 condition disables deterministic semantic suggestions while retaining deterministic orchestration, schemas, provenance, tool execution and evidence gates.",COMPLETE,
RQ2-E12,V4,LLM-first run 001,NO,mlk_poly_add,stateless API-backed LLM,RUN,SRC-V4-R1-CBMC,v4-evaluated-second-generation-llm-integrated-workflow/runs/run_001_mlk_poly_add_open_discovery_20260714/stages/07_tool_execution/iterations/iteration_00/tool_outputs/06_cbmc_status.json,6b10daa1f128e916dfd94b19b8793560d9b8f4763007ddf1d30d5ed54ec3ed38,RELEASE_CLASSIFICATION_PASS,Tool stage executed but the native-function-contract GOTO build/instrumentation pipeline failed before selected-property verification.,COMPLETE,
RQ2-E13,V4,LLM-first run 002,NO,mlk_poly_add,stateless API-backed LLM,RUN,SRC-V4-R2-SUM,v4-evaluated-second-generation-llm-integrated-workflow/runs/run_002_mlk_poly_add_open_discovery_repaired_20260714/final/final_run_summary.json,1c453307233157d3fae3d541a394d4a62aff778659c8cc908d07cd733e80bd5e,RELEASE_CLASSIFICATION_PASS,Run ended because critic requested repair and the configured initial condition did not permit another iteration; no clean selected-property result.,COMPLETE,
RQ2-E14,V4,LLM-first run 003,NO,mlk_poly_add,stateless API-backed LLM,RUN,SRC-V4-R3-SUM,v4-evaluated-second-generation-llm-integrated-workflow/runs/run_003_mlk_poly_add_open_discovery_repair_enabled_20260715/final/final_run_summary.json,978502a4fe98b43a70509ea757b65504bccbb68a6892e4cbf2a8bf58c9e7ff13,RELEASE_CLASSIFICATION_PASS,Run ended as orchestrator_failed at artefact generation.,COMPLETE,
RQ2-E15,V4,pre-Codex local regression baseline,NO,engineering readiness,deterministic regression suite,ENGINEERING_REGRESSION,SRC-V4-REG53,v4-evaluated-second-generation-llm-integrated-workflow/release_evidence/FINAL_LOCAL_53_REGRESSION_RESULTS.json,9e4e015d158289fc372a2b1c5c1481e7736551d152c54fa363d64ac21bca1e29,RELEASE_CLASSIFICATION_PASS,53/53 local regressions passed; supports bounded pipeline/interface readiness only.,COMPLETE,
RQ2-E16,V4,Codex backend utility increment,NO,Codex integration mechanism,repository-aware Codex backend inside same V4 stage architecture,UTILITY_INCREMENT,SRC-V4-LLMCLIENT-CODEX,v4-codex-skills-scientific-experiment-baseline/agents/common/llm_client.py,a04e5964be2901816159307642ee9409ec80b54d6637aa84a65572ff2b768f66,RELEASE_CLASSIFICATION_PASS,"Same V4 architecture. File-by-file comparison of the two preserved snapshots found identical relative path sets and only one differing file, agents/common/llm_client.py, which adds Codex backend configuration/dispatch. See file 28.",COMPLETE,
RQ2-E17,V4,Codex backend offline acceptance,NO,engineering readiness,simulated Codex backend within same V4 architecture,ENGINEERING_REGRESSION,SRC-V4-CODEX-STATUS,v4-codex-skills-scientific-experiment-baseline/release_evidence/codex_exec_integration/FINAL_INTEGRATION_STATUS.json,c934a266af5750893c85364adf6c7976a84c7e89e56218d564b59dcff88cbf8d,RELEASE_CLASSIFICATION_PASS,Offline/simulated integration accepted with 56/56 discovered regressions; source record explicitly states no authenticated live Codex-to-CBMC experiment was performed in that build environment.,COMPLETE,
RQ2-E18,V4,live Codex host investigation,NO,mlk_poly_add,repository-aware Codex under V4 supervision,LIVE_HOST_RUN,,PUBLIC_REPOSITORY_PRIMARY_EVIDENCE,,RELEASE_CLASSIFICATION_PASS,Primary public-repository evidence record for the reported V4-supervised Codex mlk_poly_add investigation and its retained lifecycle outcome.,PUBLIC_EVIDENCE_RETAINED,Public repository primary-evidence role registered in the RQ2 release classification.
RQ2-E19,V4,live Codex host investigation,NO,mlk_poly_sub,repository-aware Codex under V4 supervision,LIVE_HOST_RUN,,PUBLIC_REPOSITORY_PRIMARY_EVIDENCE,,RELEASE_CLASSIFICATION_PASS,Primary public-repository evidence record for the reported V4-supervised Codex mlk_poly_sub investigation and its retained lifecycle outcome.,PUBLIC_EVIDENCE_RETAINED,Public repository primary-evidence role registered in the RQ2 release classification.
