[1/52] verify_26_property_contract_extension.py
  PASS (4.1s)
[2/52] verify_26_property_repair_and_claim_boundaries.py
  PASS (8.5s)
[3/52] verify_agent10_stage_classification_and_agent11_wording.py
  PASS (4.2s)
[4/52] verify_agent11_compact_evidence_budget.py
  PASS (4.0s)
[5/52] verify_agent4_campaign_candidate_separation.py
  PASS (4.0s)
[6/52] verify_agent5_scope_consistency.py
  PASS (4.3s)
[7/52] verify_blocker1_schemas.py
  PASS (5.7s)
[8/52] verify_blocker2_config_contract.py
  PASS (11.6s)
[9/52] verify_blockers3_to_8.py
  PASS (50.8s)
[10/52] verify_canonical_tool_result_contract.py
  PASS (3.9s)
[11/52] verify_canonical_tool_workflow_transitions.py
  PASS (1.7s)
[12/52] verify_central_fail_closed_hardening.py
  PASS (3.7s)
[13/52] verify_central_llm_profile.py
  PASS (4.4s)
[14/52] verify_contract_expression_and_run001_replay.py
  PASS (1.5s)
[15/52] verify_critic_tool_readiness_policy.py
  PASS (4.2s)
[16/52] verify_definitive_winner_result_integrity.py
  PASS (3.8s)
[17/52] verify_deployment_gate.py
  PASS (4.0s)
[18/52] verify_eight_session_conformance.py
  PASS (3.9s)
[19/52] verify_exact_traceability_edge_cases.py
  PASS (1.3s)
[20/52] verify_explicit_llm_retry_categories.py
  PASS (3.6s)
[21/52] verify_explicit_repair_retry_controls.py
  PASS (1.8s)
[22/52] verify_failure_diagnostics.py
  PASS (3.1s)
[23/52] verify_final_partial_items_closed.py
  PASS (1.3s)
[24/52] verify_gate_boolean_fail_closed.py
  PASS (1.5s)
[25/52] verify_hash_bound_resume_semantics.py
  PASS (1.3s)
[26/52] verify_live_child_process_streaming.py
  PASS (3.0s)
[27/52] verify_live_harness_hardening.py
  PASS (3.7s)
[28/52] verify_llm_incomplete_retry_budget.py
  PASS (3.7s)
[29/52] verify_maintainability_and_portability.py
  PASS (1.8s)
[30/52] verify_mandatory_a_to_z_repairs.py
  PASS (9.3s)
[31/52] verify_mandatory_semantic_evidence_gates.py
  PASS (2.6s)
[32/52] verify_mutable_bootstrap_and_residue_cleanup.py
  PASS (7.9s)
[33/52] verify_mutable_package_structure.py
  PASS (1.3s)
[34/52] verify_mutable_workspace_contract.py
  PASS (4.8s)
[35/52] verify_offline_fake_llm_cbmc_e2e.py
  PASS (55.5s)
[36/52] verify_offline_open_discovery_fake_llm_cbmc_e2e.py
  PASS (53.1s)
[37/52] verify_old_state_plan_enum.py
  PASS (2.7s)
[38/52] verify_open_discovery_agent5_reporting.py
  PASS (4.0s)
[39/52] verify_open_discovery_mode.py
  PASS (3.7s)
[40/52] verify_open_discovery_mutable_workspace_compatibility.py
  PASS (1.5s)
[41/52] verify_pre_agent7_readiness_diagnosis.py
  PASS (3.5s)
[42/52] verify_preflight_iteration_policy.py
  PASS (3.3s)
[43/52] verify_property_campaign_orchestration.py
  PASS (29.2s)
[44/52] verify_real_cbmc_acceptance_entry_binding.py
  PASS (26.7s)
[45/52] verify_regression_runner_process_cleanup.py
  PASS (10.1s)
[46/52] verify_retry_growth_user_control.py
  PASS (3.2s)
[47/52] verify_run002_exact_replay_and_clause_grammar.py
  PASS (1.2s)
[48/52] verify_strategy_neutrality_and_semantic_repair_guard.py
  PASS (1.2s)
[49/52] verify_strategy_reconciliation_and_frontend_readiness.py
  PASS (3.7s)
[50/52] verify_success_text_failure_hint_gating.py
  PASS (3.3s)
[51/52] verify_user_override_command_provenance.py
  PASS (1.3s)
[52/52] verify_workflow_state_policy.py
  PASS (1.3s)
Test inventory SHA-256: 548ccb2ae35c272be046de447e22393f96d69e1b75c7c41375be4c4d54419306
Results: /mnt/data/cbmc_entry_hotfix_release/regressions_52/regression_results.json
ALL 52 DISCOVERED REGRESSIONS PASSED
