staged_path,sha256,size_bytes,action,final_repository_path,note
experiments/poly-tomsg/00-campaign-context/00-starting-state/MSG00A_af4c5abdd595/MSG00A_STARTING_STATE.txt,ea26ea7d507728336ed8a4bf1b973b0da5b35d7de5be658084e1163ce43ee2c9,130461,copy-new-file,experiments/poly-tomsg/00-campaign-context/00-starting-state/MSG00A_af4c5abdd595/MSG00A_STARTING_STATE.txt,
experiments/poly-tomsg/00-campaign-context/00-starting-state/MSG00A_af4c5abdd595/MSG00A_STARTING_STATE.txt.sha256,cabef5124430b47a4fcab1da02a649a48ff637b794cd6e8421be0b65c5f8e175,162,copy-new-file,experiments/poly-tomsg/00-campaign-context/00-starting-state/MSG00A_af4c5abdd595/MSG00A_STARTING_STATE.txt.sha256,
experiments/poly-tomsg/00-campaign-context/01-frozen-source-and-overlap-audit/MSG00B_af4c5abdd595/MSG00B_FROZEN_WORKTREE_AND_T6_OVERLAP_AUDIT.txt,ae6dc0c306e2c20b6249116d12596d772c7442f7e4652aad7fefe74ddd83b9f2,609609,copy-new-file,experiments/poly-tomsg/00-campaign-context/01-frozen-source-and-overlap-audit/MSG00B_af4c5abdd595/MSG00B_FROZEN_WORKTREE_AND_T6_OVERLAP_AUDIT.txt,
experiments/poly-tomsg/00-campaign-context/01-frozen-source-and-overlap-audit/MSG00B_af4c5abdd595/MSG00B_FROZEN_WORKTREE_AND_T6_OVERLAP_AUDIT.txt.sha256,a325f927f3185c2b58d4c868c0a4e0c650c6c619e59e7313a2e70a0a193526ed,184,copy-new-file,experiments/poly-tomsg/00-campaign-context/01-frozen-source-and-overlap-audit/MSG00B_af4c5abdd595/MSG00B_FROZEN_WORKTREE_AND_T6_OVERLAP_AUDIT.txt.sha256,
experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze/MSG00CDE_af4c5abdd595/MSG00CDE_ARTIFACT_MANIFEST.sha256,da866e63172ccc1d653afcafe6b258e74e9f2896e3ea339c5f5fa2c809d11e16,1207,copy-new-file,experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze/MSG00CDE_af4c5abdd595/MSG00CDE_ARTIFACT_MANIFEST.sha256,
experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze/MSG00CDE_af4c5abdd595/MSG00CDE_PATH_BINDING_AMENDMENT_LOG.txt,d02bf3bfe1b6e6d3d99f3e26cc0f77be69543e67d9cefc4619790ca7047a716e,5835,copy-new-file,experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze/MSG00CDE_af4c5abdd595/MSG00CDE_PATH_BINDING_AMENDMENT_LOG.txt,
experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze/MSG00CDE_af4c5abdd595/MSG00CDE_PATH_BINDING_AMENDMENT_MANIFEST.sha256,2e3b74268f77b1d3e2042d818fcd0f12412f44ea550d379a6be42b89d39bde70,351,copy-new-file,experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze/MSG00CDE_af4c5abdd595/MSG00CDE_PATH_BINDING_AMENDMENT_MANIFEST.sha256,
experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze/MSG00CDE_af4c5abdd595/MSG00CDE_SOURCE_ORACLE_OVERLAP_AND_FREEZE.txt,b89dfb5453b55639c52110bf22d1280795970f246ae66caa90747ed5f69b557e,36969,copy-new-file,experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze/MSG00CDE_af4c5abdd595/MSG00CDE_SOURCE_ORACLE_OVERLAP_AND_FREEZE.txt,
experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze/MSG00CDE_af4c5abdd595/MSG00CDE_SOURCE_ORACLE_OVERLAP_AND_FREEZE.txt.sha256,6f24ec867a243c8de3d7ad288c7f4f4dc121eaed2a582e5f730729ef9a4be706,184,copy-new-file,experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze/MSG00CDE_af4c5abdd595/MSG00CDE_SOURCE_ORACLE_OVERLAP_AND_FREEZE.txt.sha256,
experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze/MSG00CDE_af4c5abdd595/MSG00C_ALL_COMMIT_CHANGES.txt,ac9d6a95ecade8e610d110846cac46ea3af29a9f634f395af59fb633153435fc,16647,copy-new-file,experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze/MSG00CDE_af4c5abdd595/MSG00C_ALL_COMMIT_CHANGES.txt,
experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze/MSG00CDE_af4c5abdd595/MSG00C_CRITICAL_FILE_BINDING.tsv,3481afab753c2981b3505767d10018d627088360939a6312bda9176ee864fc05,3000,copy-new-file,experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze/MSG00CDE_af4c5abdd595/MSG00C_CRITICAL_FILE_BINDING.tsv,
experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze/MSG00CDE_af4c5abdd595/MSG00C_FIPS_COMPRESS1_EXHAUSTIVE.csv,e705820fb0f5cadfe57c77117102c37d11c87f0b3e84614080f68f13ff38fe28,38895,copy-new-file,experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze/MSG00CDE_af4c5abdd595/MSG00C_FIPS_COMPRESS1_EXHAUSTIVE.csv,
experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze/MSG00CDE_af4c5abdd595/MSG00C_FIPS_COMPRESS1_ORACLE_SUMMARY.txt,13f88531fcc0bc7e63ab48ad7357fa166c6acee9e6fadb674caf617a2a4fd986,543,copy-new-file,experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze/MSG00CDE_af4c5abdd595/MSG00C_FIPS_COMPRESS1_ORACLE_SUMMARY.txt,
experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze/MSG00CDE_af4c5abdd595/MSG00C_RELEVANT_TREE_CHANGES.txt,818e246dd79b5b6720d9156e0d378251e9b164f3ed0ff0c57a1594a066d090fb,3132,copy-new-file,experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze/MSG00CDE_af4c5abdd595/MSG00C_RELEVANT_TREE_CHANGES.txt,
experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze/MSG00CDE_af4c5abdd595/MSG00D_OVERLAP_CLASSIFICATION.md,38e3dd4c15a2516b9c5986dac62629d28a3ad095094a312c94d3edbac33aec4b,3011,copy-new-file,experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze/MSG00CDE_af4c5abdd595/MSG00D_OVERLAP_CLASSIFICATION.md,
experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze/MSG00CDE_af4c5abdd595/MSG00E_THEOREM_PROPERTY_FREEZE.md,a213c08221c3e35bc2792c1e115aeb1db42a3d743563afab9f195b0f371af305,4228,copy-new-file,experiments/poly-tomsg/00-campaign-context/02-source-oracle-overlap-and-freeze/MSG00CDE_af4c5abdd595/MSG00E_THEOREM_PROPERTY_FREEZE.md,
