[1/53] verify_26_property_contract_extension.py
  REUSE PASS (hash-bound)
[2/53] verify_26_property_repair_and_claim_boundaries.py
  REUSE PASS (hash-bound)
[3/53] verify_agent10_stage_classification_and_agent11_wording.py
  REUSE PASS (hash-bound)
[4/53] verify_agent11_compact_evidence_budget.py
  REUSE PASS (hash-bound)
[5/53] verify_agent4_campaign_candidate_separation.py
  REUSE PASS (hash-bound)
[6/53] verify_agent5_scope_consistency.py
  REUSE PASS (hash-bound)
[7/53] verify_blocker1_schemas.py
  REUSE PASS (hash-bound)
[8/53] verify_blocker2_config_contract.py
  PASS (9.2s)
[9/53] verify_blockers3_to_8.py
  PASS (46.7s)
[10/53] verify_canonical_tool_result_contract.py
  PASS (3.6s)
[11/53] verify_canonical_tool_workflow_transitions.py
  PASS (1.3s)
[12/53] verify_central_fail_closed_hardening.py
  PASS (3.3s)
[13/53] verify_central_llm_profile.py
  PASS (3.6s)
[14/53] verify_contract_expression_and_run001_replay.py
  PASS (1.4s)
[15/53] verify_critic_tool_readiness_policy.py
  PASS (3.6s)
[16/53] verify_definitive_winner_result_integrity.py
  PASS (3.8s)
[17/53] verify_deployment_gate.py
  PASS (3.5s)
[18/53] verify_eight_session_conformance.py
  PASS (3.7s)
[19/53] verify_exact_traceability_edge_cases.py
  PASS (1.3s)
[20/53] verify_explicit_llm_retry_categories.py
  PASS (3.2s)
[21/53] verify_explicit_repair_retry_controls.py
  PASS (1.3s)
[22/53] verify_failure_diagnostics.py
  PASS (2.5s)
[23/53] verify_final_partial_items_closed.py
  PASS (1.4s)
[24/53] verify_gate_boolean_fail_closed.py
  PASS (1.4s)
[25/53] verify_hash_bound_resume_semantics.py
  PASS (1.3s)
[26/53] verify_live_child_process_streaming.py
  PASS (2.9s)
[27/53] verify_live_harness_hardening.py
  PASS (3.4s)
[28/53] verify_llm_incomplete_retry_budget.py
  PASS (3.2s)
[29/53] verify_maintainability_and_portability.py
  PASS (1.6s)
[30/53] verify_mandatory_a_to_z_repairs.py
  PASS (8.4s)
[31/53] verify_mandatory_semantic_evidence_gates.py
  PASS (2.2s)
[32/53] verify_mutable_bootstrap_and_residue_cleanup.py
  PASS (6.9s)
[33/53] verify_mutable_package_structure.py
  PASS (1.2s)
[34/53] verify_mutable_workspace_contract.py
  PASS (4.5s)
[35/53] verify_offline_fake_llm_cbmc_e2e.py
  PASS (48.1s)
[36/53] verify_offline_open_discovery_fake_llm_cbmc_e2e.py
  PASS (50.5s)
[37/53] verify_old_state_plan_enum.py
  PASS (2.3s)
[38/53] verify_open_discovery_agent5_reporting.py
  PASS (3.8s)
[39/53] verify_open_discovery_mode.py
  PASS (3.4s)
[40/53] verify_open_discovery_mutable_workspace_compatibility.py
  PASS (1.4s)
[41/53] verify_pre_agent7_readiness_diagnosis.py
  PASS (3.4s)
[42/53] verify_preflight_iteration_policy.py
  PASS (3.4s)
[43/53] verify_property_campaign_orchestration.py
  PASS (27.9s)
[44/53] verify_real_cbmc_acceptance_entry_binding.py
  PASS (25.8s)
[45/53] verify_real_cbmc_loop_clause_syntax.py
  PASS (25.5s)
[46/53] verify_regression_runner_process_cleanup.py
  PASS (10.1s)
[47/53] verify_retry_growth_user_control.py
  PASS (3.5s)
[48/53] verify_run002_exact_replay_and_clause_grammar.py
  PASS (1.3s)
[49/53] verify_strategy_neutrality_and_semantic_repair_guard.py
  PASS (1.3s)
[50/53] verify_strategy_reconciliation_and_frontend_readiness.py
  PASS (4.1s)
[51/53] verify_success_text_failure_hint_gating.py
  PASS (3.8s)
[52/53] verify_user_override_command_provenance.py
  PASS (1.4s)
[53/53] verify_workflow_state_policy.py
  PASS (1.2s)
Test inventory SHA-256: 3ef9c030f380327b562f7aedb8756f8a40ff2004d4c90a6b5b4796cc2914fcf4
Results: /tmp/tpinspect/thesis-pipeline/reports/CBMC_LOOP_CLAUSE_HOTFIX_LOCAL/regression_results.json
ALL 53 DISCOVERED REGRESSIONS PASSED
