stage_key,agent,stage_type,stage_dir_exists,manifest_path,manifest_exists,manifest_sha256,manifest_error,manifest_stage,manifest_success,notes
01_master_orchestrator,Master Orchestrator,deterministic_control,True,/home/girish/thesis-agent-workflow-26-property-test/diagnostics/p19_orchestration_probe_20260711T080622Z/P19/runs/campaign_p19_mock/stages/01_master_orchestrator/stage_manifest.json,True,dbd36056a2d2be051e4ca08c8cdc11426132d6dd81b140793d3e69007132cdc8,,,,"{'purpose': 'Current deterministic control-plane records.', 'refresh_reason': 'before_experiment_logger', 'mutable_control_files_refreshed_deliberately': True, 'root_level_stage_outputs_allowed': False}"
02_spec_extraction,Specification Extraction,llm_backed,True,/home/girish/thesis-agent-workflow-26-property-test/diagnostics/p19_orchestration_probe_20260711T080622Z/P19/runs/campaign_p19_mock/stages/02_spec_extraction/stage_manifest.json,True,206340fa80f4d631cdc42cb8f6efb34ca3c0369588eb7af9d9183387b9a21f71,,,,"{'agent_version': 'agent2_spec_extraction_refactored.v1', 'deterministic_reference_policy': 'advisory_only_not_authoritative', 'root_level_outputs_written': False, 'duplicate_outputs_written': False}"
03_code_understanding,Code Understanding,llm_backed,True,/home/girish/thesis-agent-workflow-26-property-test/diagnostics/p19_orchestration_probe_20260711T080622Z/P19/runs/campaign_p19_mock/stages/03_code_understanding/stage_manifest.json,True,49253fbb8a4d7ebef9fc2cfc71e9ef9a88a9a75b3f6d8da3b392786c27e519ab,,,,"{'agent_version': 'agent3_code_understanding_refactored.v1', 'deterministic_reference_policy': 'advisory_only_not_authoritative', 'agent2_spec_summary_available': True, 'root_level_outputs_written': False, 'duplicate_outputs_written': False}"
04_property_discovery,Property Discovery,llm_backed,True,/home/girish/thesis-agent-workflow-26-property-test/diagnostics/p19_orchestration_probe_20260711T080622Z/P19/runs/campaign_p19_mock/stages/04_property_discovery/stage_manifest.json,True,1774770a9114b654164d62dc174a11192e69ce70b3a0a70da06afe26b7916b84,,,,"{'agent_version': 'agent4_property_discovery_refactored.v1', 'deterministic_reference_policy': 'advisory_only_not_authoritative', 'agent2_spec_summary_available': True, 'agent3_code_summary_available': True, 'root_level_outputs_written': False, 'duplicate_outputs_written': False}"
05_artifact_generation,Formal Artefact Generation,llm_backed_plus_rendering,True,/home/girish/thesis-agent-workflow-26-property-test/diagnostics/p19_orchestration_probe_20260711T080622Z/P19/runs/campaign_p19_mock/stages/05_artifact_generation/stage_manifest.json,True,6e84fa3fb28a13b5d0c411483e0d16561822eeb8da1c8dee9411e3d3e5322bd8,,,,"{'agent_version': 'agent5_artifact_generation_refactored.v1', 'deterministic_reference_policy': 'advisory_or_prohibited_copy_reference_only', 'root_level_outputs_written': False, 'duplicate_outputs_written': False, 'cbmc_executed': False, 'formal_truth_claimed': False}"
06_review_critic,Review/Critic,llm_backed_plus_gate,True,/home/girish/thesis-agent-workflow-26-property-test/diagnostics/p19_orchestration_probe_20260711T080622Z/P19/runs/campaign_p19_mock/stages/06_review_critic/stage_manifest.json,True,5931940e7baf96322b3d1dbd0d0d8fdf68e021942b0d08f97fc889b391c7d1ec,,,,"{'agent_version': 'agent6_review_critic_refactored.v2.iteration_contract', 'iteration': 0, 'selected_harness_path': '/home/girish/thesis-agent-workflow-26-property-test/diagnostics/p19_orchestration_probe_20260711T080622Z/P19/runs/campaign_p19_mock/stages/05_artifact_generation/rendered_outputs/04_generated_harness.c', 'selected_harness_source': 'orchestrator_current_artifact', 'deterministic_reference_policy': 'diagnostic_advisory_gate_support', 'root_level_outputs_written': False, 'duplicate_outputs_written': False, 'cbmc_executed': False, 'formal_truth_claimed': False, 'final_gate': 'human_review_required', 'tool_execution_allowed': False}"
07_tool_execution,Formal Tool Execution,deterministic_tool,True,/home/girish/thesis-agent-workflow-26-property-test/diagnostics/p19_orchestration_probe_20260711T080622Z/P19/runs/campaign_p19_mock/stages/07_tool_execution/stage_manifest.json,False,,missing,,,
08_counterexample_analysis,Counterexample Analysis,llm_backed,True,/home/girish/thesis-agent-workflow-26-property-test/diagnostics/p19_orchestration_probe_20260711T080622Z/P19/runs/campaign_p19_mock/stages/08_counterexample_analysis/stage_manifest.json,False,,missing,,,
09_repair_refinement,Repair/Refinement,llm_backed_plus_candidate_rendering,True,/home/girish/thesis-agent-workflow-26-property-test/diagnostics/p19_orchestration_probe_20260711T080622Z/P19/runs/campaign_p19_mock/stages/09_repair_refinement/stage_manifest.json,False,,missing,,,
10_experiment_logger,Experiment Logger,deterministic_logging,True,/home/girish/thesis-agent-workflow-26-property-test/diagnostics/p19_orchestration_probe_20260711T080622Z/P19/runs/campaign_p19_mock/stages/10_experiment_logger/stage_manifest.json,False,,missing,,,
11_evaluation_reporter,Evaluation Reporter,mixed_or_llm_backed,True,/home/girish/thesis-agent-workflow-26-property-test/diagnostics/p19_orchestration_probe_20260711T080622Z/P19/runs/campaign_p19_mock/stages/11_evaluation_reporter/stage_manifest.json,False,,missing,,,
